shark |shark |sharks,4/10/2014,20,0,0.0
shark |shark |sharks,5/10/2014,13,0,0.0
shark |shark |sharks,6/10/2014,23,0,0.0
shark |shark |sharks,8/10/2014,21,0,0.0
shark |shark |sharks,30/09/2014,25,0,0.0
shark |shark |sharks,9/10/2014,21,0,0.0
shark |shark |sharks,7/10/2014,23,0,0.0
shark |shark |sharks,2/10/2014,24,0,0.0
shark |shark |sharks,1/10/2014,18,0,0.0
shark |shark |sharks,3/10/2014,20,1,0.05
