program |programs |program,4/10/2014,20,4,0.2
program |programs |program,5/10/2014,13,2,0.15384615384615385
program |programs |program,6/10/2014,23,4,0.17391304347826086
program |programs |program,8/10/2014,21,2,0.09523809523809523
program |programs |program,30/09/2014,25,4,0.16
program |programs |program,9/10/2014,21,1,0.047619047619047616
program |programs |program,7/10/2014,23,4,0.17391304347826086
program |programs |program,2/10/2014,24,3,0.125
program |programs |program,1/10/2014,18,2,0.1111111111111111
program |programs |program,3/10/2014,20,1,0.05
