fee |fees,4/10/2014,20,0,0.0
fee |fees,5/10/2014,13,4,0.3076923076923077
fee |fees,6/10/2014,23,0,0.0
fee |fees,8/10/2014,21,1,0.047619047619047616
fee |fees,30/09/2014,25,2,0.08
fee |fees,9/10/2014,21,1,0.047619047619047616
fee |fees,7/10/2014,23,0,0.0
fee |fees,2/10/2014,24,1,0.041666666666666664
fee |fees,1/10/2014,18,0,0.0
fee |fees,3/10/2014,20,0,0.0
