air |air |Air,4/10/2014,20,3,0.15
air |air |Air,5/10/2014,13,1,0.07692307692307693
air |air |Air,6/10/2014,23,1,0.043478260869565216
air |air |Air,8/10/2014,21,2,0.09523809523809523
air |air |Air,30/09/2014,25,4,0.16
air |air |Air,9/10/2014,21,0,0.0
air |air |Air,7/10/2014,23,2,0.08695652173913043
air |air |Air,2/10/2014,24,2,0.08333333333333333
air |air |Air,1/10/2014,18,0,0.0
air |air |Air,3/10/2014,20,2,0.1
