month |months |month,4/10/2014,20,6,0.3
month |months |month,5/10/2014,13,3,0.23076923076923078
month |months |month,6/10/2014,23,8,0.34782608695652173
month |months |month,8/10/2014,21,5,0.23809523809523808
month |months |month,30/09/2014,25,4,0.16
month |months |month,9/10/2014,21,6,0.2857142857142857
month |months |month,7/10/2014,23,8,0.34782608695652173
month |months |month,2/10/2014,24,5,0.20833333333333334
month |months |month,1/10/2014,18,6,0.3333333333333333
month |months |month,3/10/2014,20,4,0.2
