work |work |works,4/10/2014,20,9,0.45
work |work |works,5/10/2014,13,3,0.23076923076923078
work |work |works,6/10/2014,23,7,0.30434782608695654
work |work |works,8/10/2014,21,6,0.2857142857142857
work |work |works,30/09/2014,25,8,0.32
work |work |works,9/10/2014,21,6,0.2857142857142857
work |work |works,7/10/2014,23,5,0.21739130434782608
work |work |works,2/10/2014,24,5,0.20833333333333334
work |work |works,1/10/2014,18,3,0.16666666666666666
work |work |works,3/10/2014,20,1,0.05
