burqa |burqas |burqa,2014100817,6743,0,0.0
burqa |burqas |burqa,2014100600,15771,2,1.268150402637753E-4
burqa |burqas |burqa,2014100703,5792,0,0.0
burqa |burqas |burqa,2014100818,7400,1,1.3513513513513514E-4
burqa |burqas |burqa,2014100601,8669,1,1.1535355865728458E-4
burqa |burqas |burqa,2014100704,3010,0,0.0
burqa |burqas |burqa,2014100815,5628,0,0.0
burqa |burqas |burqa,2014100701,13455,1,7.432181345224824E-5
burqa |burqas |burqa,2014100816,7857,0,0.0
burqa |burqas |burqa,2014100702,8524,0,0.0
burqa |burqas |burqa,2014100509,9287,22,0.002368902767309142
burqa |burqas |burqa,2014100508,6498,15,0.0023084025854108957
burqa |burqas |burqa,2014100819,4300,0,0.0
burqa |burqas |burqa,2014100507,16911,5,2.9566554313760273E-4
burqa |burqas |burqa,2014100403,6749,0,0.0
burqa |burqas |burqa,2014100506,11836,4,3.379520108144643E-4
burqa |burqas |burqa,2014100402,6613,1,1.5121729925903524E-4
burqa |burqas |burqa,2014100505,6487,1,1.5415446277169725E-4
burqa |burqas |burqa,2014100401,4570,6,0.001312910284463895
burqa |burqas |burqa,2014100504,3861,1,2.59000259000259E-4
burqa |burqas |burqa,2014100400,5285,6,0.0011352885525070956
burqa |burqas |burqa,2014100503,4540,0,0.0
burqa |burqas |burqa,2014100709,5572,7,0.001256281407035176
burqa |burqas |burqa,2014100407,7111,6,8.437631837997469E-4
burqa |burqas |burqa,2014100406,10763,1,9.2910898448388E-5
burqa |burqas |burqa,2014100501,6148,4,6.506180871828237E-4
burqa |burqas |burqa,2014100405,10366,2,1.9293845263360988E-4
burqa |burqas |burqa,2014100500,11540,2,1.733102253032929E-4
burqa |burqas |burqa,2014100404,3086,2,6.480881399870382E-4
burqa |burqas |burqa,2014100409,9932,28,0.002819170358437374
burqa |burqas |burqa,2014100408,10458,14,0.0013386880856760374
burqa |burqas |burqa,2014100903,4141,0,0.0
burqa |burqas |burqa,2014100613,12260,1,8.156606851549755E-5
burqa |burqas |burqa,2014100904,4854,0,0.0
burqa |burqas |burqa,2014100614,10247,11,0.001073484922416317
burqa |burqas |burqa,2014100905,7777,0,0.0
burqa |burqas |burqa,2014100615,8801,6,6.817407112828088E-4
burqa |burqas |burqa,2014100710,7431,1,1.3457139012245997E-4
burqa |burqas |burqa,2014100906,3505,0,0.0
burqa |burqas |burqa,2014100616,10833,0,0.0
burqa |burqas |burqa,2014100711,13474,0,0.0
burqa |burqas |burqa,2014100617,11523,1,8.678295582747549E-5
burqa |burqas |burqa,2014100900,3864,0,0.0
burqa |burqas |burqa,2014100618,10834,3,2.769060365515968E-4
burqa |burqas |burqa,2014100901,3052,0,0.0
burqa |burqas |burqa,2014100619,10472,1,9.549274255156608E-5
burqa |burqas |burqa,2014100902,4916,0,0.0
burqa |burqas |burqa,2014100716,9756,0,0.0
burqa |burqas |burqa,2014100800,3418,0,0.0
burqa |burqas |burqa,2014100717,12018,3,2.4962556165751375E-4
burqa |burqas |burqa,2014100801,4912,0,0.0
burqa |burqas |burqa,2014100718,9824,1,1.0179153094462541E-4
burqa |burqas |burqa,2014100802,4582,1,2.1824530772588389E-4
burqa |burqas |burqa,2014100719,8904,0,0.0
burqa |burqas |burqa,2014100803,4750,1,2.105263157894737E-4
burqa |burqas |burqa,2014100712,10146,2,1.9712201852946975E-4
burqa |burqas |burqa,2014100804,8238,2,2.4277737314882253E-4
burqa |burqas |burqa,2014100610,8565,1,1.1675423234092235E-4
burqa |burqas |burqa,2014100713,7382,0,0.0
burqa |burqas |burqa,2014100805,6904,0,0.0
burqa |burqas |burqa,2014100611,8676,0,0.0
burqa |burqas |burqa,2014100714,9294,1,1.0759629868732516E-4
burqa |burqas |burqa,2014100806,7696,0,0.0
burqa |burqas |burqa,2014100612,7761,4,5.153975003221235E-4
burqa |burqas |burqa,2014100715,8494,0,0.0
burqa |burqas |burqa,2014100807,6298,0,0.0
burqa |burqas |burqa,2014100519,13547,2,1.4763416254521297E-4
burqa |burqas |burqa,2014100809,5933,6,0.0010112927692566998
burqa |burqas |burqa,2014100518,12589,3,2.3830328064183018E-4
burqa |burqas |burqa,2014100808,7916,2,2.5265285497726126E-4
burqa |burqas |burqa,2014100410,8297,17,0.0020489333494033988
burqa |burqas |burqa,2014100412,8252,11,0.0013330101793504604
burqa |burqas |burqa,2014100515,6526,5,7.661661048115232E-4
burqa |burqas |burqa,2014100411,8736,14,0.0016025641025641025
burqa |burqas |burqa,2014100514,7337,10,0.001362954886193267
burqa |burqas |burqa,2014100414,8029,2,2.4909702329057166E-4
burqa |burqas |burqa,2014100517,16635,2,1.2022843402464683E-4
burqa |burqas |burqa,2014100413,7649,11,0.0014380964832004183
burqa |burqas |burqa,2014100516,7164,8,0.0011166945840312675
burqa |burqas |burqa,2014100416,8535,3,3.51493848857645E-4
burqa |burqas |burqa,2014100511,8203,16,0.0019505059124710472
burqa |burqas |burqa,2014100415,9288,3,3.2299741602067185E-4
burqa |burqas |burqa,2014100510,7389,36,0.0048721071863581
burqa |burqas |burqa,2014100418,8794,3,3.411416875142142E-4
burqa |burqas |burqa,2014100513,8653,11,0.0012712354096845026
burqa |burqas |burqa,2014100417,9001,4,4.4439506721475393E-4
burqa |burqas |burqa,2014100512,7658,15,0.0019587359623922697
burqa |burqas |burqa,2014100908,14247,0,0.0
burqa |burqas |burqa,2014100907,7751,0,0.0
burqa |burqas |burqa,2014100419,8630,8,9.269988412514484E-4
burqa |burqas |burqa,2014100909,1000,0,0.0
burqa |burqas |burqa,2014100721,11447,0,0.0
burqa |burqas |burqa,2014100722,8294,0,0.0
burqa |burqas |burqa,2014100720,10198,0,0.0
burqa |burqas |burqa,2014100723,5300,1,1.8867924528301886E-4
burqa |burqas |burqa,2014100520,14801,0,0.0
burqa |burqas |burqa,2014100523,12605,8,6.346687822292741E-4
burqa |burqas |burqa,2014100522,10915,2,1.832340815391663E-4
burqa |burqas |burqa,2014100521,14363,1,6.962333774281139E-5
burqa |burqas |burqa,2014100623,8800,2,2.2727272727272727E-4
burqa |burqas |burqa,2014100622,9000,3,3.333333333333333E-4
burqa |burqas |burqa,2014100621,9007,0,0.0
burqa |burqas |burqa,2014100620,8998,0,0.0
burqa |burqas |burqa,2014093011,9741,0,0.0
burqa |burqas |burqa,2014093012,11191,1,8.935751943526048E-5
burqa |burqas |burqa,2014093013,5267,0,0.0
burqa |burqas |burqa,2014093017,3899,0,0.0
burqa |burqas |burqa,2014093018,99,0,0.0
burqa |burqas |burqa,2014093019,8564,1,1.1676786548341896E-4
