senator |Senator |senators |senator,2014100706,3398,0,0.0
senator |Senator |senators |senator,2014100812,5896,1,1.6960651289009497E-4
senator |Senator |senators |senator,2014100817,6743,0,0.0
senator |Senator |senators |senator,2014100600,15771,0,0.0
senator |Senator |senators |senator,2014100703,5792,0,0.0
senator |Senator |senators |senator,2014100818,7400,0,0.0
senator |Senator |senators |senator,2014100601,8669,0,0.0
senator |Senator |senators |senator,2014100704,3010,0,0.0
senator |Senator |senators |senator,2014100815,5628,5,8.884150675195451E-4
senator |Senator |senators |senator,2014100701,13455,2,1.4864362690449647E-4
senator |Senator |senators |senator,2014100816,7857,0,0.0
senator |Senator |senators |senator,2014100702,8524,0,0.0
senator |Senator |senators |senator,2014100509,9287,1,1.076773985140519E-4
senator |Senator |senators |senator,2014100508,6498,0,0.0
senator |Senator |senators |senator,2014100819,4300,1,2.3255813953488373E-4
senator |Senator |senators |senator,2014100507,16911,0,0.0
senator |Senator |senators |senator,2014100403,6749,0,0.0
senator |Senator |senators |senator,2014100506,11836,0,0.0
senator |Senator |senators |senator,2014100402,6613,1,1.5121729925903524E-4
senator |Senator |senators |senator,2014100505,6487,0,0.0
senator |Senator |senators |senator,2014100401,4570,0,0.0
senator |Senator |senators |senator,2014100504,3861,0,0.0
senator |Senator |senators |senator,2014100400,5285,0,0.0
senator |Senator |senators |senator,2014100503,4540,0,0.0
senator |Senator |senators |senator,2014100709,5572,1,1.7946877243359656E-4
senator |Senator |senators |senator,2014100407,7111,1,1.406271972999578E-4
senator |Senator |senators |senator,2014100406,10763,1,9.2910898448388E-5
senator |Senator |senators |senator,2014100501,6148,0,0.0
senator |Senator |senators |senator,2014100405,10366,1,9.646922631680494E-5
senator |Senator |senators |senator,2014100500,11540,0,0.0
senator |Senator |senators |senator,2014100404,3086,0,0.0
senator |Senator |senators |senator,2014100409,9932,0,0.0
senator |Senator |senators |senator,2014100408,10458,2,1.9124115509657678E-4
senator |Senator |senators |senator,2014100903,4141,0,0.0
senator |Senator |senators |senator,2014100613,12260,0,0.0
senator |Senator |senators |senator,2014100904,4854,0,0.0
senator |Senator |senators |senator,2014100614,10247,1,9.758953840148337E-5
senator |Senator |senators |senator,2014100905,7777,0,0.0
senator |Senator |senators |senator,2014100615,8801,0,0.0
senator |Senator |senators |senator,2014100710,7431,0,0.0
senator |Senator |senators |senator,2014100906,3505,1,2.853067047075606E-4
senator |Senator |senators |senator,2014100616,10833,0,0.0
senator |Senator |senators |senator,2014100711,13474,0,0.0
senator |Senator |senators |senator,2014100617,11523,0,0.0
senator |Senator |senators |senator,2014100900,3864,2,5.175983436853002E-4
senator |Senator |senators |senator,2014100618,10834,0,0.0
senator |Senator |senators |senator,2014100901,3052,0,0.0
senator |Senator |senators |senator,2014100619,10472,0,0.0
senator |Senator |senators |senator,2014100902,4916,0,0.0
senator |Senator |senators |senator,2014100716,9756,1,1.025010250102501E-4
senator |Senator |senators |senator,2014100800,3418,0,0.0
senator |Senator |senators |senator,2014100717,12018,1,8.320852055250458E-5
senator |Senator |senators |senator,2014100801,4912,0,0.0
senator |Senator |senators |senator,2014100718,9824,1,1.0179153094462541E-4
senator |Senator |senators |senator,2014100802,4582,0,0.0
senator |Senator |senators |senator,2014100719,8904,2,2.2461814914645105E-4
senator |Senator |senators |senator,2014100803,4750,0,0.0
senator |Senator |senators |senator,2014100712,10146,0,0.0
senator |Senator |senators |senator,2014100804,8238,0,0.0
senator |Senator |senators |senator,2014100610,8565,0,0.0
senator |Senator |senators |senator,2014100713,7382,3,4.06393931183961E-4
senator |Senator |senators |senator,2014100805,6904,1,1.4484356894553882E-4
senator |Senator |senators |senator,2014100611,8676,0,0.0
senator |Senator |senators |senator,2014100714,9294,0,0.0
senator |Senator |senators |senator,2014100806,7696,0,0.0
senator |Senator |senators |senator,2014100612,7761,1,1.2884937508053087E-4
senator |Senator |senators |senator,2014100715,8494,0,0.0
senator |Senator |senators |senator,2014100807,6298,0,0.0
senator |Senator |senators |senator,2014100519,13547,1,7.381708127260648E-5
senator |Senator |senators |senator,2014100809,5933,2,3.370975897522333E-4
senator |Senator |senators |senator,2014100518,12589,0,0.0
senator |Senator |senators |senator,2014100808,7916,0,0.0
senator |Senator |senators |senator,2014100410,8297,1,1.205254911413764E-4
senator |Senator |senators |senator,2014100412,8252,1,1.211827435773146E-4
senator |Senator |senators |senator,2014100515,6526,0,0.0
senator |Senator |senators |senator,2014100411,8736,0,0.0
senator |Senator |senators |senator,2014100514,7337,0,0.0
senator |Senator |senators |senator,2014100414,8029,0,0.0
senator |Senator |senators |senator,2014100517,16635,1,6.0114217012323416E-5
senator |Senator |senators |senator,2014100413,7649,2,2.6147208785462153E-4
senator |Senator |senators |senator,2014100516,7164,2,2.7917364600781687E-4
senator |Senator |senators |senator,2014100416,8535,7,8.201523140011716E-4
senator |Senator |senators |senator,2014100511,8203,2,2.438132390588809E-4
senator |Senator |senators |senator,2014100415,9288,0,0.0
senator |Senator |senators |senator,2014100510,7389,1,1.3533631073216944E-4
senator |Senator |senators |senator,2014100418,8794,0,0.0
senator |Senator |senators |senator,2014100513,8653,0,0.0
senator |Senator |senators |senator,2014100417,9001,0,0.0
senator |Senator |senators |senator,2014100512,7658,1,1.3058239749281798E-4
senator |Senator |senators |senator,2014100908,14247,4,2.807608619358461E-4
senator |Senator |senators |senator,2014100907,7751,0,0.0
senator |Senator |senators |senator,2014100419,8630,0,0.0
senator |Senator |senators |senator,2014100909,1000,0,0.0
senator |Senator |senators |senator,2014100721,11447,1,8.73591333973967E-5
senator |Senator |senators |senator,2014100722,8294,0,0.0
senator |Senator |senators |senator,2014100720,10198,0,0.0
senator |Senator |senators |senator,2014100723,5300,0,0.0
senator |Senator |senators |senator,2014100520,14801,0,0.0
senator |Senator |senators |senator,2014100523,12605,0,0.0
senator |Senator |senators |senator,2014100522,10915,0,0.0
senator |Senator |senators |senator,2014100521,14363,0,0.0
senator |Senator |senators |senator,2014100623,8800,3,3.4090909090909094E-4
senator |Senator |senators |senator,2014100622,9000,0,0.0
senator |Senator |senators |senator,2014100621,9007,0,0.0
senator |Senator |senators |senator,2014100620,8998,0,0.0
senator |Senator |senators |senator,2014093011,9741,4,4.106354583718304E-4
senator |Senator |senators |senator,2014093012,11191,3,2.6807255830578144E-4
senator |Senator |senators |senator,2014093013,5267,1,1.8986140117714068E-4
senator |Senator |senators |senator,2014093017,3899,0,0.0
senator |Senator |senators |senator,2014093018,99,0,0.0
senator |Senator |senators |senator,2014093019,8564,6,7.006071929005138E-4
