building |building |buildings,2014100509,9287,4,4.307095940562076E-4
building |building |buildings,2014100508,6498,3,4.616805170821791E-4
building |building |buildings,2014100819,4300,8,0.0018604651162790699
building |building |buildings,2014100507,16911,3,1.7739932588256165E-4
building |building |buildings,2014100403,6749,2,2.96340198547933E-4
building |building |buildings,2014100506,11836,0,0.0
building |building |buildings,2014100402,6613,0,0.0
building |building |buildings,2014100505,6487,0,0.0
building |building |buildings,2014100401,4570,1,2.188183807439825E-4
building |building |buildings,2014100504,3861,3,7.77000777000777E-4
building |building |buildings,2014100400,5285,3,5.676442762535478E-4
building |building |buildings,2014100503,4540,1,2.2026431718061675E-4
building |building |buildings,2014100709,5572,8,0.0014357501794687725
building |building |buildings,2014100407,7111,6,8.437631837997469E-4
building |building |buildings,2014100406,10763,1,9.2910898448388E-5
building |building |buildings,2014100501,6148,1,1.6265452179570593E-4
building |building |buildings,2014100405,10366,1,9.646922631680494E-5
building |building |buildings,2014100500,11540,1,8.665511265164645E-5
building |building |buildings,2014100404,3086,3,9.721322099805574E-4
building |building |buildings,2014100409,9932,10,0.0010068465565847766
building |building |buildings,2014100408,10458,10,9.562057754828839E-4
building |building |buildings,2014100903,4141,1,2.414875633904854E-4
building |building |buildings,2014100613,12260,10,8.156606851549756E-4
building |building |buildings,2014100904,4854,1,2.0601565718994644E-4
building |building |buildings,2014100614,10247,11,0.001073484922416317
building |building |buildings,2014100905,7777,0,0.0
building |building |buildings,2014100615,8801,9,0.0010226110669242132
building |building |buildings,2014100710,7431,14,0.0018839994617144396
building |building |buildings,2014100906,3505,1,2.853067047075606E-4
building |building |buildings,2014100616,10833,15,0.0013846579894765993
building |building |buildings,2014100711,13474,12,8.90604126465786E-4
building |building |buildings,2014100617,11523,13,0.0011281784257571813
building |building |buildings,2014100900,3864,3,7.763975155279503E-4
building |building |buildings,2014100618,10834,8,7.384160974709249E-4
building |building |buildings,2014100901,3052,0,0.0
building |building |buildings,2014100619,10472,10,9.549274255156608E-4
building |building |buildings,2014100902,4916,3,6.102522375915378E-4
building |building |buildings,2014100716,9756,12,0.0012300123001230013
building |building |buildings,2014100800,3418,1,2.925687536571094E-4
building |building |buildings,2014100717,12018,3,2.4962556165751375E-4
building |building |buildings,2014100801,4912,2,4.0716612377850165E-4
building |building |buildings,2014100718,9824,8,8.143322475570033E-4
building |building |buildings,2014100802,4582,1,2.1824530772588389E-4
building |building |buildings,2014100719,8904,9,0.0010107816711590297
building |building |buildings,2014100803,4750,1,2.105263157894737E-4
building |building |buildings,2014100712,10146,9,8.870490833826139E-4
building |building |buildings,2014100804,8238,2,2.4277737314882253E-4
building |building |buildings,2014100610,8565,15,0.0017513134851138354
building |building |buildings,2014100713,7382,16,0.002167434299647792
