man |man,2014100706,3398,46,0.01353737492642731
man |man,2014100812,5896,22,0.0037313432835820895
man |man,2014100817,6743,34,0.005042266053685304
man |man,2014100600,15771,41,0.0025997083254073934
man |man,2014100703,5792,49,0.008459944751381215
man |man,2014100818,7400,34,0.0045945945945945945
man |man,2014100601,8669,28,0.003229899642403968
man |man,2014100704,3010,29,0.009634551495016611
man |man,2014100815,5628,22,0.0039090262970859985
man |man,2014100701,13455,104,0.007729468599033816
man |man,2014100816,7857,22,0.0028000509100165457
man |man,2014100702,8524,83,0.00973721257625528
man |man,2014100509,9287,31,0.003337999353935609
man |man,2014100508,6498,10,0.0015389350569405972
man |man,2014100819,4300,14,0.0032558139534883722
man |man,2014100507,16911,18,0.0010643959552953698
man |man,2014100403,6749,7,0.0010371906949177656
man |man,2014100506,11836,23,0.00194322406218317
man |man,2014100402,6613,11,0.0016633902918493876
man |man,2014100505,6487,4,6.16617851086789E-4
man |man,2014100401,4570,23,0.0050328227571115975
man |man,2014100504,3861,13,0.003367003367003367
man |man,2014100400,5285,25,0.004730368968779565
man |man,2014100503,4540,8,0.001762114537444934
man |man,2014100709,5572,46,0.008255563531945441
man |man,2014100407,7111,18,0.0025312895513992404
man |man,2014100406,10763,10,9.291089844838799E-4
man |man,2014100501,6148,18,0.0029277813923227064
man |man,2014100405,10366,5,4.823461315840247E-4
man |man,2014100500,11540,22,0.0019064124783362219
man |man,2014100404,3086,9,0.002916396629941672
man |man,2014100409,9932,26,0.002617801047120419
man |man,2014100408,10458,23,0.002199273283610633
man |man,2014100903,4141,10,0.002414875633904854
man |man,2014100613,12260,1110,0.09053833605220228
man |man,2014100904,4854,13,0.0026782035434693035
man |man,2014100614,10247,285,0.027813018444422757
man |man,2014100905,7777,5,6.429214350006429E-4
man |man,2014100615,8801,241,0.02738325190319282
man |man,2014100710,7431,56,0.007535997846857758
man |man,2014100906,3505,10,0.0028530670470756064
man |man,2014100616,10833,313,0.028893196713745038
