plan |plans |plan,2014100701,13455,8,5.945745076179859E-4
plan |plans |plan,2014100816,7857,8,0.0010182003309151075
plan |plans |plan,2014100702,8524,7,8.212106992022525E-4
plan |plans |plan,2014100509,9287,5,5.383869925702595E-4
plan |plans |plan,2014100508,6498,7,0.0010772545398584179
plan |plans |plan,2014100819,4300,19,0.004418604651162791
plan |plans |plan,2014100507,16911,6,3.547986517651233E-4
plan |plans |plan,2014100403,6749,2,2.96340198547933E-4
plan |plans |plan,2014100506,11836,1,8.448800270361608E-5
plan |plans |plan,2014100402,6613,3,4.536518977771057E-4
plan |plans |plan,2014100505,6487,1,1.5415446277169725E-4
plan |plans |plan,2014100401,4570,6,0.001312910284463895
plan |plans |plan,2014100504,3861,2,5.18000518000518E-4
plan |plans |plan,2014100400,5285,9,0.0017029328287606433
plan |plans |plan,2014100503,4540,2,4.405286343612335E-4
plan |plans |plan,2014100709,5572,51,0.009152907394113424
plan |plans |plan,2014100407,7111,4,5.625087891998312E-4
plan |plans |plan,2014100406,10763,5,4.6455449224193997E-4
plan |plans |plan,2014100501,6148,4,6.506180871828237E-4
plan |plans |plan,2014100405,10366,0,0.0
plan |plans |plan,2014100500,11540,9,7.79896013864818E-4
plan |plans |plan,2014100404,3086,6,0.0019442644199611147
plan |plans |plan,2014100409,9932,13,0.0013089005235602095
plan |plans |plan,2014100408,10458,12,0.0011474469305794606
plan |plans |plan,2014100903,4141,0,0.0
plan |plans |plan,2014100613,12260,51,0.004159869494290375
plan |plans |plan,2014100904,4854,3,6.180469715698393E-4
plan |plans |plan,2014100614,10247,31,0.0030252756904459843
plan |plans |plan,2014100905,7777,4,5.143371480005143E-4
plan |plans |plan,2014100615,8801,20,0.0022724690376093627
plan |plans |plan,2014100710,7431,23,0.003095141972816579
plan |plans |plan,2014100906,3505,4,0.0011412268188302425
plan |plans |plan,2014100616,10833,48,0.004430905566325118
plan |plans |plan,2014100711,13474,36,0.0026718123793973577
plan |plans |plan,2014100617,11523,45,0.003905233012236397
plan |plans |plan,2014100900,3864,11,0.002846790890269151
plan |plans |plan,2014100618,10834,36,0.003322872438619162
plan |plans |plan,2014100901,3052,8,0.002621231979030144
plan |plans |plan,2014100619,10472,35,0.0033422459893048127
plan |plans |plan,2014100902,4916,2,4.068348250610252E-4
plan |plans |plan,2014100716,9756,25,0.0025625256252562525
plan |plans |plan,2014100800,3418,5,0.001462843768285547
plan |plans |plan,2014100717,12018,31,0.0025794641371276418
plan |plans |plan,2014100801,4912,8,0.0016286644951140066
plan |plans |plan,2014100718,9824,21,0.0021376221498371336
plan |plans |plan,2014100802,4582,4,8.729812309035355E-4
plan |plans |plan,2014100719,8904,20,0.0022461814914645105
plan |plans |plan,2014100803,4750,2,4.210526315789474E-4
plan |plans |plan,2014100712,10146,72,0.007096392667060911
plan |plans |plan,2014100804,8238,4,4.8555474629764507E-4
plan |plans |plan,2014100610,8565,59,0.006888499708114419
plan |plans |plan,2014100713,7382,57,0.007721484692495259
plan |plans |plan,2014100805,6904,4,5.793742757821553E-4
plan |plans |plan,2014100611,8676,41,0.004725680036883356
plan |plans |plan,2014100714,9294,30,0.0032278889606197547
plan |plans |plan,2014100806,7696,5,6.496881496881497E-4
plan |plans |plan,2014100612,7761,50,0.006442468754026543
plan |plans |plan,2014100715,8494,38,0.00447374617376972
plan |plans |plan,2014100807,6298,14,0.0022229279136233727
plan |plans |plan,2014100519,13547,11,8.119878939986713E-4
plan |plans |plan,2014100809,5933,30,0.005056463846283499
plan |plans |plan,2014100518,12589,16,0.0012709508300897609
plan |plans |plan,2014100808,7916,25,0.0031581606872157653
plan |plans |plan,2014100410,8297,15,0.001807882367120646
plan |plans |plan,2014100412,8252,10,0.0012118274357731458
plan |plans |plan,2014100515,6526,7,0.0010726325467361323
plan |plans |plan,2014100411,8736,19,0.002174908424908425
plan |plans |plan,2014100514,7337,10,0.001362954886193267
plan |plans |plan,2014100414,8029,4,4.981940465811433E-4
plan |plans |plan,2014100517,16635,12,7.21370604147881E-4
plan |plans |plan,2014100413,7649,5,6.536802196365538E-4
plan |plans |plan,2014100516,7164,12,0.0016750418760469012
plan |plans |plan,2014100416,8535,2,2.3432923257176333E-4
plan |plans |plan,2014100511,8203,7,8.533463367060831E-4
plan |plans |plan,2014100415,9288,15,0.001614987080103359
plan |plans |plan,2014100510,7389,10,0.0013533631073216945
plan |plans |plan,2014100418,8794,10,0.0011371389583807142
plan |plans |plan,2014100513,8653,19,0.0021957702530914134
plan |plans |plan,2014100417,9001,10,0.0011109876680368848
plan |plans |plan,2014100512,7658,17,0.0022199007573779055
plan |plans |plan,2014100908,14247,12,8.422825858075384E-4
plan |plans |plan,2014100907,7751,16,0.002064249774222681
plan |plans |plan,2014100419,8630,16,0.0018539976825028969
plan |plans |plan,2014100909,1000,1,0.001
plan |plans |plan,2014100721,11447,30,0.0026207740019219008
plan |plans |plan,2014100722,8294,28,0.003375934410417169
plan |plans |plan,2014100720,10198,34,0.003333987056285546
plan |plans |plan,2014100723,5300,12,0.0022641509433962265
plan |plans |plan,2014100520,14801,10,6.756300249983109E-4
plan |plans |plan,2014100523,12605,12,9.520031733439112E-4
plan |plans |plan,2014100522,10915,13,0.0011910215300045808
plan |plans |plan,2014100521,14363,13,9.051033906565481E-4
plan |plans |plan,2014100623,8800,11,0.00125
plan |plans |plan,2014100622,9000,24,0.0026666666666666666
plan |plans |plan,2014100621,9007,27,0.002997668480071056
plan |plans |plan,2014100620,8998,23,0.0025561235830184486
plan |plans |plan,2014093011,9741,16,0.0016425418334873217
plan |plans |plan,2014093012,11191,27,0.0024126530247520327
plan |plans |plan,2014093013,5267,11,0.0020884754129485475
plan |plans |plan,2014093017,3899,10,0.0025647601949217746
plan |plans |plan,2014093018,99,0,0.0
plan |plans |plan,2014093019,8564,24,0.0028024287716020553
