air |air |Air,2014100507,16911,2,1.182662172550411E-4
air |air |Air,2014100403,6749,1,1.481700992739665E-4
air |air |Air,2014100506,11836,3,2.5346400811084827E-4
air |air |Air,2014100402,6613,3,4.536518977771057E-4
air |air |Air,2014100505,6487,1,1.5415446277169725E-4
air |air |Air,2014100401,4570,4,8.7527352297593E-4
air |air |Air,2014100504,3861,0,0.0
air |air |Air,2014100400,5285,3,5.676442762535478E-4
air |air |Air,2014100503,4540,4,8.81057268722467E-4
air |air |Air,2014100709,5572,12,0.0021536252692031586
air |air |Air,2014100407,7111,3,4.2188159189987344E-4
air |air |Air,2014100406,10763,1,9.2910898448388E-5
air |air |Air,2014100501,6148,3,4.8796356538711777E-4
air |air |Air,2014100405,10366,5,4.823461315840247E-4
air |air |Air,2014100500,11540,7,6.065857885615251E-4
air |air |Air,2014100404,3086,1,3.240440699935191E-4
air |air |Air,2014100409,9932,12,0.0012082158679017317
air |air |Air,2014100408,10458,6,5.737234652897303E-4
air |air |Air,2014100903,4141,1,2.414875633904854E-4
air |air |Air,2014100613,12260,11,8.972267536704731E-4
air |air |Air,2014100904,4854,2,4.1203131437989287E-4
air |air |Air,2014100614,10247,13,0.0012686639992192837
air |air |Air,2014100905,7777,0,0.0
air |air |Air,2014100615,8801,4,4.544938075218725E-4
air |air |Air,2014100710,7431,16,0.0021531422419593595
air |air |Air,2014100906,3505,3,8.559201141226819E-4
air |air |Air,2014100616,10833,8,7.384842610541863E-4
air |air |Air,2014100711,13474,8,5.937360843105239E-4
air |air |Air,2014100617,11523,16,0.0013885272932396078
air |air |Air,2014100900,3864,8,0.002070393374741201
air |air |Air,2014100618,10834,12,0.0011076241462063873
air |air |Air,2014100901,3052,3,9.82961992136304E-4
air |air |Air,2014100619,10472,9,8.594346829640947E-4
air |air |Air,2014100902,4916,5,0.0010170870626525631
air |air |Air,2014100716,9756,21,0.002152521525215252
air |air |Air,2014100800,3418,3,8.777062609713282E-4
air |air |Air,2014100717,12018,15,0.0012481278082875687
air |air |Air,2014100801,4912,0,0.0
air |air |Air,2014100718,9824,17,0.0017304560260586318
air |air |Air,2014100802,4582,5,0.0010912265386294195
air |air |Air,2014100719,8904,22,0.0024707996406109615
air |air |Air,2014100803,4750,3,6.315789473684211E-4
air |air |Air,2014100712,10146,16,0.001576976148235758
air |air |Air,2014100804,8238,2,2.4277737314882253E-4
air |air |Air,2014100610,8565,5,5.837711617046118E-4
air |air |Air,2014100713,7382,11,0.001490111081007857
air |air |Air,2014100805,6904,6,8.690614136732329E-4
air |air |Air,2014100611,8676,12,0.0013831258644536654
air |air |Air,2014100714,9294,11,0.0011835592855605767
air |air |Air,2014100806,7696,5,6.496881496881497E-4
air |air |Air,2014100612,7761,17,0.0021904393763690247
air |air |Air,2014100715,8494,7,8.241111372733694E-4
air |air |Air,2014100807,6298,8,0.0012702445220704986
air |air |Air,2014100519,13547,26,0.0019192441130877686
air |air |Air,2014100809,5933,11,0.001854036743637283
air |air |Air,2014100518,12589,6,4.7660656128366036E-4
air |air |Air,2014100808,7916,6,7.579585649317837E-4
air |air |Air,2014100410,8297,23,0.0027720862962516573
air |air |Air,2014100412,8252,8,9.694619486185168E-4
air |air |Air,2014100515,6526,13,0.00199203187250996
air |air |Air,2014100411,8736,13,0.001488095238095238
air |air |Air,2014100514,7337,5,6.814774430966335E-4
air |air |Air,2014100414,8029,14,0.0017436791630340018
air |air |Air,2014100517,16635,13,7.814848211602044E-4
air |air |Air,2014100413,7649,3,3.922081317819323E-4
air |air |Air,2014100516,7164,18,0.002512562814070352
air |air |Air,2014100416,8535,8,9.373169302870533E-4
air |air |Air,2014100511,8203,14,0.0017066926734121662
air |air |Air,2014100415,9288,8,8.613264427217916E-4
air |air |Air,2014100510,7389,17,0.0023007172824468804
air |air |Air,2014100418,8794,6,6.822833750284285E-4
air |air |Air,2014100513,8653,8,9.245348434069109E-4
air |air |Air,2014100417,9001,10,0.0011109876680368848
air |air |Air,2014100512,7658,5,6.529119874640898E-4
air |air |Air,2014100908,14247,9,6.317119393556538E-4
air |air |Air,2014100907,7751,6,7.740936653335053E-4
air |air |Air,2014100419,8630,7,8.111239860950173E-4
air |air |Air,2014100909,1000,3,0.003
air |air |Air,2014100721,11447,11,9.609504673713636E-4
air |air |Air,2014100722,8294,12,0.0014468290330359296
air |air |Air,2014100720,10198,9,8.825259854873505E-4
air |air |Air,2014100723,5300,7,0.0013207547169811322
air |air |Air,2014100520,14801,11,7.431930274981421E-4
air |air |Air,2014100523,12605,9,7.140023800079334E-4
air |air |Air,2014100522,10915,10,9.161704076958314E-4
air |air |Air,2014100521,14363,11,7.658567151709253E-4
air |air |Air,2014100623,8800,4,4.5454545454545455E-4
air |air |Air,2014100622,9000,15,0.0016666666666666668
air |air |Air,2014100621,9007,10,0.001110247585211502
air |air |Air,2014100620,8998,10,0.0011113580795732384
air |air |Air,2014093011,9741,4,4.106354583718304E-4
air |air |Air,2014093012,11191,10,8.935751943526047E-4
air |air |Air,2014093013,5267,3,5.69584203531422E-4
air |air |Air,2014093017,3899,5,0.0012823800974608873
air |air |Air,2014093018,99,0,0.0
air |air |Air,2014093019,8564,15,0.0017515179822512844
