rio |Rio,2014100406,10763,0,0.0
rio |Rio,2014100501,6148,0,0.0
rio |Rio,2014100405,10366,1,9.646922631680494E-5
rio |Rio,2014100500,11540,0,0.0
rio |Rio,2014100404,3086,0,0.0
rio |Rio,2014100409,9932,1,1.0068465565847765E-4
rio |Rio,2014100408,10458,0,0.0
rio |Rio,2014100903,4141,0,0.0
rio |Rio,2014100613,12260,1,8.156606851549755E-5
rio |Rio,2014100904,4854,0,0.0
rio |Rio,2014100614,10247,0,0.0
rio |Rio,2014100905,7777,0,0.0
rio |Rio,2014100615,8801,1,1.1362345188046812E-4
rio |Rio,2014100710,7431,2,2.6914278024491994E-4
rio |Rio,2014100906,3505,0,0.0
rio |Rio,2014100616,10833,1,9.231053263177328E-5
rio |Rio,2014100711,13474,2,1.4843402107763098E-4
rio |Rio,2014100617,11523,2,1.7356591165495098E-4
rio |Rio,2014100900,3864,0,0.0
rio |Rio,2014100618,10834,0,0.0
rio |Rio,2014100901,3052,1,3.27653997378768E-4
rio |Rio,2014100619,10472,0,0.0
rio |Rio,2014100902,4916,2,4.068348250610252E-4
rio |Rio,2014100716,9756,3,3.075030750307503E-4
rio |Rio,2014100800,3418,1,2.925687536571094E-4
rio |Rio,2014100717,12018,1,8.320852055250458E-5
rio |Rio,2014100801,4912,3,6.107491856677524E-4
rio |Rio,2014100718,9824,1,1.0179153094462541E-4
rio |Rio,2014100802,4582,0,0.0
rio |Rio,2014100719,8904,0,0.0
rio |Rio,2014100803,4750,0,0.0
rio |Rio,2014100712,10146,2,1.9712201852946975E-4
rio |Rio,2014100804,8238,0,0.0
rio |Rio,2014100610,8565,1,1.1675423234092235E-4
rio |Rio,2014100713,7382,0,0.0
rio |Rio,2014100805,6904,0,0.0
rio |Rio,2014100611,8676,0,0.0
rio |Rio,2014100714,9294,4,4.3038519474930065E-4
rio |Rio,2014100806,7696,0,0.0
rio |Rio,2014100612,7761,0,0.0
rio |Rio,2014100715,8494,2,2.354603249352484E-4
rio |Rio,2014100807,6298,0,0.0
rio |Rio,2014100519,13547,0,0.0
rio |Rio,2014100809,5933,3,5.056463846283499E-4
rio |Rio,2014100518,12589,0,0.0
rio |Rio,2014100808,7916,0,0.0
rio |Rio,2014100410,8297,2,2.410509822827528E-4
rio |Rio,2014100412,8252,0,0.0
rio |Rio,2014100515,6526,0,0.0
rio |Rio,2014100411,8736,0,0.0
rio |Rio,2014100514,7337,0,0.0
rio |Rio,2014100414,8029,0,0.0
rio |Rio,2014100517,16635,0,0.0
rio |Rio,2014100413,7649,0,0.0
rio |Rio,2014100516,7164,0,0.0
rio |Rio,2014100416,8535,0,0.0
rio |Rio,2014100511,8203,0,0.0
rio |Rio,2014100415,9288,0,0.0
rio |Rio,2014100510,7389,0,0.0
rio |Rio,2014100418,8794,0,0.0
rio |Rio,2014100513,8653,0,0.0
rio |Rio,2014100417,9001,0,0.0
rio |Rio,2014100512,7658,0,0.0
rio |Rio,2014100908,14247,0,0.0
rio |Rio,2014100907,7751,0,0.0
rio |Rio,2014100419,8630,0,0.0
rio |Rio,2014100909,1000,0,0.0
rio |Rio,2014100721,11447,1,8.73591333973967E-5
rio |Rio,2014100722,8294,0,0.0
rio |Rio,2014100720,10198,3,2.941753284957835E-4
rio |Rio,2014100723,5300,0,0.0
rio |Rio,2014100520,14801,0,0.0
rio |Rio,2014100523,12605,0,0.0
rio |Rio,2014100522,10915,0,0.0
rio |Rio,2014100521,14363,0,0.0
rio |Rio,2014100623,8800,0,0.0
rio |Rio,2014100622,9000,1,1.1111111111111112E-4
rio |Rio,2014100621,9007,0,0.0
rio |Rio,2014100620,8998,0,0.0
rio |Rio,2014093011,9741,0,0.0
rio |Rio,2014093012,11191,0,0.0
rio |Rio,2014093013,5267,0,0.0
rio |Rio,2014093017,3899,0,0.0
rio |Rio,2014093018,99,0,0.0
rio |Rio,2014093019,8564,1,1.1676786548341896E-4
