bomber |Bombers,2014100508,6498,0,0.0
bomber |Bombers,2014100819,4300,2,4.6511627906976747E-4
bomber |Bombers,2014100507,16911,1,5.913310862752055E-5
bomber |Bombers,2014100403,6749,0,0.0
bomber |Bombers,2014100506,11836,0,0.0
bomber |Bombers,2014100402,6613,1,1.5121729925903524E-4
bomber |Bombers,2014100505,6487,0,0.0
bomber |Bombers,2014100401,4570,0,0.0
bomber |Bombers,2014100504,3861,0,0.0
bomber |Bombers,2014100400,5285,0,0.0
bomber |Bombers,2014100503,4540,0,0.0
bomber |Bombers,2014100709,5572,3,5.384063173007897E-4
bomber |Bombers,2014100407,7111,0,0.0
bomber |Bombers,2014100406,10763,0,0.0
bomber |Bombers,2014100501,6148,0,0.0
bomber |Bombers,2014100405,10366,0,0.0
bomber |Bombers,2014100500,11540,0,0.0
bomber |Bombers,2014100404,3086,0,0.0
bomber |Bombers,2014100409,9932,2,2.013693113169553E-4
bomber |Bombers,2014100408,10458,0,0.0
bomber |Bombers,2014100903,4141,1,2.414875633904854E-4
bomber |Bombers,2014100613,12260,7,5.709624796084829E-4
bomber |Bombers,2014100904,4854,0,0.0
bomber |Bombers,2014100614,10247,9,8.783058456133503E-4
bomber |Bombers,2014100905,7777,0,0.0
bomber |Bombers,2014100615,8801,8,9.08987615043745E-4
bomber |Bombers,2014100710,7431,3,4.037141703673799E-4
bomber |Bombers,2014100906,3505,0,0.0
bomber |Bombers,2014100616,10833,39,0.003600110772639158
bomber |Bombers,2014100711,13474,5,3.7108505269407746E-4
bomber |Bombers,2014100617,11523,22,0.0019092250282044605
bomber |Bombers,2014100900,3864,0,0.0
bomber |Bombers,2014100618,10834,9,8.307181096547905E-4
bomber |Bombers,2014100901,3052,0,0.0
bomber |Bombers,2014100619,10472,0,0.0
bomber |Bombers,2014100902,4916,0,0.0
bomber |Bombers,2014100716,9756,0,0.0
bomber |Bombers,2014100800,3418,0,0.0
bomber |Bombers,2014100717,12018,5,4.160426027625229E-4
bomber |Bombers,2014100801,4912,0,0.0
bomber |Bombers,2014100718,9824,3,3.053745928338762E-4
bomber |Bombers,2014100802,4582,0,0.0
bomber |Bombers,2014100719,8904,24,0.0026954177897574125
bomber |Bombers,2014100803,4750,0,0.0
bomber |Bombers,2014100712,10146,6,5.913660555884093E-4
bomber |Bombers,2014100804,8238,1,1.2138868657441127E-4
bomber |Bombers,2014100610,8565,4,4.670169293636894E-4
bomber |Bombers,2014100713,7382,1,1.35464643727987E-4
bomber |Bombers,2014100805,6904,0,0.0
bomber |Bombers,2014100611,8676,2,2.305209774089442E-4
bomber |Bombers,2014100714,9294,1,1.0759629868732516E-4
bomber |Bombers,2014100806,7696,2,2.598752598752599E-4
bomber |Bombers,2014100612,7761,8,0.001030795000644247
bomber |Bombers,2014100715,8494,2,2.354603249352484E-4
bomber |Bombers,2014100807,6298,0,0.0
bomber |Bombers,2014100519,13547,3,2.2145124381781945E-4
bomber |Bombers,2014100809,5933,0,0.0
bomber |Bombers,2014100518,12589,2,1.588688537612201E-4
bomber |Bombers,2014100808,7916,1,1.2632642748863063E-4
bomber |Bombers,2014100410,8297,8,9.642039291310112E-4
bomber |Bombers,2014100412,8252,1,1.211827435773146E-4
bomber |Bombers,2014100515,6526,2,3.0646644192460924E-4
bomber |Bombers,2014100411,8736,3,3.4340659340659343E-4
bomber |Bombers,2014100514,7337,0,0.0
bomber |Bombers,2014100414,8029,2,2.4909702329057166E-4
bomber |Bombers,2014100517,16635,2,1.2022843402464683E-4
bomber |Bombers,2014100413,7649,2,2.6147208785462153E-4
bomber |Bombers,2014100516,7164,1,1.3958682300390843E-4
bomber |Bombers,2014100416,8535,0,0.0
bomber |Bombers,2014100511,8203,1,1.2190661952944045E-4
bomber |Bombers,2014100415,9288,2,2.153316106804479E-4
bomber |Bombers,2014100510,7389,5,6.766815536608473E-4
bomber |Bombers,2014100418,8794,1,1.1371389583807141E-4
bomber |Bombers,2014100513,8653,5,5.778342771293193E-4
bomber |Bombers,2014100417,9001,0,0.0
bomber |Bombers,2014100512,7658,2,2.6116479498563595E-4
bomber |Bombers,2014100908,14247,2,1.4038043096792306E-4
bomber |Bombers,2014100907,7751,1,1.2901561088891756E-4
bomber |Bombers,2014100419,8630,3,3.476245654692932E-4
bomber |Bombers,2014100909,1000,0,0.0
bomber |Bombers,2014100721,11447,14,0.0012230278675635538
bomber |Bombers,2014100722,8294,17,0.002049674463467567
bomber |Bombers,2014100720,10198,10,9.805844283192783E-4
bomber |Bombers,2014100723,5300,3,5.660377358490566E-4
bomber |Bombers,2014100520,14801,2,1.3512600499966218E-4
bomber |Bombers,2014100523,12605,0,0.0
bomber |Bombers,2014100522,10915,1,9.161704076958314E-5
bomber |Bombers,2014100521,14363,1,6.962333774281139E-5
bomber |Bombers,2014100623,8800,1,1.1363636363636364E-4
bomber |Bombers,2014100622,9000,6,6.666666666666666E-4
bomber |Bombers,2014100621,9007,8,8.881980681692017E-4
bomber |Bombers,2014100620,8998,25,0.002778395198933096
bomber |Bombers,2014093011,9741,0,0.0
bomber |Bombers,2014093012,11191,1,8.935751943526048E-5
bomber |Bombers,2014093013,5267,1,1.8986140117714068E-4
bomber |Bombers,2014093017,3899,1,2.5647601949217746E-4
bomber |Bombers,2014093018,99,0,0.0
bomber |Bombers,2014093019,8564,4,4.6707146193367583E-4
