crowd |crowds |Crowds |crowd,2014100914,3191,6,0.001880288310874334
crowd |crowds |Crowds |crowd,2014100602,8176,18,0.002201565557729941
crowd |crowds |Crowds |crowd,2014100915,1000,5,0.005
crowd |crowds |Crowds |crowd,2014100603,9384,7,7.459505541346973E-4
crowd |crowds |Crowds |crowd,2014100912,2545,3,0.0011787819253438114
crowd |crowds |Crowds |crowd,2014100608,13680,19,0.001388888888888889
crowd |crowds |Crowds |crowd,2014100913,6771,14,0.002067641411903707
crowd |crowds |Crowds |crowd,2014100609,13287,8,6.020922706404757E-4
crowd |crowds |Crowds |crowd,2014100810,6053,4,6.608293408227325E-4
crowd |crowds |Crowds |crowd,2014100606,4334,3,6.922011998154131E-4
crowd |crowds |Crowds |crowd,2014100607,6194,10,0.0016144656118824668
crowd |crowds |Crowds |crowd,2014100707,4802,0,0.0
crowd |crowds |Crowds |crowd,2014100813,7061,1024,0.14502195156493414
crowd |crowds |Crowds |crowd,2014100708,5400,2,3.7037037037037035E-4
crowd |crowds |Crowds |crowd,2014100814,6011,235,0.039094992513724836
crowd |crowds |Crowds |crowd,2014100705,2740,0,0.0
crowd |crowds |Crowds |crowd,2014100811,6604,3,4.542701393095094E-4
crowd |crowds |Crowds |crowd,2014100706,3398,0,0.0
crowd |crowds |Crowds |crowd,2014100812,5896,0,0.0
crowd |crowds |Crowds |crowd,2014100817,6743,174,0.025804538039448318
crowd |crowds |Crowds |crowd,2014100600,15771,15,9.511128019783146E-4
crowd |crowds |Crowds |crowd,2014100703,5792,0,0.0
crowd |crowds |Crowds |crowd,2014100818,7400,82,0.01108108108108108
crowd |crowds |Crowds |crowd,2014100601,8669,42,0.004844849463605952
crowd |crowds |Crowds |crowd,2014100704,3010,0,0.0
crowd |crowds |Crowds |crowd,2014100815,5628,208,0.03695806680881308
crowd |crowds |Crowds |crowd,2014100701,13455,0,0.0
crowd |crowds |Crowds |crowd,2014100816,7857,230,0.02927325951380934
crowd |crowds |Crowds |crowd,2014100702,8524,0,0.0
crowd |crowds |Crowds |crowd,2014100509,9287,6,6.460643910843114E-4
crowd |crowds |Crowds |crowd,2014100508,6498,4,6.155740227762388E-4
crowd |crowds |Crowds |crowd,2014100819,4300,18,0.004186046511627907
crowd |crowds |Crowds |crowd,2014100507,16911,2,1.182662172550411E-4
crowd |crowds |Crowds |crowd,2014100403,6749,1,1.481700992739665E-4
crowd |crowds |Crowds |crowd,2014100506,11836,2,1.6897600540723216E-4
crowd |crowds |Crowds |crowd,2014100402,6613,2,3.0243459851807047E-4
crowd |crowds |Crowds |crowd,2014100505,6487,0,0.0
crowd |crowds |Crowds |crowd,2014100401,4570,1,2.188183807439825E-4
crowd |crowds |Crowds |crowd,2014100504,3861,0,0.0
crowd |crowds |Crowds |crowd,2014100400,5285,4,7.568590350047304E-4
crowd |crowds |Crowds |crowd,2014100503,4540,0,0.0
crowd |crowds |Crowds |crowd,2014100709,5572,1,1.7946877243359656E-4
crowd |crowds |Crowds |crowd,2014100407,7111,6,8.437631837997469E-4
crowd |crowds |Crowds |crowd,2014100406,10763,4,3.71643593793552E-4
crowd |crowds |Crowds |crowd,2014100501,6148,3,4.8796356538711777E-4
crowd |crowds |Crowds |crowd,2014100405,10366,2,1.9293845263360988E-4
crowd |crowds |Crowds |crowd,2014100500,11540,7,6.065857885615251E-4
crowd |crowds |Crowds |crowd,2014100404,3086,0,0.0
crowd |crowds |Crowds |crowd,2014100409,9932,5,5.034232782923883E-4
crowd |crowds |Crowds |crowd,2014100408,10458,11,0.0010518263530311723
crowd |crowds |Crowds |crowd,2014100903,4141,51,0.012315865732914755
crowd |crowds |Crowds |crowd,2014100613,12260,27,0.002202283849918434
crowd |crowds |Crowds |crowd,2014100904,4854,67,0.013803049031726411
crowd |crowds |Crowds |crowd,2014100614,10247,10,9.758953840148336E-4
crowd |crowds |Crowds |crowd,2014100905,7777,33,0.004243281471004243
crowd |crowds |Crowds |crowd,2014100615,8801,6,6.817407112828088E-4
crowd |crowds |Crowds |crowd,2014100710,7431,0,0.0
crowd |crowds |Crowds |crowd,2014100906,3505,34,0.009700427960057061
crowd |crowds |Crowds |crowd,2014100616,10833,14,0.001292347456844826
crowd |crowds |Crowds |crowd,2014100711,13474,7,5.195190737717084E-4
crowd |crowds |Crowds |crowd,2014100617,11523,8,6.942636466198039E-4
crowd |crowds |Crowds |crowd,2014100900,3864,71,0.018374741200828156
crowd |crowds |Crowds |crowd,2014100618,10834,5,4.6151006091932806E-4
crowd |crowds |Crowds |crowd,2014100901,3052,48,0.015727391874180863
crowd |crowds |Crowds |crowd,2014100619,10472,3,2.8647822765469827E-4
crowd |crowds |Crowds |crowd,2014100902,4916,63,0.012815296989422294
crowd |crowds |Crowds |crowd,2014100716,9756,9,9.225092250922509E-4
crowd |crowds |Crowds |crowd,2014100800,3418,0,0.0
crowd |crowds |Crowds |crowd,2014100717,12018,5,4.160426027625229E-4
crowd |crowds |Crowds |crowd,2014100801,4912,3,6.107491856677524E-4
crowd |crowds |Crowds |crowd,2014100718,9824,3,3.053745928338762E-4
crowd |crowds |Crowds |crowd,2014100802,4582,0,0.0
crowd |crowds |Crowds |crowd,2014100719,8904,1,1.1230907457322552E-4
crowd |crowds |Crowds |crowd,2014100803,4750,1,2.105263157894737E-4
crowd |crowds |Crowds |crowd,2014100712,10146,0,0.0
crowd |crowds |Crowds |crowd,2014100804,8238,0,0.0
crowd |crowds |Crowds |crowd,2014100610,8565,3,3.502626970227671E-4
crowd |crowds |Crowds |crowd,2014100713,7382,2,2.70929287455974E-4
crowd |crowds |Crowds |crowd,2014100805,6904,1,1.4484356894553882E-4
crowd |crowds |Crowds |crowd,2014100611,8676,0,0.0
crowd |crowds |Crowds |crowd,2014100714,9294,2,2.1519259737465033E-4
crowd |crowds |Crowds |crowd,2014100806,7696,0,0.0
crowd |crowds |Crowds |crowd,2014100612,7761,7,9.01945625563716E-4
crowd |crowds |Crowds |crowd,2014100715,8494,4,4.709206498704968E-4
crowd |crowds |Crowds |crowd,2014100807,6298,0,0.0
crowd |crowds |Crowds |crowd,2014100519,13547,22,0.0016239757879973427
crowd |crowds |Crowds |crowd,2014100809,5933,2,3.370975897522333E-4
crowd |crowds |Crowds |crowd,2014100518,12589,3,2.3830328064183018E-4
crowd |crowds |Crowds |crowd,2014100808,7916,1,1.2632642748863063E-4
crowd |crowds |Crowds |crowd,2014100410,8297,4,4.821019645655056E-4
crowd |crowds |Crowds |crowd,2014100412,8252,12,0.001454192922927775
crowd |crowds |Crowds |crowd,2014100515,6526,3,4.5969966288691386E-4
crowd |crowds |Crowds |crowd,2014100411,8736,12,0.0013736263736263737
crowd |crowds |Crowds |crowd,2014100514,7337,5,6.814774430966335E-4
crowd |crowds |Crowds |crowd,2014100414,8029,4,4.981940465811433E-4
crowd |crowds |Crowds |crowd,2014100517,16635,0,0.0
crowd |crowds |Crowds |crowd,2014100413,7649,3,3.922081317819323E-4
crowd |crowds |Crowds |crowd,2014100516,7164,3,4.187604690117253E-4
crowd |crowds |Crowds |crowd,2014100416,8535,9,0.001054481546572935
crowd |crowds |Crowds |crowd,2014100511,8203,15,0.0018285992929416067
crowd |crowds |Crowds |crowd,2014100415,9288,6,6.459948320413437E-4
crowd |crowds |Crowds |crowd,2014100510,7389,0,0.0
crowd |crowds |Crowds |crowd,2014100418,8794,13,0.0014782806458949283
crowd |crowds |Crowds |crowd,2014100513,8653,2,2.3113371085172773E-4
crowd |crowds |Crowds |crowd,2014100417,9001,16,0.0017775802688590157
crowd |crowds |Crowds |crowd,2014100512,7658,3,3.917471924784539E-4
crowd |crowds |Crowds |crowd,2014100908,14247,72,0.00505369551484523
crowd |crowds |Crowds |crowd,2014100907,7751,44,0.0056766868791123725
crowd |crowds |Crowds |crowd,2014100419,8630,5,5.793742757821553E-4
crowd |crowds |Crowds |crowd,2014100909,1000,7,0.007
crowd |crowds |Crowds |crowd,2014100721,11447,4,3.494365335895868E-4
crowd |crowds |Crowds |crowd,2014100722,8294,2,2.4113817217265494E-4
crowd |crowds |Crowds |crowd,2014100720,10198,10,9.805844283192783E-4
crowd |crowds |Crowds |crowd,2014100723,5300,1,1.8867924528301886E-4
crowd |crowds |Crowds |crowd,2014100520,14801,16,0.0010810080399972974
crowd |crowds |Crowds |crowd,2014100523,12605,26,0.002062673542245141
crowd |crowds |Crowds |crowd,2014100522,10915,71,0.006504809894640403
crowd |crowds |Crowds |crowd,2014100521,14363,61,0.004247023602311495
crowd |crowds |Crowds |crowd,2014100623,8800,1,1.1363636363636364E-4
crowd |crowds |Crowds |crowd,2014100622,9000,2,2.2222222222222223E-4
crowd |crowds |Crowds |crowd,2014100621,9007,17,0.0018874208948595538
crowd |crowds |Crowds |crowd,2014100620,8998,1,1.1113580795732385E-4
crowd |crowds |Crowds |crowd,2014093011,9741,7,7.186120521507032E-4
crowd |crowds |Crowds |crowd,2014093012,11191,8,7.148601554820838E-4
crowd |crowds |Crowds |crowd,2014093013,5267,2,3.7972280235428136E-4
crowd |crowds |Crowds |crowd,2014093017,3899,1,2.5647601949217746E-4
crowd |crowds |Crowds |crowd,2014093018,99,0,0.0
crowd |crowds |Crowds |crowd,2014093019,8564,3,3.503035964502569E-4
