nrl grand final |NRL Grand Final |NRL grand final,2014100118,10294,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100604,4638,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100605,8675,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100700,5207,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100914,3191,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100602,8176,2,2.446183953033268E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100915,1000,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100603,9384,1,1.0656436487638534E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100912,2545,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100608,13680,3,2.192982456140351E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100913,6771,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100609,13287,4,3.0104613532023783E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100810,6053,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100606,4334,1,2.3073373327180433E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100607,6194,3,4.8433968356474005E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100707,4802,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100813,7061,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100708,5400,2,3.7037037037037035E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100814,6011,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100705,2740,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100811,6604,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100706,3398,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100812,5896,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100817,6743,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100600,15771,2,1.268150402637753E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100703,5792,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100818,7400,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100601,8669,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100704,3010,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100815,5628,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100701,13455,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100816,7857,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100702,8524,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100509,9287,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100508,6498,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100819,4300,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100507,16911,1,5.913310862752055E-5
nrl grand final |NRL Grand Final |NRL grand final,2014100403,6749,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100506,11836,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100402,6613,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100505,6487,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100401,4570,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100504,3861,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100400,5285,1,1.892147587511826E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100503,4540,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100709,5572,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100407,7111,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100406,10763,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100501,6148,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100405,10366,0,0.0
