industry |industry |Industry,2014100703,5792,1,1.7265193370165745E-4
industry |industry |Industry,2014100818,7400,2,2.702702702702703E-4
industry |industry |Industry,2014100601,8669,0,0.0
industry |industry |Industry,2014100704,3010,0,0.0
industry |industry |Industry,2014100815,5628,13,0.0023098791755508173
industry |industry |Industry,2014100701,13455,1,7.432181345224824E-5
industry |industry |Industry,2014100816,7857,10,0.0012727504136438843
industry |industry |Industry,2014100702,8524,1,1.1731581417175035E-4
industry |industry |Industry,2014100509,9287,2,2.153547970281038E-4
industry |industry |Industry,2014100508,6498,2,3.077870113881194E-4
industry |industry |Industry,2014100819,4300,5,0.0011627906976744186
industry |industry |Industry,2014100507,16911,4,2.365324345100822E-4
industry |industry |Industry,2014100403,6749,2,2.96340198547933E-4
industry |industry |Industry,2014100506,11836,0,0.0
industry |industry |Industry,2014100402,6613,2,3.0243459851807047E-4
industry |industry |Industry,2014100505,6487,0,0.0
industry |industry |Industry,2014100401,4570,1,2.188183807439825E-4
industry |industry |Industry,2014100504,3861,1,2.59000259000259E-4
industry |industry |Industry,2014100400,5285,4,7.568590350047304E-4
industry |industry |Industry,2014100503,4540,0,0.0
industry |industry |Industry,2014100709,5572,7,0.001256281407035176
industry |industry |Industry,2014100407,7111,4,5.625087891998312E-4
industry |industry |Industry,2014100406,10763,4,3.71643593793552E-4
industry |industry |Industry,2014100501,6148,2,3.2530904359141186E-4
industry |industry |Industry,2014100405,10366,2,1.9293845263360988E-4
industry |industry |Industry,2014100500,11540,1,8.665511265164645E-5
industry |industry |Industry,2014100404,3086,2,6.480881399870382E-4
industry |industry |Industry,2014100409,9932,2,2.013693113169553E-4
industry |industry |Industry,2014100408,10458,3,2.8686173264486515E-4
industry |industry |Industry,2014100903,4141,0,0.0
industry |industry |Industry,2014100613,12260,9,7.34094616639478E-4
industry |industry |Industry,2014100904,4854,0,0.0
industry |industry |Industry,2014100614,10247,7,6.831267688103836E-4
industry |industry |Industry,2014100905,7777,0,0.0
industry |industry |Industry,2014100615,8801,9,0.0010226110669242132
industry |industry |Industry,2014100710,7431,7,9.419997308572198E-4
industry |industry |Industry,2014100906,3505,1,2.853067047075606E-4
industry |industry |Industry,2014100616,10833,4,3.6924213052709313E-4
industry |industry |Industry,2014100711,13474,19,0.0014101232002374944
industry |industry |Industry,2014100617,11523,7,6.074806907923284E-4
industry |industry |Industry,2014100900,3864,0,0.0
industry |industry |Industry,2014100618,10834,3,2.769060365515968E-4
industry |industry |Industry,2014100901,3052,0,0.0
industry |industry |Industry,2014100619,10472,6,5.729564553093965E-4
industry |industry |Industry,2014100902,4916,0,0.0
industry |industry |Industry,2014100716,9756,4,4.100041000410004E-4
industry |industry |Industry,2014100800,3418,1,2.925687536571094E-4
industry |industry |Industry,2014100717,12018,6,4.992511233150275E-4
industry |industry |Industry,2014100801,4912,0,0.0
industry |industry |Industry,2014100718,9824,9,9.161237785016286E-4
