parliament |parliament |Parliament,2014100814,6011,1,1.6636167027116953E-4
parliament |parliament |Parliament,2014100705,2740,0,0.0
parliament |parliament |Parliament,2014100811,6604,3,4.542701393095094E-4
parliament |parliament |Parliament,2014100706,3398,0,0.0
parliament |parliament |Parliament,2014100812,5896,0,0.0
parliament |parliament |Parliament,2014100817,6743,2,2.9660388551090017E-4
parliament |parliament |Parliament,2014100600,15771,4,2.536300805275506E-4
parliament |parliament |Parliament,2014100703,5792,0,0.0
parliament |parliament |Parliament,2014100818,7400,2,2.702702702702703E-4
parliament |parliament |Parliament,2014100601,8669,1,1.1535355865728458E-4
parliament |parliament |Parliament,2014100704,3010,0,0.0
parliament |parliament |Parliament,2014100815,5628,0,0.0
parliament |parliament |Parliament,2014100701,13455,0,0.0
parliament |parliament |Parliament,2014100816,7857,0,0.0
parliament |parliament |Parliament,2014100702,8524,0,0.0
parliament |parliament |Parliament,2014100509,9287,3,3.230321955421557E-4
parliament |parliament |Parliament,2014100508,6498,1,1.538935056940597E-4
parliament |parliament |Parliament,2014100819,4300,1,2.3255813953488373E-4
parliament |parliament |Parliament,2014100507,16911,0,0.0
parliament |parliament |Parliament,2014100403,6749,1,1.481700992739665E-4
parliament |parliament |Parliament,2014100506,11836,2,1.6897600540723216E-4
parliament |parliament |Parliament,2014100402,6613,1,1.5121729925903524E-4
parliament |parliament |Parliament,2014100505,6487,0,0.0
parliament |parliament |Parliament,2014100401,4570,0,0.0
parliament |parliament |Parliament,2014100504,3861,0,0.0
parliament |parliament |Parliament,2014100400,5285,1,1.892147587511826E-4
parliament |parliament |Parliament,2014100503,4540,0,0.0
parliament |parliament |Parliament,2014100709,5572,5,8.973438621679827E-4
parliament |parliament |Parliament,2014100407,7111,4,5.625087891998312E-4
parliament |parliament |Parliament,2014100406,10763,1,9.2910898448388E-5
parliament |parliament |Parliament,2014100501,6148,4,6.506180871828237E-4
parliament |parliament |Parliament,2014100405,10366,0,0.0
parliament |parliament |Parliament,2014100500,11540,2,1.733102253032929E-4
parliament |parliament |Parliament,2014100404,3086,4,0.0012961762799740765
parliament |parliament |Parliament,2014100409,9932,10,0.0010068465565847766
parliament |parliament |Parliament,2014100408,10458,5,4.7810288774144193E-4
parliament |parliament |Parliament,2014100903,4141,0,0.0
parliament |parliament |Parliament,2014100613,12260,2,1.631321370309951E-4
parliament |parliament |Parliament,2014100904,4854,0,0.0
parliament |parliament |Parliament,2014100614,10247,2,1.9517907680296673E-4
parliament |parliament |Parliament,2014100905,7777,0,0.0
parliament |parliament |Parliament,2014100615,8801,1,1.1362345188046812E-4
parliament |parliament |Parliament,2014100710,7431,18,0.0024222850222042794
parliament |parliament |Parliament,2014100906,3505,0,0.0
parliament |parliament |Parliament,2014100616,10833,0,0.0
parliament |parliament |Parliament,2014100711,13474,1,7.421701053881549E-5
parliament |parliament |Parliament,2014100617,11523,2,1.7356591165495098E-4
parliament |parliament |Parliament,2014100900,3864,0,0.0
parliament |parliament |Parliament,2014100618,10834,3,2.769060365515968E-4
parliament |parliament |Parliament,2014100901,3052,0,0.0
parliament |parliament |Parliament,2014100619,10472,6,5.729564553093965E-4
parliament |parliament |Parliament,2014100902,4916,0,0.0
parliament |parliament |Parliament,2014100716,9756,2,2.050020500205002E-4
parliament |parliament |Parliament,2014100800,3418,0,0.0
parliament |parliament |Parliament,2014100717,12018,4,3.328340822100183E-4
parliament |parliament |Parliament,2014100801,4912,0,0.0
parliament |parliament |Parliament,2014100718,9824,4,4.0716612377850165E-4
parliament |parliament |Parliament,2014100802,4582,1,2.1824530772588389E-4
parliament |parliament |Parliament,2014100719,8904,2,2.2461814914645105E-4
parliament |parliament |Parliament,2014100803,4750,0,0.0
parliament |parliament |Parliament,2014100712,10146,6,5.913660555884093E-4
parliament |parliament |Parliament,2014100804,8238,0,0.0
parliament |parliament |Parliament,2014100610,8565,0,0.0
parliament |parliament |Parliament,2014100713,7382,3,4.06393931183961E-4
parliament |parliament |Parliament,2014100805,6904,0,0.0
parliament |parliament |Parliament,2014100611,8676,2,2.305209774089442E-4
parliament |parliament |Parliament,2014100714,9294,2,2.1519259737465033E-4
parliament |parliament |Parliament,2014100806,7696,0,0.0
parliament |parliament |Parliament,2014100612,7761,0,0.0
parliament |parliament |Parliament,2014100715,8494,4,4.709206498704968E-4
parliament |parliament |Parliament,2014100807,6298,0,0.0
parliament |parliament |Parliament,2014100519,13547,4,2.9526832509042594E-4
parliament |parliament |Parliament,2014100809,5933,0,0.0
parliament |parliament |Parliament,2014100518,12589,0,0.0
parliament |parliament |Parliament,2014100808,7916,0,0.0
parliament |parliament |Parliament,2014100410,8297,14,0.0016873568759792697
parliament |parliament |Parliament,2014100412,8252,20,0.0024236548715462916
parliament |parliament |Parliament,2014100515,6526,2,3.0646644192460924E-4
parliament |parliament |Parliament,2014100411,8736,3,3.4340659340659343E-4
parliament |parliament |Parliament,2014100514,7337,2,2.725909772386534E-4
parliament |parliament |Parliament,2014100414,8029,14,0.0017436791630340018
parliament |parliament |Parliament,2014100517,16635,1,6.0114217012323416E-5
parliament |parliament |Parliament,2014100413,7649,7,9.151523074911753E-4
parliament |parliament |Parliament,2014100516,7164,0,0.0
parliament |parliament |Parliament,2014100416,8535,12,0.00140597539543058
parliament |parliament |Parliament,2014100511,8203,2,2.438132390588809E-4
parliament |parliament |Parliament,2014100415,9288,13,0.0013996554694229112
parliament |parliament |Parliament,2014100510,7389,2,2.706726214643389E-4
