monday |Monday,2014100507,16911,2,1.182662172550411E-4
monday |Monday,2014100403,6749,1,1.481700992739665E-4
monday |Monday,2014100506,11836,1,8.448800270361608E-5
monday |Monday,2014100402,6613,2,3.0243459851807047E-4
monday |Monday,2014100505,6487,0,0.0
monday |Monday,2014100401,4570,19,0.004157549234135667
monday |Monday,2014100504,3861,1,2.59000259000259E-4
monday |Monday,2014100400,5285,6,0.0011352885525070956
monday |Monday,2014100503,4540,1,2.2026431718061675E-4
monday |Monday,2014100709,5572,15,0.0026920315865039484
monday |Monday,2014100407,7111,0,0.0
monday |Monday,2014100406,10763,6,5.57465390690328E-4
monday |Monday,2014100501,6148,0,0.0
monday |Monday,2014100405,10366,3,2.894076789504148E-4
monday |Monday,2014100500,11540,9,7.79896013864818E-4
monday |Monday,2014100404,3086,3,9.721322099805574E-4
monday |Monday,2014100409,9932,6,6.041079339508659E-4
monday |Monday,2014100408,10458,14,0.0013386880856760374
monday |Monday,2014100903,4141,0,0.0
monday |Monday,2014100613,12260,30,0.0024469820554649264
monday |Monday,2014100904,4854,4,8.240626287597857E-4
monday |Monday,2014100614,10247,24,0.002342148921635601
monday |Monday,2014100905,7777,0,0.0
monday |Monday,2014100615,8801,16,0.00181797523008749
monday |Monday,2014100710,7431,11,0.0014802852913470596
monday |Monday,2014100906,3505,1,2.853067047075606E-4
monday |Monday,2014100616,10833,25,0.002307763315794332
monday |Monday,2014100711,13474,7,5.195190737717084E-4
monday |Monday,2014100617,11523,17,0.0014753102490670832
monday |Monday,2014100900,3864,1,2.587991718426501E-4
monday |Monday,2014100618,10834,18,0.001661436219309581
monday |Monday,2014100901,3052,0,0.0
monday |Monday,2014100619,10472,19,0.0018143621084797555
monday |Monday,2014100902,4916,0,0.0
monday |Monday,2014100716,9756,8,8.200082000820008E-4
monday |Monday,2014100800,3418,4,0.0011702750146284377
monday |Monday,2014100717,12018,4,3.328340822100183E-4
monday |Monday,2014100801,4912,1,2.0358306188925082E-4
monday |Monday,2014100718,9824,4,4.0716612377850165E-4
monday |Monday,2014100802,4582,1,2.1824530772588389E-4
monday |Monday,2014100719,8904,17,0.0019092542677448339
monday |Monday,2014100803,4750,0,0.0
monday |Monday,2014100712,10146,10,9.856100926473486E-4
monday |Monday,2014100804,8238,0,0.0
monday |Monday,2014100610,8565,34,0.00396964389959136
monday |Monday,2014100713,7382,12,0.001625575724735844
monday |Monday,2014100805,6904,0,0.0
monday |Monday,2014100611,8676,32,0.0036883356385431073
monday |Monday,2014100714,9294,2,2.1519259737465033E-4
monday |Monday,2014100806,7696,1,1.2993762993762994E-4
monday |Monday,2014100612,7761,28,0.003607782502254864
monday |Monday,2014100715,8494,13,0.0015304921120791147
monday |Monday,2014100807,6298,1,1.5878056525881233E-4
monday |Monday,2014100519,13547,8,5.905366501808519E-4
monday |Monday,2014100809,5933,3,5.056463846283499E-4
monday |Monday,2014100518,12589,5,3.9717213440305027E-4
monday |Monday,2014100808,7916,1,1.2632642748863063E-4
monday |Monday,2014100410,8297,9,0.0010847294202723876
monday |Monday,2014100412,8252,10,0.0012118274357731458
monday |Monday,2014100515,6526,4,6.129328838492185E-4
monday |Monday,2014100411,8736,10,0.0011446886446886447
monday |Monday,2014100514,7337,5,6.814774430966335E-4
monday |Monday,2014100414,8029,16,0.0019927761863245733
monday |Monday,2014100517,16635,5,3.0057108506161706E-4
monday |Monday,2014100413,7649,8,0.0010458883514184861
monday |Monday,2014100516,7164,8,0.0011166945840312675
monday |Monday,2014100416,8535,10,0.0011716461628588166
monday |Monday,2014100511,8203,6,7.314397171766427E-4
monday |Monday,2014100415,9288,20,0.002153316106804479
monday |Monday,2014100510,7389,6,8.120178643930166E-4
monday |Monday,2014100418,8794,12,0.001364566750056857
monday |Monday,2014100513,8653,13,0.0015023691205362302
monday |Monday,2014100417,9001,13,0.0014442839684479503
