fee |fees,2014100501,6148,0,0.0
fee |fees,2014100405,10366,0,0.0
fee |fees,2014100500,11540,4,3.466204506065858E-4
fee |fees,2014100404,3086,0,0.0
fee |fees,2014100409,9932,1,1.0068465565847765E-4
fee |fees,2014100408,10458,3,2.8686173264486515E-4
fee |fees,2014100903,4141,1,2.414875633904854E-4
fee |fees,2014100613,12260,5,4.078303425774878E-4
fee |fees,2014100904,4854,0,0.0
fee |fees,2014100614,10247,1,9.758953840148337E-5
fee |fees,2014100905,7777,0,0.0
fee |fees,2014100615,8801,1,1.1362345188046812E-4
fee |fees,2014100710,7431,3,4.037141703673799E-4
fee |fees,2014100906,3505,1,2.853067047075606E-4
fee |fees,2014100616,10833,37,0.0034154897073756115
fee |fees,2014100711,13474,8,5.937360843105239E-4
fee |fees,2014100617,11523,24,0.002082790939859412
fee |fees,2014100900,3864,0,0.0
fee |fees,2014100618,10834,3,2.769060365515968E-4
fee |fees,2014100901,3052,1,3.27653997378768E-4
fee |fees,2014100619,10472,1,9.549274255156608E-5
fee |fees,2014100902,4916,1,2.034174125305126E-4
fee |fees,2014100716,9756,4,4.100041000410004E-4
fee |fees,2014100800,3418,0,0.0
fee |fees,2014100717,12018,2,1.6641704110500916E-4
fee |fees,2014100801,4912,0,0.0
fee |fees,2014100718,9824,0,0.0
fee |fees,2014100802,4582,0,0.0
fee |fees,2014100719,8904,2,2.2461814914645105E-4
fee |fees,2014100803,4750,1,2.105263157894737E-4
fee |fees,2014100712,10146,9,8.870490833826139E-4
fee |fees,2014100804,8238,0,0.0
fee |fees,2014100610,8565,4,4.670169293636894E-4
fee |fees,2014100713,7382,4,5.41858574911948E-4
fee |fees,2014100805,6904,0,0.0
fee |fees,2014100611,8676,4,4.610419548178884E-4
fee |fees,2014100714,9294,4,4.3038519474930065E-4
fee |fees,2014100806,7696,0,0.0
fee |fees,2014100612,7761,6,7.730962504831851E-4
fee |fees,2014100715,8494,2,2.354603249352484E-4
fee |fees,2014100807,6298,0,0.0
fee |fees,2014100519,13547,0,0.0
fee |fees,2014100809,5933,3,5.056463846283499E-4
fee |fees,2014100518,12589,1,7.943442688061006E-5
fee |fees,2014100808,7916,1,1.2632642748863063E-4
fee |fees,2014100410,8297,3,3.615764734241292E-4
fee |fees,2014100412,8252,2,2.423654871546292E-4
fee |fees,2014100515,6526,0,0.0
fee |fees,2014100411,8736,1,1.1446886446886447E-4
fee |fees,2014100514,7337,3,4.088864658579801E-4
fee |fees,2014100414,8029,1,1.2454851164528583E-4
fee |fees,2014100517,16635,0,0.0
fee |fees,2014100413,7649,1,1.3073604392731077E-4
fee |fees,2014100516,7164,1,1.3958682300390843E-4
fee |fees,2014100416,8535,1,1.1716461628588167E-4
fee |fees,2014100511,8203,0,0.0
fee |fees,2014100415,9288,4,4.306632213608958E-4
fee |fees,2014100510,7389,3,4.060089321965083E-4
fee |fees,2014100418,8794,0,0.0
fee |fees,2014100513,8653,0,0.0
fee |fees,2014100417,9001,2,2.2219753360737697E-4
fee |fees,2014100512,7658,0,0.0
fee |fees,2014100908,14247,2,1.4038043096792306E-4
fee |fees,2014100907,7751,2,2.580312217778351E-4
fee |fees,2014100419,8630,1,1.1587485515643106E-4
fee |fees,2014100909,1000,0,0.0
fee |fees,2014100721,11447,3,2.620774001921901E-4
fee |fees,2014100722,8294,0,0.0
fee |fees,2014100720,10198,3,2.941753284957835E-4
fee |fees,2014100723,5300,0,0.0
fee |fees,2014100520,14801,2,1.3512600499966218E-4
fee |fees,2014100523,12605,1,7.933359777865926E-5
fee |fees,2014100522,10915,3,2.7485112230874945E-4
fee |fees,2014100521,14363,2,1.3924667548562277E-4
fee |fees,2014100623,8800,1,1.1363636363636364E-4
fee |fees,2014100622,9000,2,2.2222222222222223E-4
fee |fees,2014100621,9007,5,5.55123792605751E-4
fee |fees,2014100620,8998,4,4.445432318292954E-4
fee |fees,2014093011,9741,6,6.159531875577456E-4
fee |fees,2014093012,11191,4,3.574300777410419E-4
fee |fees,2014093013,5267,1,1.8986140117714068E-4
fee |fees,2014093017,3899,2,5.129520389843549E-4
fee |fees,2014093018,99,0,0.0
fee |fees,2014093019,8564,3,3.503035964502569E-4
