iraq |Iraq,2014100508,6498,3,4.616805170821791E-4
iraq |Iraq,2014100819,4300,0,0.0
iraq |Iraq,2014100507,16911,0,0.0
iraq |Iraq,2014100403,6749,0,0.0
iraq |Iraq,2014100506,11836,0,0.0
iraq |Iraq,2014100402,6613,1,1.5121729925903524E-4
iraq |Iraq,2014100505,6487,0,0.0
iraq |Iraq,2014100401,4570,1,2.188183807439825E-4
iraq |Iraq,2014100504,3861,0,0.0
iraq |Iraq,2014100400,5285,0,0.0
iraq |Iraq,2014100503,4540,1,2.2026431718061675E-4
iraq |Iraq,2014100709,5572,11,0.001974156496769562
iraq |Iraq,2014100407,7111,2,2.812543945999156E-4
iraq |Iraq,2014100406,10763,0,0.0
iraq |Iraq,2014100501,6148,0,0.0
iraq |Iraq,2014100405,10366,0,0.0
iraq |Iraq,2014100500,11540,0,0.0
iraq |Iraq,2014100404,3086,0,0.0
iraq |Iraq,2014100409,9932,4,4.027386226339106E-4
iraq |Iraq,2014100408,10458,3,2.8686173264486515E-4
iraq |Iraq,2014100903,4141,0,0.0
iraq |Iraq,2014100613,12260,3,2.4469820554649265E-4
iraq |Iraq,2014100904,4854,0,0.0
iraq |Iraq,2014100614,10247,4,3.9035815360593347E-4
iraq |Iraq,2014100905,7777,0,0.0
iraq |Iraq,2014100615,8801,3,3.408703556414044E-4
iraq |Iraq,2014100710,7431,7,9.419997308572198E-4
iraq |Iraq,2014100906,3505,0,0.0
iraq |Iraq,2014100616,10833,2,1.8462106526354657E-4
iraq |Iraq,2014100711,13474,17,0.0012616891791598635
iraq |Iraq,2014100617,11523,2,1.7356591165495098E-4
iraq |Iraq,2014100900,3864,2,5.175983436853002E-4
iraq |Iraq,2014100618,10834,5,4.6151006091932806E-4
iraq |Iraq,2014100901,3052,1,3.27653997378768E-4
iraq |Iraq,2014100619,10472,3,2.8647822765469827E-4
iraq |Iraq,2014100902,4916,0,0.0
iraq |Iraq,2014100716,9756,7,7.175071750717508E-4
iraq |Iraq,2014100800,3418,0,0.0
iraq |Iraq,2014100717,12018,10,8.320852055250458E-4
iraq |Iraq,2014100801,4912,0,0.0
iraq |Iraq,2014100718,9824,6,6.107491856677524E-4
iraq |Iraq,2014100802,4582,1,2.1824530772588389E-4
iraq |Iraq,2014100719,8904,7,7.861635220125787E-4
iraq |Iraq,2014100803,4750,0,0.0
iraq |Iraq,2014100712,10146,11,0.0010841711019120837
iraq |Iraq,2014100804,8238,0,0.0
iraq |Iraq,2014100610,8565,4,4.670169293636894E-4
iraq |Iraq,2014100713,7382,10,0.00135464643727987
iraq |Iraq,2014100805,6904,0,0.0
iraq |Iraq,2014100611,8676,5,5.763024435223605E-4
iraq |Iraq,2014100714,9294,11,0.0011835592855605767
iraq |Iraq,2014100806,7696,1,1.2993762993762994E-4
iraq |Iraq,2014100612,7761,3,3.8654812524159255E-4
iraq |Iraq,2014100715,8494,1,1.177301624676242E-4
iraq |Iraq,2014100807,6298,1,1.5878056525881233E-4
iraq |Iraq,2014100519,13547,11,8.119878939986713E-4
iraq |Iraq,2014100809,5933,2,3.370975897522333E-4
iraq |Iraq,2014100518,12589,18,0.001429819683850981
iraq |Iraq,2014100808,7916,1,1.2632642748863063E-4
iraq |Iraq,2014100410,8297,7,8.436784379896348E-4
iraq |Iraq,2014100412,8252,3,3.6354823073194375E-4
iraq |Iraq,2014100515,6526,3,4.5969966288691386E-4
iraq |Iraq,2014100411,8736,0,0.0
iraq |Iraq,2014100514,7337,1,1.362954886193267E-4
iraq |Iraq,2014100414,8029,4,4.981940465811433E-4
iraq |Iraq,2014100517,16635,17,0.001021941689209498
iraq |Iraq,2014100413,7649,1,1.3073604392731077E-4
iraq |Iraq,2014100516,7164,19,0.00265214963707426
iraq |Iraq,2014100416,8535,1,1.1716461628588167E-4
iraq |Iraq,2014100511,8203,4,4.876264781177618E-4
iraq |Iraq,2014100415,9288,2,2.153316106804479E-4
iraq |Iraq,2014100510,7389,7,9.473541751251861E-4
iraq |Iraq,2014100418,8794,1,1.1371389583807141E-4
iraq |Iraq,2014100513,8653,4,4.6226742170345545E-4
iraq |Iraq,2014100417,9001,3,3.3329630041106545E-4
iraq |Iraq,2014100512,7658,2,2.6116479498563595E-4
iraq |Iraq,2014100908,14247,4,2.807608619358461E-4
iraq |Iraq,2014100907,7751,0,0.0
iraq |Iraq,2014100419,8630,4,4.634994206257242E-4
iraq |Iraq,2014100909,1000,0,0.0
iraq |Iraq,2014100721,11447,7,6.115139337817769E-4
iraq |Iraq,2014100722,8294,1,1.2056908608632747E-4
iraq |Iraq,2014100720,10198,3,2.941753284957835E-4
iraq |Iraq,2014100723,5300,0,0.0
iraq |Iraq,2014100520,14801,14,9.458820349976353E-4
iraq |Iraq,2014100523,12605,4,3.1733439111463705E-4
iraq |Iraq,2014100522,10915,3,2.7485112230874945E-4
iraq |Iraq,2014100521,14363,10,6.962333774281139E-4
iraq |Iraq,2014100623,8800,3,3.4090909090909094E-4
iraq |Iraq,2014100622,9000,5,5.555555555555556E-4
iraq |Iraq,2014100621,9007,0,0.0
iraq |Iraq,2014100620,8998,5,5.556790397866192E-4
iraq |Iraq,2014093011,9741,1,1.026588645929576E-4
iraq |Iraq,2014093012,11191,1,8.935751943526048E-5
iraq |Iraq,2014093013,5267,0,0.0
iraq |Iraq,2014093017,3899,0,0.0
iraq |Iraq,2014093018,99,0,0.0
iraq |Iraq,2014093019,8564,4,4.6707146193367583E-4
