child |child |children |Children,2014100701,13455,6,4.459308807134894E-4
child |child |children |Children,2014100816,7857,5,6.363752068219422E-4
child |child |children |Children,2014100702,8524,0,0.0
child |child |children |Children,2014100509,9287,43,0.004630128136104232
child |child |children |Children,2014100508,6498,13,0.0020006155740227762
child |child |children |Children,2014100819,4300,14,0.0032558139534883722
child |child |children |Children,2014100507,16911,1,5.913310862752055E-5
child |child |children |Children,2014100403,6749,2,2.96340198547933E-4
child |child |children |Children,2014100506,11836,0,0.0
child |child |children |Children,2014100402,6613,2,3.0243459851807047E-4
child |child |children |Children,2014100505,6487,2,3.083089255433945E-4
child |child |children |Children,2014100401,4570,2,4.37636761487965E-4
child |child |children |Children,2014100504,3861,1,2.59000259000259E-4
child |child |children |Children,2014100400,5285,10,0.001892147587511826
child |child |children |Children,2014100503,4540,5,0.0011013215859030838
child |child |children |Children,2014100709,5572,7,0.001256281407035176
child |child |children |Children,2014100407,7111,94,0.013218956546196035
child |child |children |Children,2014100406,10763,14,0.0013007525782774319
child |child |children |Children,2014100501,6148,4,6.506180871828237E-4
child |child |children |Children,2014100405,10366,8,7.717538105344395E-4
child |child |children |Children,2014100500,11540,5,4.332755632582322E-4
child |child |children |Children,2014100404,3086,6,0.0019442644199611147
child |child |children |Children,2014100409,9932,46,0.004631494160289972
child |child |children |Children,2014100408,10458,37,0.0035379613692866703
child |child |children |Children,2014100903,4141,1,2.414875633904854E-4
child |child |children |Children,2014100613,12260,24,0.001957585644371941
child |child |children |Children,2014100904,4854,3,6.180469715698393E-4
child |child |children |Children,2014100614,10247,16,0.0015614326144237339
child |child |children |Children,2014100905,7777,1,1.2858428700012858E-4
child |child |children |Children,2014100615,8801,14,0.001590728326326554
child |child |children |Children,2014100710,7431,21,0.002825999192571659
child |child |children |Children,2014100906,3505,6,0.0017118402282453639
child |child |children |Children,2014100616,10833,18,0.001661589587371919
child |child |children |Children,2014100711,13474,17,0.0012616891791598635
child |child |children |Children,2014100617,11523,27,0.002343139807341838
child |child |children |Children,2014100900,3864,5,0.0012939958592132505
child |child |children |Children,2014100618,10834,22,0.0020306442680450435
child |child |children |Children,2014100901,3052,5,0.00163826998689384
child |child |children |Children,2014100619,10472,17,0.0016233766233766235
child |child |children |Children,2014100902,4916,1,2.034174125305126E-4
child |child |children |Children,2014100716,9756,26,0.0026650266502665026
child |child |children |Children,2014100800,3418,8,0.0023405500292568754
child |child |children |Children,2014100717,12018,16,0.0013313363288400732
child |child |children |Children,2014100801,4912,2,4.0716612377850165E-4
child |child |children |Children,2014100718,9824,15,0.0015268729641693811
child |child |children |Children,2014100802,4582,3,6.547359231776517E-4
child |child |children |Children,2014100719,8904,12,0.0013477088948787063
child |child |children |Children,2014100803,4750,4,8.421052631578948E-4
child |child |children |Children,2014100712,10146,19,0.0018726591760299626
child |child |children |Children,2014100804,8238,5,6.069434328720563E-4
child |child |children |Children,2014100610,8565,22,0.0025685931115002917
child |child |children |Children,2014100713,7382,20,0.00270929287455974
child |child |children |Children,2014100805,6904,4,5.793742757821553E-4
child |child |children |Children,2014100611,8676,25,0.002881512217611803
child |child |children |Children,2014100714,9294,16,0.0017215407789972026
child |child |children |Children,2014100806,7696,10,0.0012993762993762994
child |child |children |Children,2014100612,7761,13,0.0016750418760469012
child |child |children |Children,2014100715,8494,19,0.00223687308688486
child |child |children |Children,2014100807,6298,19,0.003016830739917434
child |child |children |Children,2014100519,13547,12,8.858049752712778E-4
child |child |children |Children,2014100809,5933,18,0.0030338783077700996
child |child |children |Children,2014100518,12589,31,0.0024624672332989117
child |child |children |Children,2014100808,7916,18,0.0022738756947953513
child |child |children |Children,2014100410,8297,39,0.00470049415451368
child |child |children |Children,2014100412,8252,38,0.0046049442559379546
child |child |children |Children,2014100515,6526,9,0.0013790989886607416
child |child |children |Children,2014100411,8736,54,0.006181318681318681
child |child |children |Children,2014100514,7337,12,0.0016355458634319203
child |child |children |Children,2014100414,8029,10,0.0012454851164528584
child |child |children |Children,2014100517,16635,18,0.0010820559062218215
child |child |children |Children,2014100413,7649,42,0.005490913844947052
child |child |children |Children,2014100516,7164,10,0.0013958682300390843
child |child |children |Children,2014100416,8535,17,0.0019917984768599885
child |child |children |Children,2014100511,8203,5,6.095330976472023E-4
child |child |children |Children,2014100415,9288,17,0.0018303186907838072
child |child |children |Children,2014100510,7389,23,0.003112735146839897
child |child |children |Children,2014100418,8794,20,0.0022742779167614284
child |child |children |Children,2014100513,8653,11,0.0012712354096845026
child |child |children |Children,2014100417,9001,13,0.0014442839684479503
child |child |children |Children,2014100512,7658,14,0.0018281535648994515
child |child |children |Children,2014100908,14247,6,4.211412929037692E-4
child |child |children |Children,2014100907,7751,17,0.0021932653851115987
child |child |children |Children,2014100419,8630,33,0.003823870220162225
child |child |children |Children,2014100909,1000,1,0.001
child |child |children |Children,2014100721,11447,15,0.0013103870009609504
child |child |children |Children,2014100722,8294,11,0.001326259946949602
child |child |children |Children,2014100720,10198,7,6.864090998234948E-4
child |child |children |Children,2014100723,5300,10,0.0018867924528301887
child |child |children |Children,2014100520,14801,19,0.0012836970474967907
child |child |children |Children,2014100523,12605,13,0.0010313367711225704
child |child |children |Children,2014100522,10915,14,0.001282638570774164
child |child |children |Children,2014100521,14363,20,0.0013924667548562278
child |child |children |Children,2014100623,8800,13,0.0014772727272727272
child |child |children |Children,2014100622,9000,10,0.0011111111111111111
child |child |children |Children,2014100621,9007,20,0.002220495170423004
child |child |children |Children,2014100620,8998,13,0.00144476550344521
child |child |children |Children,2014093011,9741,12,0.0012319063751154912
child |child |children |Children,2014093012,11191,30,0.0026807255830578144
child |child |children |Children,2014093013,5267,15,0.0028479210176571104
child |child |children |Children,2014093017,3899,22,0.0056424724288279045
child |child |children |Children,2014093018,99,0,0.0
child |child |children |Children,2014093019,8564,12,0.0014012143858010276
