cent |cent,2014100904,4854,0,0.0
cent |cent,2014100614,10247,0,0.0
cent |cent,2014100905,7777,3,3.8575286100038574E-4
cent |cent,2014100615,8801,2,2.2724690376093625E-4
cent |cent,2014100710,7431,1,1.3457139012245997E-4
cent |cent,2014100906,3505,0,0.0
cent |cent,2014100616,10833,0,0.0
cent |cent,2014100711,13474,1,7.421701053881549E-5
cent |cent,2014100617,11523,4,3.4713182330990195E-4
cent |cent,2014100900,3864,0,0.0
cent |cent,2014100618,10834,1,9.230201218386561E-5
cent |cent,2014100901,3052,0,0.0
cent |cent,2014100619,10472,0,0.0
cent |cent,2014100902,4916,1,2.034174125305126E-4
cent |cent,2014100716,9756,2,2.050020500205002E-4
cent |cent,2014100800,3418,0,0.0
cent |cent,2014100717,12018,2,1.6641704110500916E-4
cent |cent,2014100801,4912,0,0.0
cent |cent,2014100718,9824,9,9.161237785016286E-4
cent |cent,2014100802,4582,0,0.0
cent |cent,2014100719,8904,3,3.3692722371967657E-4
cent |cent,2014100803,4750,1,2.105263157894737E-4
cent |cent,2014100712,10146,2,1.9712201852946975E-4
cent |cent,2014100804,8238,0,0.0
cent |cent,2014100610,8565,5,5.837711617046118E-4
cent |cent,2014100713,7382,1,1.35464643727987E-4
cent |cent,2014100805,6904,0,0.0
cent |cent,2014100611,8676,5,5.763024435223605E-4
cent |cent,2014100714,9294,5,5.379814934366257E-4
cent |cent,2014100806,7696,0,0.0
cent |cent,2014100612,7761,0,0.0
cent |cent,2014100715,8494,8,9.418412997409936E-4
cent |cent,2014100807,6298,0,0.0
cent |cent,2014100519,13547,1,7.381708127260648E-5
cent |cent,2014100809,5933,1,1.6854879487611664E-4
cent |cent,2014100518,12589,3,2.3830328064183018E-4
cent |cent,2014100808,7916,4,5.053057099545225E-4
cent |cent,2014100410,8297,0,0.0
cent |cent,2014100412,8252,1,1.211827435773146E-4
cent |cent,2014100515,6526,0,0.0
cent |cent,2014100411,8736,1,1.1446886446886447E-4
cent |cent,2014100514,7337,0,0.0
cent |cent,2014100414,8029,0,0.0
cent |cent,2014100517,16635,2,1.2022843402464683E-4
cent |cent,2014100413,7649,0,0.0
cent |cent,2014100516,7164,0,0.0
cent |cent,2014100416,8535,2,2.3432923257176333E-4
cent |cent,2014100511,8203,1,1.2190661952944045E-4
cent |cent,2014100415,9288,0,0.0
cent |cent,2014100510,7389,1,1.3533631073216944E-4
cent |cent,2014100418,8794,0,0.0
