hong |Hong,2014100403,6749,4,5.92680397095866E-4
hong |Hong,2014100506,11836,1,8.448800270361608E-5
hong |Hong,2014100402,6613,5,7.560864962951762E-4
hong |Hong,2014100505,6487,4,6.16617851086789E-4
hong |Hong,2014100401,4570,4,8.7527352297593E-4
hong |Hong,2014100504,3861,1,2.59000259000259E-4
hong |Hong,2014100400,5285,10,0.001892147587511826
hong |Hong,2014100503,4540,1,2.2026431718061675E-4
hong |Hong,2014100709,5572,5,8.973438621679827E-4
hong |Hong,2014100407,7111,3,4.2188159189987344E-4
hong |Hong,2014100406,10763,2,1.85821796896776E-4
hong |Hong,2014100501,6148,1,1.6265452179570593E-4
hong |Hong,2014100405,10366,2,1.9293845263360988E-4
hong |Hong,2014100500,11540,4,3.466204506065858E-4
hong |Hong,2014100404,3086,3,9.721322099805574E-4
hong |Hong,2014100409,9932,7,7.047925896093435E-4
hong |Hong,2014100408,10458,15,0.001434308663224326
hong |Hong,2014100903,4141,1,2.414875633904854E-4
hong |Hong,2014100613,12260,5,4.078303425774878E-4
hong |Hong,2014100904,4854,0,0.0
hong |Hong,2014100614,10247,7,6.831267688103836E-4
hong |Hong,2014100905,7777,4,5.143371480005143E-4
hong |Hong,2014100615,8801,5,5.681172594023407E-4
hong |Hong,2014100710,7431,4,5.382855604898399E-4
hong |Hong,2014100906,3505,1,2.853067047075606E-4
hong |Hong,2014100616,10833,4,3.6924213052709313E-4
hong |Hong,2014100711,13474,5,3.7108505269407746E-4
hong |Hong,2014100617,11523,1,8.678295582747549E-5
hong |Hong,2014100900,3864,3,7.763975155279503E-4
hong |Hong,2014100618,10834,1,9.230201218386561E-5
hong |Hong,2014100901,3052,1,3.27653997378768E-4
hong |Hong,2014100619,10472,4,3.819709702062643E-4
hong |Hong,2014100902,4916,0,0.0
hong |Hong,2014100716,9756,2,2.050020500205002E-4
hong |Hong,2014100800,3418,2,5.851375073142189E-4
hong |Hong,2014100717,12018,2,1.6641704110500916E-4
hong |Hong,2014100801,4912,3,6.107491856677524E-4
hong |Hong,2014100718,9824,2,2.0358306188925082E-4
hong |Hong,2014100802,4582,0,0.0
hong |Hong,2014100719,8904,1,1.1230907457322552E-4
hong |Hong,2014100803,4750,1,2.105263157894737E-4
hong |Hong,2014100712,10146,4,3.942440370589395E-4
hong |Hong,2014100804,8238,0,0.0
hong |Hong,2014100610,8565,0,0.0
hong |Hong,2014100713,7382,5,6.77323218639935E-4
hong |Hong,2014100805,6904,0,0.0
hong |Hong,2014100611,8676,5,5.763024435223605E-4
hong |Hong,2014100714,9294,5,5.379814934366257E-4
hong |Hong,2014100806,7696,0,0.0
hong |Hong,2014100612,7761,2,2.5769875016106174E-4
hong |Hong,2014100715,8494,6,7.063809748057452E-4
hong |Hong,2014100807,6298,1,1.5878056525881233E-4
hong |Hong,2014100519,13547,5,3.690854063630324E-4
hong |Hong,2014100809,5933,2,3.370975897522333E-4
hong |Hong,2014100518,12589,5,3.9717213440305027E-4
hong |Hong,2014100808,7916,2,2.5265285497726126E-4
hong |Hong,2014100410,8297,5,6.02627455706882E-4
hong |Hong,2014100412,8252,4,4.847309743092584E-4
hong |Hong,2014100515,6526,4,6.129328838492185E-4
hong |Hong,2014100411,8736,3,3.4340659340659343E-4
hong |Hong,2014100514,7337,2,2.725909772386534E-4
hong |Hong,2014100414,8029,4,4.981940465811433E-4
hong |Hong,2014100517,16635,6,3.606853020739405E-4
hong |Hong,2014100413,7649,3,3.922081317819323E-4
hong |Hong,2014100516,7164,2,2.7917364600781687E-4
hong |Hong,2014100416,8535,2,2.3432923257176333E-4
hong |Hong,2014100511,8203,4,4.876264781177618E-4
hong |Hong,2014100415,9288,4,4.306632213608958E-4
hong |Hong,2014100510,7389,0,0.0
hong |Hong,2014100418,8794,3,3.411416875142142E-4
hong |Hong,2014100513,8653,11,0.0012712354096845026
hong |Hong,2014100417,9001,4,4.4439506721475393E-4
hong |Hong,2014100512,7658,1,1.3058239749281798E-4
hong |Hong,2014100908,14247,7,4.913315083877308E-4
hong |Hong,2014100907,7751,3,3.8704683266675265E-4
hong |Hong,2014100419,8630,7,8.111239860950173E-4
hong |Hong,2014100909,1000,1,0.001
hong |Hong,2014100721,11447,0,0.0
hong |Hong,2014100722,8294,1,1.2056908608632747E-4
