plastic |plastic,2014100506,11836,0,0.0
plastic |plastic,2014100402,6613,0,0.0
plastic |plastic,2014100505,6487,0,0.0
plastic |plastic,2014100401,4570,0,0.0
plastic |plastic,2014100504,3861,0,0.0
plastic |plastic,2014100400,5285,1,1.892147587511826E-4
plastic |plastic,2014100503,4540,0,0.0
plastic |plastic,2014100709,5572,2,3.589375448671931E-4
plastic |plastic,2014100407,7111,0,0.0
plastic |plastic,2014100406,10763,0,0.0
plastic |plastic,2014100501,6148,0,0.0
plastic |plastic,2014100405,10366,1,9.646922631680494E-5
plastic |plastic,2014100500,11540,2,1.733102253032929E-4
plastic |plastic,2014100404,3086,0,0.0
plastic |plastic,2014100409,9932,1,1.0068465565847765E-4
plastic |plastic,2014100408,10458,1,9.562057754828839E-5
plastic |plastic,2014100903,4141,0,0.0
plastic |plastic,2014100613,12260,0,0.0
plastic |plastic,2014100904,4854,0,0.0
plastic |plastic,2014100614,10247,1,9.758953840148337E-5
plastic |plastic,2014100905,7777,1,1.2858428700012858E-4
plastic |plastic,2014100615,8801,0,0.0
plastic |plastic,2014100710,7431,1,1.3457139012245997E-4
plastic |plastic,2014100906,3505,0,0.0
plastic |plastic,2014100616,10833,1,9.231053263177328E-5
plastic |plastic,2014100711,13474,1,7.421701053881549E-5
plastic |plastic,2014100617,11523,2,1.7356591165495098E-4
plastic |plastic,2014100900,3864,0,0.0
plastic |plastic,2014100618,10834,0,0.0
plastic |plastic,2014100901,3052,0,0.0
plastic |plastic,2014100619,10472,1,9.549274255156608E-5
plastic |plastic,2014100902,4916,0,0.0
plastic |plastic,2014100716,9756,40,0.004100041000410004
plastic |plastic,2014100800,3418,2,5.851375073142189E-4
plastic |plastic,2014100717,12018,18,0.0014977533699450823
plastic |plastic,2014100801,4912,1,2.0358306188925082E-4
plastic |plastic,2014100718,9824,14,0.0014250814332247557
plastic |plastic,2014100802,4582,1,2.1824530772588389E-4
plastic |plastic,2014100719,8904,23,0.002583108715184187
plastic |plastic,2014100803,4750,0,0.0
plastic |plastic,2014100712,10146,3,2.9568302779420464E-4
plastic |plastic,2014100804,8238,0,0.0
plastic |plastic,2014100610,8565,0,0.0
plastic |plastic,2014100713,7382,4,5.41858574911948E-4
plastic |plastic,2014100805,6904,2,2.8968713789107763E-4
plastic |plastic,2014100611,8676,5,5.763024435223605E-4
plastic |plastic,2014100714,9294,51,0.005487411233053583
plastic |plastic,2014100806,7696,2,2.598752598752599E-4
plastic |plastic,2014100612,7761,1,1.2884937508053087E-4
plastic |plastic,2014100715,8494,21,0.002472333411820108
plastic |plastic,2014100807,6298,13,0.00206414734836456
plastic |plastic,2014100519,13547,1,7.381708127260648E-5
plastic |plastic,2014100809,5933,11,0.001854036743637283
plastic |plastic,2014100518,12589,0,0.0
plastic |plastic,2014100808,7916,8,0.001010611419909045
plastic |plastic,2014100410,8297,2,2.410509822827528E-4
plastic |plastic,2014100412,8252,0,0.0
plastic |plastic,2014100515,6526,0,0.0
plastic |plastic,2014100411,8736,0,0.0
plastic |plastic,2014100514,7337,0,0.0
plastic |plastic,2014100414,8029,4,4.981940465811433E-4
plastic |plastic,2014100517,16635,4,2.4045686804929366E-4
plastic |plastic,2014100413,7649,0,0.0
plastic |plastic,2014100516,7164,0,0.0
plastic |plastic,2014100416,8535,2,2.3432923257176333E-4
plastic |plastic,2014100511,8203,0,0.0
plastic |plastic,2014100415,9288,1,1.0766580534022394E-4
plastic |plastic,2014100510,7389,0,0.0
plastic |plastic,2014100418,8794,1,1.1371389583807141E-4
plastic |plastic,2014100513,8653,2,2.3113371085172773E-4
plastic |plastic,2014100417,9001,0,0.0
plastic |plastic,2014100512,7658,6,7.834943849569079E-4
plastic |plastic,2014100908,14247,2,1.4038043096792306E-4
plastic |plastic,2014100907,7751,0,0.0
plastic |plastic,2014100419,8630,0,0.0
plastic |plastic,2014100909,1000,0,0.0
plastic |plastic,2014100721,11447,14,0.0012230278675635538
plastic |plastic,2014100722,8294,3,3.617072582589824E-4
plastic |plastic,2014100720,10198,4,3.922337713277113E-4
plastic |plastic,2014100723,5300,1,1.8867924528301886E-4
plastic |plastic,2014100520,14801,0,0.0
plastic |plastic,2014100523,12605,11,8.726695755652519E-4
plastic |plastic,2014100522,10915,1,9.161704076958314E-5
plastic |plastic,2014100521,14363,1,6.962333774281139E-5
plastic |plastic,2014100623,8800,1,1.1363636363636364E-4
plastic |plastic,2014100622,9000,0,0.0
plastic |plastic,2014100621,9007,0,0.0
plastic |plastic,2014100620,8998,2,2.222716159146477E-4
plastic |plastic,2014093011,9741,1,1.026588645929576E-4
plastic |plastic,2014093012,11191,1,8.935751943526048E-5
plastic |plastic,2014093013,5267,0,0.0
plastic |plastic,2014093017,3899,1,2.5647601949217746E-4
plastic |plastic,2014093018,99,0,0.0
plastic |plastic,2014093019,8564,0,0.0
