thing |things |thing,2014100403,6749,21,0.0031115720847532968
thing |things |thing,2014100506,11836,19,0.0016052720513687055
thing |things |thing,2014100402,6613,28,0.004234084379252987
thing |things |thing,2014100505,6487,7,0.0010790812394018807
thing |things |thing,2014100401,4570,36,0.00787746170678337
thing |things |thing,2014100504,3861,22,0.005698005698005698
thing |things |thing,2014100400,5285,68,0.012866603595080416
thing |things |thing,2014100503,4540,20,0.004405286343612335
thing |things |thing,2014100709,5572,42,0.007537688442211055
thing |things |thing,2014100407,7111,39,0.005484460694698354
thing |things |thing,2014100406,10763,22,0.002044039765864536
thing |things |thing,2014100501,6148,46,0.007482108002602472
thing |things |thing,2014100405,10366,15,0.001447038394752074
thing |things |thing,2014100500,11540,59,0.005112651646447141
thing |things |thing,2014100404,3086,15,0.004860661049902786
thing |things |thing,2014100409,9932,113,0.011377366089407974
thing |things |thing,2014100408,10458,69,0.006597819850831899
thing |things |thing,2014100903,4141,237,0.05723255252354504
thing |things |thing,2014100613,12260,88,0.007177814029363785
thing |things |thing,2014100904,4854,125,0.025751957148743305
thing |things |thing,2014100614,10247,95,0.00927100614814092
thing |things |thing,2014100905,7777,110,0.014144271570014143
thing |things |thing,2014100615,8801,79,0.008976252698556982
thing |things |thing,2014100710,7431,80,0.010765711209796797
thing |things |thing,2014100906,3505,73,0.020827389443651926
thing |things |thing,2014100616,10833,100,0.009231053263177328
thing |things |thing,2014100711,13474,91,0.0067537479590322105
thing |things |thing,2014100617,11523,91,0.007897248980300269
thing |things |thing,2014100900,3864,50,0.012939958592132506
thing |things |thing,2014100618,10834,94,0.008676389145283367
thing |things |thing,2014100901,3052,21,0.006880733944954129
thing |things |thing,2014100619,10472,77,0.007352941176470588
thing |things |thing,2014100902,4916,836,0.17005695687550854
thing |things |thing,2014100716,9756,86,0.008815088150881509
thing |things |thing,2014100800,3418,30,0.008777062609713282
thing |things |thing,2014100717,12018,89,0.007405558329172907
thing |things |thing,2014100801,4912,28,0.005700325732899023
thing |things |thing,2014100718,9824,121,0.012316775244299675
thing |things |thing,2014100802,4582,17,0.003710170231340026
thing |things |thing,2014100719,8904,78,0.00876010781671159
thing |things |thing,2014100803,4750,16,0.003368421052631579
thing |things |thing,2014100712,10146,104,0.010250344963532427
thing |things |thing,2014100804,8238,943,0.11446953143966983
thing |things |thing,2014100610,8565,79,0.009223584354932866
thing |things |thing,2014100713,7382,61,0.008263343267407207
thing |things |thing,2014100805,6904,160,0.023174971031286212
thing |things |thing,2014100611,8676,62,0.00714615029967727
thing |things |thing,2014100714,9294,78,0.008392511297611363
thing |things |thing,2014100806,7696,161,0.02091995841995842
thing |things |thing,2014100612,7761,48,0.006184770003865481
thing |things |thing,2014100715,8494,72,0.008476571697668942
thing |things |thing,2014100807,6298,127,0.020165131787869165
thing |things |thing,2014100519,13547,124,0.009153318077803204
thing |things |thing,2014100809,5933,81,0.013652452384965447
thing |things |thing,2014100518,12589,94,0.007466836126777346
thing |things |thing,2014100808,7916,85,0.010737746336533602
thing |things |thing,2014100410,8297,103,0.01241412558756177
thing |things |thing,2014100412,8252,63,0.007634512845370819
thing |things |thing,2014100515,6526,52,0.00796812749003984
thing |things |thing,2014100411,8736,61,0.006982600732600733
thing |things |thing,2014100514,7337,59,0.008041433828540275
thing |things |thing,2014100414,8029,60,0.00747291069871715
thing |things |thing,2014100517,16635,76,0.00456868049293658
thing |things |thing,2014100413,7649,72,0.009412995162766375
thing |things |thing,2014100516,7164,93,0.012981574539363484
thing |things |thing,2014100416,8535,72,0.00843585237258348
thing |things |thing,2014100511,8203,58,0.007070583932707546
thing |things |thing,2014100415,9288,46,0.0049526270456503015
thing |things |thing,2014100510,7389,59,0.007984842333197998
thing |things |thing,2014100418,8794,80,0.009097111667045714
thing |things |thing,2014100513,8653,73,0.008436380446088063
thing |things |thing,2014100417,9001,56,0.006221530941006555
thing |things |thing,2014100512,7658,78,0.010185427004439801
thing |things |thing,2014100908,14247,103,0.007229592194848038
thing |things |thing,2014100907,7751,115,0.01483679525222552
thing |things |thing,2014100419,8630,52,0.006025492468134415
thing |things |thing,2014100909,1000,8,0.008
thing |things |thing,2014100721,11447,112,0.00978422294050843
thing |things |thing,2014100722,8294,78,0.009404388714733543
thing |things |thing,2014100720,10198,133,0.013041772896646401
thing |things |thing,2014100723,5300,58,0.010943396226415094
thing |things |thing,2014100520,14801,95,0.006418485237483954
thing |things |thing,2014100523,12605,120,0.009520031733439112
thing |things |thing,2014100522,10915,101,0.009253321117727897
thing |things |thing,2014100521,14363,136,0.009468773933022348
thing |things |thing,2014100623,8800,66,0.0075
thing |things |thing,2014100622,9000,98,0.010888888888888889
thing |things |thing,2014100621,9007,100,0.011102475852115021
thing |things |thing,2014100620,8998,101,0.011224716603689708
thing |things |thing,2014093011,9741,52,0.005338260958833795
thing |things |thing,2014093012,11191,97,0.008667679385220266
thing |things |thing,2014093013,5267,58,0.01101196126827416
thing |things |thing,2014093017,3899,31,0.007950756604257501
thing |things |thing,2014093018,99,1,0.010101010101010102
thing |things |thing,2014093019,8564,95,0.011092947220924802
