security |Security |security,2014100506,11836,2,1.6897600540723216E-4
security |Security |security,2014100402,6613,10,0.0015121729925903524
security |Security |security,2014100505,6487,0,0.0
security |Security |security,2014100401,4570,4,8.7527352297593E-4
security |Security |security,2014100504,3861,0,0.0
security |Security |security,2014100400,5285,3,5.676442762535478E-4
security |Security |security,2014100503,4540,3,6.607929515418502E-4
security |Security |security,2014100709,5572,5,8.973438621679827E-4
security |Security |security,2014100407,7111,6,8.437631837997469E-4
security |Security |security,2014100406,10763,6,5.57465390690328E-4
security |Security |security,2014100501,6148,8,0.0013012361743656475
security |Security |security,2014100405,10366,8,7.717538105344395E-4
security |Security |security,2014100500,11540,3,2.5996533795493934E-4
security |Security |security,2014100404,3086,4,0.0012961762799740765
security |Security |security,2014100409,9932,4,4.027386226339106E-4
security |Security |security,2014100408,10458,8,7.649646203863071E-4
security |Security |security,2014100903,4141,0,0.0
security |Security |security,2014100613,12260,6,4.893964110929853E-4
security |Security |security,2014100904,4854,3,6.180469715698393E-4
security |Security |security,2014100614,10247,2,1.9517907680296673E-4
security |Security |security,2014100905,7777,2,2.5716857400025716E-4
security |Security |security,2014100615,8801,6,6.817407112828088E-4
security |Security |security,2014100710,7431,4,5.382855604898399E-4
security |Security |security,2014100906,3505,3,8.559201141226819E-4
security |Security |security,2014100616,10833,9,8.307947936859596E-4
security |Security |security,2014100711,13474,6,4.45302063232893E-4
security |Security |security,2014100617,11523,4,3.4713182330990195E-4
security |Security |security,2014100900,3864,8,0.002070393374741201
security |Security |security,2014100618,10834,9,8.307181096547905E-4
security |Security |security,2014100901,3052,2,6.55307994757536E-4
security |Security |security,2014100619,10472,3,2.8647822765469827E-4
security |Security |security,2014100902,4916,0,0.0
security |Security |security,2014100716,9756,14,0.0014350143501435015
security |Security |security,2014100800,3418,1,2.925687536571094E-4
security |Security |security,2014100717,12018,14,0.001164919287735064
security |Security |security,2014100801,4912,2,4.0716612377850165E-4
security |Security |security,2014100718,9824,5,5.08957654723127E-4
security |Security |security,2014100802,4582,4,8.729812309035355E-4
security |Security |security,2014100719,8904,8,8.984725965858042E-4
security |Security |security,2014100803,4750,3,6.315789473684211E-4
security |Security |security,2014100712,10146,3,2.9568302779420464E-4
security |Security |security,2014100804,8238,0,0.0
security |Security |security,2014100610,8565,45,0.005253940455341506
security |Security |security,2014100713,7382,3,4.06393931183961E-4
security |Security |security,2014100805,6904,4,5.793742757821553E-4
security |Security |security,2014100611,8676,8,9.220839096357768E-4
security |Security |security,2014100714,9294,3,3.2278889606197545E-4
security |Security |security,2014100806,7696,6,7.796257796257797E-4
security |Security |security,2014100612,7761,11,0.0014173431258858395
security |Security |security,2014100715,8494,8,9.418412997409936E-4
security |Security |security,2014100807,6298,9,0.0014290250873293109
security |Security |security,2014100519,13547,6,4.429024876356389E-4
security |Security |security,2014100809,5933,11,0.001854036743637283
security |Security |security,2014100518,12589,3,2.3830328064183018E-4
security |Security |security,2014100808,7916,9,0.0011369378473976757
security |Security |security,2014100410,8297,11,0.0013257804025551404
security |Security |security,2014100412,8252,4,4.847309743092584E-4
security |Security |security,2014100515,6526,9,0.0013790989886607416
security |Security |security,2014100411,8736,6,6.868131868131869E-4
security |Security |security,2014100514,7337,2,2.725909772386534E-4
security |Security |security,2014100414,8029,11,0.0013700336280981441
security |Security |security,2014100517,16635,7,4.207995190862639E-4
security |Security |security,2014100413,7649,6,7.844162635638645E-4
security |Security |security,2014100516,7164,7,9.77107761027359E-4
security |Security |security,2014100416,8535,2,2.3432923257176333E-4
security |Security |security,2014100511,8203,11,0.0013409728148238449
security |Security |security,2014100415,9288,11,0.0011843238587424634
security |Security |security,2014100510,7389,7,9.473541751251861E-4
security |Security |security,2014100418,8794,5,5.685694791903571E-4
security |Security |security,2014100513,8653,9,0.0010401016988327747
security |Security |security,2014100417,9001,4,4.4439506721475393E-4
security |Security |security,2014100512,7658,10,0.0013058239749281796
security |Security |security,2014100908,14247,7,4.913315083877308E-4
security |Security |security,2014100907,7751,3,3.8704683266675265E-4
security |Security |security,2014100419,8630,8,9.269988412514484E-4
security |Security |security,2014100909,1000,1,0.001
security |Security |security,2014100721,11447,2,1.747182667947934E-4
security |Security |security,2014100722,8294,2,2.4113817217265494E-4
security |Security |security,2014100720,10198,4,3.922337713277113E-4
security |Security |security,2014100723,5300,15,0.002830188679245283
security |Security |security,2014100520,14801,7,4.7294101749881766E-4
security |Security |security,2014100523,12605,9,7.140023800079334E-4
security |Security |security,2014100522,10915,11,0.0010077874484654145
security |Security |security,2014100521,14363,13,9.051033906565481E-4
security |Security |security,2014100623,8800,4,4.5454545454545455E-4
security |Security |security,2014100622,9000,8,8.888888888888889E-4
security |Security |security,2014100621,9007,7,7.771733096480515E-4
security |Security |security,2014100620,8998,5,5.556790397866192E-4
security |Security |security,2014093011,9741,9,9.239297813366184E-4
security |Security |security,2014093012,11191,9,8.042176749173443E-4
security |Security |security,2014093013,5267,6,0.001139168407062844
security |Security |security,2014093017,3899,2,5.129520389843549E-4
security |Security |security,2014093018,99,1,0.010101010101010102
security |Security |security,2014093019,8564,8,9.341429238673517E-4
