side |side |sides,2014100403,6749,24,0.0035560823825751963
side |side |sides,2014100506,11836,10,8.448800270361609E-4
side |side |sides,2014100402,6613,0,0.0
side |side |sides,2014100505,6487,10,0.0015415446277169723
side |side |sides,2014100401,4570,5,0.0010940919037199124
side |side |sides,2014100504,3861,53,0.013727013727013727
side |side |sides,2014100400,5285,4,7.568590350047304E-4
side |side |sides,2014100503,4540,15,0.003303964757709251
side |side |sides,2014100709,5572,3,5.384063173007897E-4
side |side |sides,2014100407,7111,7,9.843903810997047E-4
side |side |sides,2014100406,10763,9,8.36198086035492E-4
side |side |sides,2014100501,6148,56,0.009108653220559532
side |side |sides,2014100405,10366,3,2.894076789504148E-4
side |side |sides,2014100500,11540,17,0.0014731369150779896
side |side |sides,2014100404,3086,4,0.0012961762799740765
side |side |sides,2014100409,9932,22,0.0022150624244865083
side |side |sides,2014100408,10458,10,9.562057754828839E-4
side |side |sides,2014100903,4141,1,2.414875633904854E-4
side |side |sides,2014100613,12260,7,5.709624796084829E-4
side |side |sides,2014100904,4854,0,0.0
side |side |sides,2014100614,10247,11,0.001073484922416317
side |side |sides,2014100905,7777,0,0.0
side |side |sides,2014100615,8801,33,0.003749573912055448
side |side |sides,2014100710,7431,8,0.0010765711209796797
side |side |sides,2014100906,3505,5,0.0014265335235378032
side |side |sides,2014100616,10833,23,0.0021231422505307855
side |side |sides,2014100711,13474,11,8.163871159269705E-4
side |side |sides,2014100617,11523,22,0.0019092250282044605
side |side |sides,2014100900,3864,9,0.002329192546583851
side |side |sides,2014100618,10834,17,0.0015691342071257153
side |side |sides,2014100901,3052,5,0.00163826998689384
side |side |sides,2014100619,10472,11,0.0010504201680672268
side |side |sides,2014100902,4916,1,2.034174125305126E-4
side |side |sides,2014100716,9756,11,0.001127511275112751
side |side |sides,2014100800,3418,6,0.0017554125219426564
side |side |sides,2014100717,12018,19,0.001580961890497587
side |side |sides,2014100801,4912,4,8.143322475570033E-4
side |side |sides,2014100718,9824,15,0.0015268729641693811
side |side |sides,2014100802,4582,1,2.1824530772588389E-4
side |side |sides,2014100719,8904,16,0.0017969451931716084
side |side |sides,2014100803,4750,1,2.105263157894737E-4
side |side |sides,2014100712,10146,20,0.001971220185294697
side |side |sides,2014100804,8238,2,2.4277737314882253E-4
side |side |sides,2014100610,8565,13,0.0015178050204319906
side |side |sides,2014100713,7382,2,2.70929287455974E-4
side |side |sides,2014100805,6904,2,2.8968713789107763E-4
side |side |sides,2014100611,8676,9,0.001037344398340249
side |side |sides,2014100714,9294,7,7.53174090811276E-4
side |side |sides,2014100806,7696,2,2.598752598752599E-4
side |side |sides,2014100612,7761,15,0.001932740626207963
side |side |sides,2014100715,8494,7,8.241111372733694E-4
side |side |sides,2014100807,6298,0,0.0
side |side |sides,2014100519,13547,13,9.596220565438843E-4
side |side |sides,2014100809,5933,10,0.0016854879487611663
side |side |sides,2014100518,12589,15,0.0011915164032091508
side |side |sides,2014100808,7916,10,0.0012632642748863063
side |side |sides,2014100410,8297,18,0.0021694588405447753
side |side |sides,2014100412,8252,4,4.847309743092584E-4
side |side |sides,2014100515,6526,9,0.0013790989886607416
side |side |sides,2014100411,8736,7,8.012820512820513E-4
side |side |sides,2014100514,7337,9,0.0012266593975739403
side |side |sides,2014100414,8029,61,0.007597459210362436
side |side |sides,2014100517,16635,22,0.0013225127742711152
side |side |sides,2014100413,7649,9,0.001176624395345797
side |side |sides,2014100516,7164,11,0.0015354550530429928
side |side |sides,2014100416,8535,40,0.0046865846514352666
side |side |sides,2014100511,8203,11,0.0013409728148238449
side |side |sides,2014100415,9288,60,0.006459948320413436
side |side |sides,2014100510,7389,12,0.0016240357287860333
side |side |sides,2014100418,8794,25,0.002842847395951785
side |side |sides,2014100513,8653,13,0.0015023691205362302
side |side |sides,2014100417,9001,30,0.0033329630041106545
side |side |sides,2014100512,7658,13,0.0016975711674066336
side |side |sides,2014100908,14247,7,4.913315083877308E-4
side |side |sides,2014100907,7751,4,5.160624435556702E-4
side |side |sides,2014100419,8630,72,0.008342989571263035
side |side |sides,2014100909,1000,2,0.002
side |side |sides,2014100721,11447,30,0.0026207740019219008
side |side |sides,2014100722,8294,12,0.0014468290330359296
side |side |sides,2014100720,10198,31,0.003039811727789763
side |side |sides,2014100723,5300,5,9.433962264150943E-4
side |side |sides,2014100520,14801,20,0.0013512600499966218
side |side |sides,2014100523,12605,19,0.001507338357794526
side |side |sides,2014100522,10915,12,0.0010994044892349978
side |side |sides,2014100521,14363,22,0.0015317134303418506
side |side |sides,2014100623,8800,9,0.0010227272727272728
side |side |sides,2014100622,9000,12,0.0013333333333333333
side |side |sides,2014100621,9007,13,0.0014433218607749528
side |side |sides,2014100620,8998,15,0.0016670371193598578
side |side |sides,2014093011,9741,8,8.212709167436608E-4
side |side |sides,2014093012,11191,19,0.001697792869269949
side |side |sides,2014093013,5267,4,7.594456047085627E-4
side |side |sides,2014093017,3899,6,0.001538856116953065
side |side |sides,2014093018,99,1,0.010101010101010102
side |side |sides,2014093019,8564,18,0.0021018215787015414
