interest |interests |interest,2014100815,5628,9,0.0015991471215351812
interest |interests |interest,2014100701,13455,0,0.0
interest |interests |interest,2014100816,7857,10,0.0012727504136438843
interest |interests |interest,2014100702,8524,0,0.0
interest |interests |interest,2014100509,9287,1,1.076773985140519E-4
interest |interests |interest,2014100508,6498,1,1.538935056940597E-4
interest |interests |interest,2014100819,4300,4,9.302325581395349E-4
interest |interests |interest,2014100507,16911,4,2.365324345100822E-4
interest |interests |interest,2014100403,6749,0,0.0
interest |interests |interest,2014100506,11836,0,0.0
interest |interests |interest,2014100402,6613,1,1.5121729925903524E-4
interest |interests |interest,2014100505,6487,0,0.0
interest |interests |interest,2014100401,4570,0,0.0
interest |interests |interest,2014100504,3861,0,0.0
interest |interests |interest,2014100400,5285,2,3.784295175023652E-4
interest |interests |interest,2014100503,4540,0,0.0
interest |interests |interest,2014100709,5572,2,3.589375448671931E-4
interest |interests |interest,2014100407,7111,0,0.0
interest |interests |interest,2014100406,10763,1,9.2910898448388E-5
interest |interests |interest,2014100501,6148,1,1.6265452179570593E-4
interest |interests |interest,2014100405,10366,1,9.646922631680494E-5
interest |interests |interest,2014100500,11540,1,8.665511265164645E-5
interest |interests |interest,2014100404,3086,2,6.480881399870382E-4
interest |interests |interest,2014100409,9932,5,5.034232782923883E-4
interest |interests |interest,2014100408,10458,4,3.8248231019315357E-4
interest |interests |interest,2014100903,4141,0,0.0
interest |interests |interest,2014100613,12260,8,6.525285481239804E-4
interest |interests |interest,2014100904,4854,2,4.1203131437989287E-4
interest |interests |interest,2014100614,10247,9,8.783058456133503E-4
interest |interests |interest,2014100905,7777,2,2.5716857400025716E-4
interest |interests |interest,2014100615,8801,8,9.08987615043745E-4
interest |interests |interest,2014100710,7431,11,0.0014802852913470596
interest |interests |interest,2014100906,3505,1,2.853067047075606E-4
interest |interests |interest,2014100616,10833,14,0.001292347456844826
interest |interests |interest,2014100711,13474,7,5.195190737717084E-4
interest |interests |interest,2014100617,11523,4,3.4713182330990195E-4
interest |interests |interest,2014100900,3864,1,2.587991718426501E-4
interest |interests |interest,2014100618,10834,2,1.8460402436773122E-4
interest |interests |interest,2014100901,3052,1,3.27653997378768E-4
interest |interests |interest,2014100619,10472,12,0.001145912910618793
interest |interests |interest,2014100902,4916,0,0.0
interest |interests |interest,2014100716,9756,9,9.225092250922509E-4
interest |interests |interest,2014100800,3418,2,5.851375073142189E-4
interest |interests |interest,2014100717,12018,2,1.6641704110500916E-4
interest |interests |interest,2014100801,4912,1,2.0358306188925082E-4
interest |interests |interest,2014100718,9824,2,2.0358306188925082E-4
interest |interests |interest,2014100802,4582,0,0.0
interest |interests |interest,2014100719,8904,6,6.738544474393531E-4
interest |interests |interest,2014100803,4750,0,0.0
interest |interests |interest,2014100712,10146,11,0.0010841711019120837
interest |interests |interest,2014100804,8238,0,0.0
interest |interests |interest,2014100610,8565,5,5.837711617046118E-4
interest |interests |interest,2014100713,7382,8,0.001083717149823896
interest |interests |interest,2014100805,6904,0,0.0
interest |interests |interest,2014100611,8676,1,1.152604887044721E-4
interest |interests |interest,2014100714,9294,22,0.0023671185711211535
interest |interests |interest,2014100806,7696,1,1.2993762993762994E-4
interest |interests |interest,2014100612,7761,4,5.153975003221235E-4
interest |interests |interest,2014100715,8494,11,0.0012950317871438662
interest |interests |interest,2014100807,6298,0,0.0
interest |interests |interest,2014100519,13547,4,2.9526832509042594E-4
interest |interests |interest,2014100809,5933,3,5.056463846283499E-4
interest |interests |interest,2014100518,12589,2,1.588688537612201E-4
interest |interests |interest,2014100808,7916,3,3.7897928246589187E-4
interest |interests |interest,2014100410,8297,12,0.001446305893696517
interest |interests |interest,2014100412,8252,4,4.847309743092584E-4
interest |interests |interest,2014100515,6526,0,0.0
interest |interests |interest,2014100411,8736,0,0.0
interest |interests |interest,2014100514,7337,1,1.362954886193267E-4
interest |interests |interest,2014100414,8029,4,4.981940465811433E-4
interest |interests |interest,2014100517,16635,4,2.4045686804929366E-4
interest |interests |interest,2014100413,7649,1,1.3073604392731077E-4
interest |interests |interest,2014100516,7164,10,0.0013958682300390843
interest |interests |interest,2014100416,8535,3,3.51493848857645E-4
interest |interests |interest,2014100511,8203,7,8.533463367060831E-4
interest |interests |interest,2014100415,9288,4,4.306632213608958E-4
interest |interests |interest,2014100510,7389,7,9.473541751251861E-4
interest |interests |interest,2014100418,8794,2,2.2742779167614282E-4
interest |interests |interest,2014100513,8653,2,2.3113371085172773E-4
interest |interests |interest,2014100417,9001,1,1.1109876680368848E-4
interest |interests |interest,2014100512,7658,3,3.917471924784539E-4
interest |interests |interest,2014100908,14247,6,4.211412929037692E-4
interest |interests |interest,2014100907,7751,2,2.580312217778351E-4
interest |interests |interest,2014100419,8630,6,6.952491309385864E-4
interest |interests |interest,2014100909,1000,4,0.004
interest |interests |interest,2014100721,11447,8,6.988730671791736E-4
interest |interests |interest,2014100722,8294,5,6.028454304316373E-4
interest |interests |interest,2014100720,10198,5,4.902922141596392E-4
interest |interests |interest,2014100723,5300,1,1.8867924528301886E-4
interest |interests |interest,2014100520,14801,8,5.405040199986487E-4
interest |interests |interest,2014100523,12605,4,3.1733439111463705E-4
interest |interests |interest,2014100522,10915,5,4.580852038479157E-4
interest |interests |interest,2014100521,14363,7,4.8736336419967973E-4
interest |interests |interest,2014100623,8800,1,1.1363636363636364E-4
interest |interests |interest,2014100622,9000,3,3.333333333333333E-4
interest |interests |interest,2014100621,9007,4,4.4409903408460086E-4
interest |interests |interest,2014100620,8998,12,0.0013336296954878863
interest |interests |interest,2014093011,9741,7,7.186120521507032E-4
interest |interests |interest,2014093012,11191,18,0.0016084353498346886
interest |interests |interest,2014093013,5267,9,0.0017087526105942661
interest |interests |interest,2014093017,3899,17,0.0043600923313670175
interest |interests |interest,2014093018,99,0,0.0
interest |interests |interest,2014093019,8564,16,0.0018682858477347033
