scheme |schemes |scheme,2014100704,3010,0,0.0
scheme |schemes |scheme,2014100815,5628,0,0.0
scheme |schemes |scheme,2014100701,13455,0,0.0
scheme |schemes |scheme,2014100816,7857,1,1.2727504136438844E-4
scheme |schemes |scheme,2014100702,8524,1,1.1731581417175035E-4
scheme |schemes |scheme,2014100509,9287,0,0.0
scheme |schemes |scheme,2014100508,6498,1,1.538935056940597E-4
scheme |schemes |scheme,2014100819,4300,0,0.0
scheme |schemes |scheme,2014100507,16911,0,0.0
scheme |schemes |scheme,2014100403,6749,0,0.0
scheme |schemes |scheme,2014100506,11836,0,0.0
scheme |schemes |scheme,2014100402,6613,13,0.001965824890367458
scheme |schemes |scheme,2014100505,6487,0,0.0
scheme |schemes |scheme,2014100401,4570,19,0.004157549234135667
scheme |schemes |scheme,2014100504,3861,0,0.0
scheme |schemes |scheme,2014100400,5285,0,0.0
scheme |schemes |scheme,2014100503,4540,0,0.0
scheme |schemes |scheme,2014100709,5572,0,0.0
scheme |schemes |scheme,2014100407,7111,0,0.0
scheme |schemes |scheme,2014100406,10763,0,0.0
scheme |schemes |scheme,2014100501,6148,0,0.0
scheme |schemes |scheme,2014100405,10366,0,0.0
scheme |schemes |scheme,2014100500,11540,1,8.665511265164645E-5
scheme |schemes |scheme,2014100404,3086,0,0.0
scheme |schemes |scheme,2014100409,9932,0,0.0
scheme |schemes |scheme,2014100408,10458,1,9.562057754828839E-5
scheme |schemes |scheme,2014100903,4141,0,0.0
scheme |schemes |scheme,2014100613,12260,1,8.156606851549755E-5
scheme |schemes |scheme,2014100904,4854,0,0.0
scheme |schemes |scheme,2014100614,10247,1,9.758953840148337E-5
scheme |schemes |scheme,2014100905,7777,0,0.0
scheme |schemes |scheme,2014100615,8801,0,0.0
scheme |schemes |scheme,2014100710,7431,0,0.0
scheme |schemes |scheme,2014100906,3505,0,0.0
scheme |schemes |scheme,2014100616,10833,0,0.0
scheme |schemes |scheme,2014100711,13474,3,2.226510316164465E-4
scheme |schemes |scheme,2014100617,11523,3,2.603488674824265E-4
scheme |schemes |scheme,2014100900,3864,0,0.0
scheme |schemes |scheme,2014100618,10834,1,9.230201218386561E-5
scheme |schemes |scheme,2014100901,3052,1,3.27653997378768E-4
scheme |schemes |scheme,2014100619,10472,1,9.549274255156608E-5
scheme |schemes |scheme,2014100902,4916,0,0.0
scheme |schemes |scheme,2014100716,9756,0,0.0
scheme |schemes |scheme,2014100800,3418,2,5.851375073142189E-4
scheme |schemes |scheme,2014100717,12018,0,0.0
scheme |schemes |scheme,2014100801,4912,0,0.0
scheme |schemes |scheme,2014100718,9824,9,9.161237785016286E-4
scheme |schemes |scheme,2014100802,4582,0,0.0
scheme |schemes |scheme,2014100719,8904,2,2.2461814914645105E-4
scheme |schemes |scheme,2014100803,4750,0,0.0
scheme |schemes |scheme,2014100712,10146,1,9.856100926473487E-5
scheme |schemes |scheme,2014100804,8238,0,0.0
