boy |Boys |boys |boy,2014100814,6011,14,0.0023290633837963733
boy |Boys |boys |boy,2014100705,2740,9,0.0032846715328467154
boy |Boys |boys |boy,2014100811,6604,19,0.0028770442156268927
boy |Boys |boys |boy,2014100706,3398,9,0.00264861683343143
boy |Boys |boys |boy,2014100812,5896,16,0.0027137042062415195
boy |Boys |boys |boy,2014100817,6743,18,0.002669434969598102
boy |Boys |boys |boy,2014100600,15771,104,0.006594382093716314
boy |Boys |boys |boy,2014100703,5792,18,0.003107734806629834
boy |Boys |boys |boy,2014100818,7400,81,0.010945945945945945
boy |Boys |boys |boy,2014100601,8669,31,0.003575960318375822
boy |Boys |boys |boy,2014100704,3010,9,0.002990033222591362
boy |Boys |boys |boy,2014100815,5628,10,0.0017768301350390902
boy |Boys |boys |boy,2014100701,13455,31,0.0023039762170196953
boy |Boys |boys |boy,2014100816,7857,20,0.0025455008272877687
boy |Boys |boys |boy,2014100702,8524,13,0.0015251055842327545
boy |Boys |boys |boy,2014100509,9287,24,0.0025842575643372457
boy |Boys |boys |boy,2014100508,6498,42,0.006463527239150508
boy |Boys |boys |boy,2014100819,4300,48,0.011162790697674419
boy |Boys |boys |boy,2014100507,16911,61,0.0036071196262787535
boy |Boys |boys |boy,2014100403,6749,57,0.008445695658616092
boy |Boys |boys |boy,2014100506,11836,38,0.003210544102737411
boy |Boys |boys |boy,2014100402,6613,46,0.00695599576591562
boy |Boys |boys |boy,2014100505,6487,10,0.0015415446277169723
boy |Boys |boys |boy,2014100401,4570,55,0.012035010940919038
boy |Boys |boys |boy,2014100504,3861,16,0.004144004144004144
boy |Boys |boys |boy,2014100400,5285,43,0.008136234626300852
boy |Boys |boys |boy,2014100503,4540,21,0.004625550660792952
boy |Boys |boys |boy,2014100709,5572,19,0.0034099066762383347
boy |Boys |boys |boy,2014100407,7111,55,0.00773449585149768
boy |Boys |boys |boy,2014100406,10763,137,0.012728793087429155
boy |Boys |boys |boy,2014100501,6148,30,0.004879635653871178
boy |Boys |boys |boy,2014100405,10366,69,0.006656376615859541
boy |Boys |boys |boy,2014100500,11540,255,0.022097053726169845
boy |Boys |boys |boy,2014100404,3086,38,0.012313674659753726
boy |Boys |boys |boy,2014100409,9932,42,0.004228755537656061
boy |Boys |boys |boy,2014100408,10458,50,0.004781028877414419
boy |Boys |boys |boy,2014100903,4141,9,0.0021733880705143687
boy |Boys |boys |boy,2014100613,12260,51,0.004159869494290375
