company |company |Company,2014100508,6498,1,1.538935056940597E-4
company |company |Company,2014100819,4300,6,0.0013953488372093023
company |company |Company,2014100507,16911,1,5.913310862752055E-5
company |company |Company,2014100403,6749,5,7.408504963698325E-4
company |company |Company,2014100506,11836,0,0.0
company |company |Company,2014100402,6613,6,9.073037955542114E-4
company |company |Company,2014100505,6487,0,0.0
company |company |Company,2014100401,4570,8,0.00175054704595186
company |company |Company,2014100504,3861,0,0.0
company |company |Company,2014100400,5285,3,5.676442762535478E-4
company |company |Company,2014100503,4540,3,6.607929515418502E-4
company |company |Company,2014100709,5572,3,5.384063173007897E-4
company |company |Company,2014100407,7111,3,4.2188159189987344E-4
company |company |Company,2014100406,10763,1,9.2910898448388E-5
company |company |Company,2014100501,6148,0,0.0
company |company |Company,2014100405,10366,5,4.823461315840247E-4
company |company |Company,2014100500,11540,1,8.665511265164645E-5
company |company |Company,2014100404,3086,1,3.240440699935191E-4
company |company |Company,2014100409,9932,4,4.027386226339106E-4
company |company |Company,2014100408,10458,2,1.9124115509657678E-4
company |company |Company,2014100903,4141,4,9.659502535619416E-4
company |company |Company,2014100613,12260,10,8.156606851549756E-4
company |company |Company,2014100904,4854,4,8.240626287597857E-4
company |company |Company,2014100614,10247,6,5.855372304089002E-4
company |company |Company,2014100905,7777,1,1.2858428700012858E-4
company |company |Company,2014100615,8801,6,6.817407112828088E-4
company |company |Company,2014100710,7431,6,8.074283407347598E-4
company |company |Company,2014100906,3505,2,5.706134094151213E-4
company |company |Company,2014100616,10833,3,2.7693159789531985E-4
company |company |Company,2014100711,13474,12,8.90604126465786E-4
company |company |Company,2014100617,11523,14,0.0012149613815846567
company |company |Company,2014100900,3864,1,2.587991718426501E-4
company |company |Company,2014100618,10834,4,3.6920804873546244E-4
company |company |Company,2014100901,3052,3,9.82961992136304E-4
company |company |Company,2014100619,10472,7,6.684491978609625E-4
company |company |Company,2014100902,4916,3,6.102522375915378E-4
company |company |Company,2014100716,9756,9,9.225092250922509E-4
company |company |Company,2014100800,3418,0,0.0
company |company |Company,2014100717,12018,11,9.152937260775504E-4
company |company |Company,2014100801,4912,4,8.143322475570033E-4
company |company |Company,2014100718,9824,9,9.161237785016286E-4
company |company |Company,2014100802,4582,3,6.547359231776517E-4
company |company |Company,2014100719,8904,10,0.0011230907457322552
company |company |Company,2014100803,4750,4,8.421052631578948E-4
company |company |Company,2014100712,10146,8,7.88488074117879E-4
company |company |Company,2014100804,8238,1,1.2138868657441127E-4
company |company |Company,2014100610,8565,4,4.670169293636894E-4
company |company |Company,2014100713,7382,6,8.12787862367922E-4
company |company |Company,2014100805,6904,3,4.3453070683661645E-4
company |company |Company,2014100611,8676,7,8.068234209313047E-4
company |company |Company,2014100714,9294,8,8.607703894986013E-4
company |company |Company,2014100806,7696,2,2.598752598752599E-4
company |company |Company,2014100612,7761,9,0.0011596443757247777
company |company |Company,2014100715,8494,8,9.418412997409936E-4
company |company |Company,2014100807,6298,5,7.939028262940616E-4
company |company |Company,2014100519,13547,4,2.9526832509042594E-4
company |company |Company,2014100809,5933,4,6.741951795044666E-4
company |company |Company,2014100518,12589,3,2.3830328064183018E-4
company |company |Company,2014100808,7916,9,0.0011369378473976757
company |company |Company,2014100410,8297,4,4.821019645655056E-4
company |company |Company,2014100412,8252,6,7.270964614638875E-4
company |company |Company,2014100515,6526,3,4.5969966288691386E-4
company |company |Company,2014100411,8736,3,3.4340659340659343E-4
company |company |Company,2014100514,7337,6,8.177729317159602E-4
company |company |Company,2014100414,8029,3,3.736455349358575E-4
company |company |Company,2014100517,16635,3,1.8034265103697024E-4
company |company |Company,2014100413,7649,4,5.229441757092431E-4
company |company |Company,2014100516,7164,4,5.583472920156337E-4
company |company |Company,2014100416,8535,10,0.0011716461628588166
company |company |Company,2014100511,8203,5,6.095330976472023E-4
company |company |Company,2014100415,9288,5,5.383290267011198E-4
company |company |Company,2014100510,7389,3,4.060089321965083E-4
company |company |Company,2014100418,8794,7,7.959972708664999E-4
company |company |Company,2014100513,8653,3,3.467005662775916E-4
company |company |Company,2014100417,9001,5,5.554938340184424E-4
company |company |Company,2014100512,7658,3,3.917471924784539E-4
company |company |Company,2014100908,14247,0,0.0
company |company |Company,2014100907,7751,1,1.2901561088891756E-4
company |company |Company,2014100419,8630,4,4.634994206257242E-4
company |company |Company,2014100909,1000,1,0.001
company |company |Company,2014100721,11447,13,0.0011356687341661572
company |company |Company,2014100722,8294,8,9.645526886906198E-4
company |company |Company,2014100720,10198,7,6.864090998234948E-4
company |company |Company,2014100723,5300,2,3.773584905660377E-4
company |company |Company,2014100520,14801,1,6.756300249983109E-5
company |company |Company,2014100523,12605,1,7.933359777865926E-5
company |company |Company,2014100522,10915,3,2.7485112230874945E-4
company |company |Company,2014100521,14363,7,4.8736336419967973E-4
company |company |Company,2014100623,8800,7,7.954545454545455E-4
company |company |Company,2014100622,9000,8,8.888888888888889E-4
company |company |Company,2014100621,9007,9,9.99222826690352E-4
company |company |Company,2014100620,8998,7,7.77950655701267E-4
company |company |Company,2014093011,9741,7,7.186120521507032E-4
company |company |Company,2014093012,11191,8,7.148601554820838E-4
company |company |Company,2014093013,5267,5,9.493070058857034E-4
company |company |Company,2014093017,3899,3,7.694280584765325E-4
company |company |Company,2014093018,99,0,0.0
company |company |Company,2014093019,8564,3,3.503035964502569E-4
