action |action |actions,2014100812,5896,6,0.0010176390773405698
action |action |actions,2014100817,6743,4,5.932077710218003E-4
action |action |actions,2014100600,15771,2,1.268150402637753E-4
action |action |actions,2014100703,5792,2,3.453038674033149E-4
action |action |actions,2014100818,7400,7,9.459459459459459E-4
action |action |actions,2014100601,8669,5,5.767677932864229E-4
action |action |actions,2014100704,3010,0,0.0
action |action |actions,2014100815,5628,6,0.0010660980810234541
action |action |actions,2014100701,13455,1,7.432181345224824E-5
action |action |actions,2014100816,7857,6,7.636502481863307E-4
action |action |actions,2014100702,8524,2,2.346316283435007E-4
action |action |actions,2014100509,9287,15,0.0016151609777107785
action |action |actions,2014100508,6498,10,0.0015389350569405972
action |action |actions,2014100819,4300,6,0.0013953488372093023
action |action |actions,2014100507,16911,9,5.321979776476849E-4
action |action |actions,2014100403,6749,0,0.0
action |action |actions,2014100506,11836,33,0.0027881040892193307
action |action |actions,2014100402,6613,1,1.5121729925903524E-4
action |action |actions,2014100505,6487,45,0.006936950824726376
action |action |actions,2014100401,4570,4,8.7527352297593E-4
action |action |actions,2014100504,3861,28,0.007252007252007252
action |action |actions,2014100400,5285,3,5.676442762535478E-4
action |action |actions,2014100503,4540,109,0.024008810572687226
action |action |actions,2014100709,5572,10,0.0017946877243359654
action |action |actions,2014100407,7111,4,5.625087891998312E-4
action |action |actions,2014100406,10763,1,9.2910898448388E-5
action |action |actions,2014100501,6148,1,1.6265452179570593E-4
action |action |actions,2014100405,10366,4,3.8587690526721975E-4
action |action |actions,2014100500,11540,4,3.466204506065858E-4
action |action |actions,2014100404,3086,1,3.240440699935191E-4
action |action |actions,2014100409,9932,14,0.001409585179218687
action |action |actions,2014100408,10458,6,5.737234652897303E-4
action |action |actions,2014100903,4141,1,2.414875633904854E-4
action |action |actions,2014100613,12260,15,0.0012234910277324632
action |action |actions,2014100904,4854,0,0.0
action |action |actions,2014100614,10247,13,0.0012686639992192837
action |action |actions,2014100905,7777,0,0.0
action |action |actions,2014100615,8801,10,0.0011362345188046814
