militant |militants |Militants,2014100701,13455,0,0.0
militant |militants |Militants,2014100816,7857,2,2.545500827287769E-4
militant |militants |Militants,2014100702,8524,0,0.0
militant |militants |Militants,2014100509,9287,0,0.0
militant |militants |Militants,2014100508,6498,0,0.0
militant |militants |Militants,2014100819,4300,0,0.0
militant |militants |Militants,2014100507,16911,3,1.7739932588256165E-4
militant |militants |Militants,2014100403,6749,0,0.0
militant |militants |Militants,2014100506,11836,2,1.6897600540723216E-4
militant |militants |Militants,2014100402,6613,0,0.0
militant |militants |Militants,2014100505,6487,0,0.0
militant |militants |Militants,2014100401,4570,0,0.0
militant |militants |Militants,2014100504,3861,0,0.0
militant |militants |Militants,2014100400,5285,0,0.0
militant |militants |Militants,2014100503,4540,0,0.0
militant |militants |Militants,2014100709,5572,0,0.0
militant |militants |Militants,2014100407,7111,1,1.406271972999578E-4
militant |militants |Militants,2014100406,10763,0,0.0
militant |militants |Militants,2014100501,6148,0,0.0
militant |militants |Militants,2014100405,10366,0,0.0
militant |militants |Militants,2014100500,11540,0,0.0
militant |militants |Militants,2014100404,3086,0,0.0
militant |militants |Militants,2014100409,9932,0,0.0
militant |militants |Militants,2014100408,10458,0,0.0
militant |militants |Militants,2014100903,4141,1,2.414875633904854E-4
militant |militants |Militants,2014100613,12260,1,8.156606851549755E-5
militant |militants |Militants,2014100904,4854,0,0.0
militant |militants |Militants,2014100614,10247,1,9.758953840148337E-5
militant |militants |Militants,2014100905,7777,1,1.2858428700012858E-4
militant |militants |Militants,2014100615,8801,2,2.2724690376093625E-4
militant |militants |Militants,2014100710,7431,1,1.3457139012245997E-4
militant |militants |Militants,2014100906,3505,0,0.0
militant |militants |Militants,2014100616,10833,0,0.0
militant |militants |Militants,2014100711,13474,0,0.0
militant |militants |Militants,2014100617,11523,0,0.0
militant |militants |Militants,2014100900,3864,0,0.0
militant |militants |Militants,2014100618,10834,2,1.8460402436773122E-4
militant |militants |Militants,2014100901,3052,0,0.0
militant |militants |Militants,2014100619,10472,1,9.549274255156608E-5
militant |militants |Militants,2014100902,4916,2,4.068348250610252E-4
militant |militants |Militants,2014100716,9756,0,0.0
militant |militants |Militants,2014100800,3418,0,0.0
militant |militants |Militants,2014100717,12018,0,0.0
militant |militants |Militants,2014100801,4912,0,0.0
militant |militants |Militants,2014100718,9824,1,1.0179153094462541E-4
militant |militants |Militants,2014100802,4582,0,0.0
militant |militants |Militants,2014100719,8904,0,0.0
militant |militants |Militants,2014100803,4750,0,0.0
militant |militants |Militants,2014100712,10146,0,0.0
militant |militants |Militants,2014100804,8238,0,0.0
militant |militants |Militants,2014100610,8565,1,1.1675423234092235E-4
militant |militants |Militants,2014100713,7382,2,2.70929287455974E-4
militant |militants |Militants,2014100805,6904,0,0.0
militant |militants |Militants,2014100611,8676,0,0.0
militant |militants |Militants,2014100714,9294,0,0.0
militant |militants |Militants,2014100806,7696,0,0.0
militant |militants |Militants,2014100612,7761,0,0.0
militant |militants |Militants,2014100715,8494,0,0.0
militant |militants |Militants,2014100807,6298,2,3.1756113051762465E-4
militant |militants |Militants,2014100519,13547,1,7.381708127260648E-5
militant |militants |Militants,2014100809,5933,2,3.370975897522333E-4
militant |militants |Militants,2014100518,12589,0,0.0
militant |militants |Militants,2014100808,7916,0,0.0
militant |militants |Militants,2014100410,8297,2,2.410509822827528E-4
militant |militants |Militants,2014100412,8252,1,1.211827435773146E-4
militant |militants |Militants,2014100515,6526,2,3.0646644192460924E-4
militant |militants |Militants,2014100411,8736,0,0.0
militant |militants |Militants,2014100514,7337,1,1.362954886193267E-4
militant |militants |Militants,2014100414,8029,6,7.47291069871715E-4
militant |militants |Militants,2014100517,16635,0,0.0
militant |militants |Militants,2014100413,7649,1,1.3073604392731077E-4
militant |militants |Militants,2014100516,7164,0,0.0
militant |militants |Militants,2014100416,8535,0,0.0
militant |militants |Militants,2014100511,8203,2,2.438132390588809E-4
militant |militants |Militants,2014100415,9288,1,1.0766580534022394E-4
militant |militants |Militants,2014100510,7389,0,0.0
militant |militants |Militants,2014100418,8794,1,1.1371389583807141E-4
militant |militants |Militants,2014100513,8653,4,4.6226742170345545E-4
militant |militants |Militants,2014100417,9001,0,0.0
militant |militants |Militants,2014100512,7658,0,0.0
militant |militants |Militants,2014100908,14247,0,0.0
