place |places |place,2014100709,5572,27,0.004845656855707107
place |places |place,2014100407,7111,50,0.00703135986499789
place |places |place,2014100406,10763,71,0.006596673789835548
place |places |place,2014100501,6148,19,0.0030904359141184124
place |places |place,2014100405,10366,44,0.004244645957939417
place |places |place,2014100500,11540,18,0.001559792027729636
place |places |place,2014100404,3086,23,0.007453013609850939
place |places |place,2014100409,9932,33,0.0033225936367297622
place |places |place,2014100408,10458,39,0.0037292025243832474
place |places |place,2014100903,4141,5,0.001207437816952427
place |places |place,2014100613,12260,31,0.0025285481239804243
place |places |place,2014100904,4854,4,8.240626287597857E-4
place |places |place,2014100614,10247,18,0.0017566116912267006
place |places |place,2014100905,7777,4,5.143371480005143E-4
place |places |place,2014100615,8801,22,0.002499715941370299
place |places |place,2014100710,7431,29,0.003902570313551339
place |places |place,2014100906,3505,5,0.0014265335235378032
place |places |place,2014100616,10833,29,0.0026770054463214252
place |places |place,2014100711,13474,14,0.0010390381475434169
place |places |place,2014100617,11523,57,0.004946628482166103
place |places |place,2014100900,3864,7,0.0018115942028985507
place |places |place,2014100618,10834,32,0.0029536643898836995
place |places |place,2014100901,3052,4,0.001310615989515072
place |places |place,2014100619,10472,85,0.008116883116883116
place |places |place,2014100902,4916,1,2.034174125305126E-4
place |places |place,2014100716,9756,18,0.0018450184501845018
place |places |place,2014100800,3418,10,0.002925687536571094
place |places |place,2014100717,12018,21,0.001747378931602596
place |places |place,2014100801,4912,9,0.0018322475570032573
place |places |place,2014100718,9824,46,0.004682410423452769
place |places |place,2014100802,4582,4,8.729812309035355E-4
place |places |place,2014100719,8904,22,0.0024707996406109615
place |places |place,2014100803,4750,5,0.0010526315789473684
place |places |place,2014100712,10146,25,0.002464025231618372
place |places |place,2014100804,8238,3,3.641660597232338E-4
place |places |place,2014100610,8565,23,0.0026853473438412144
place |places |place,2014100713,7382,13,0.001761040368463831
place |places |place,2014100805,6904,4,5.793742757821553E-4
place |places |place,2014100611,8676,20,0.002305209774089442
place |places |place,2014100714,9294,19,0.002044329675059178
place |places |place,2014100806,7696,10,0.0012993762993762994
place |places |place,2014100612,7761,27,0.003478933127174333
place |places |place,2014100715,8494,26,0.0030609842241582294
place |places |place,2014100807,6298,9,0.0014290250873293109
place |places |place,2014100519,13547,22,0.0016239757879973427
place |places |place,2014100809,5933,18,0.0030338783077700996
place |places |place,2014100518,12589,35,0.002780204940821352
place |places |place,2014100808,7916,14,0.0017685699848408287
place |places |place,2014100410,8297,41,0.004941545136796432
place |places |place,2014100412,8252,27,0.003271934076587494
place |places |place,2014100515,6526,29,0.004443763407906834
place |places |place,2014100411,8736,31,0.0035485347985347985
place |places |place,2014100514,7337,43,0.005860706010631048
place |places |place,2014100414,8029,24,0.00298916427948686
place |places |place,2014100517,16635,26,0.0015629696423204089
place |places |place,2014100413,7649,26,0.0033991371421100798
place |places |place,2014100516,7164,23,0.0032104969290898937
place |places |place,2014100416,8535,30,0.0035149384885764497
place |places |place,2014100511,8203,29,0.003535291966353773
place |places |place,2014100415,9288,33,0.0035529715762273903
place |places |place,2014100510,7389,29,0.0039247530112329135
place |places |place,2014100418,8794,39,0.004434841937684785
place |places |place,2014100513,8653,29,0.003351438807350052
place |places |place,2014100417,9001,30,0.0033329630041106545
place |places |place,2014100512,7658,26,0.0033951423348132673
place |places |place,2014100908,14247,14,9.826630167754616E-4
place |places |place,2014100907,7751,20,0.0025803122177783513
place |places |place,2014100419,8630,38,0.00440324449594438
place |places |place,2014100909,1000,3,0.003
place |places |place,2014100721,11447,61,0.005328907137241198
place |places |place,2014100722,8294,17,0.002049674463467567
place |places |place,2014100720,10198,26,0.0025495195136301238
place |places |place,2014100723,5300,17,0.0032075471698113206
place |places |place,2014100520,14801,40,0.0027025200999932436
place |places |place,2014100523,12605,28,0.0022213407378024594
place |places |place,2014100522,10915,28,0.002565277141548328
place |places |place,2014100521,14363,37,0.0025760634964840214
place |places |place,2014100623,8800,28,0.003181818181818182
place |places |place,2014100622,9000,36,0.004
place |places |place,2014100621,9007,18,0.001998445653380704
place |places |place,2014100620,8998,30,0.0033340742387197157
place |places |place,2014093011,9741,14,0.0014372241043014065
place |places |place,2014093012,11191,21,0.00187650790814047
place |places |place,2014093013,5267,12,0.002278336814125688
place |places |place,2014093017,3899,12,0.00307771223390613
place |places |place,2014093018,99,0,0.0
place |places |place,2014093019,8564,26,0.003035964502568893
