deal |DEAL |deal |deals,2014100606,4334,3,6.922011998154131E-4
deal |DEAL |deal |deals,2014100607,6194,4,6.457862447529867E-4
deal |DEAL |deal |deals,2014100707,4802,6,0.0012494793835901709
deal |DEAL |deal |deals,2014100813,7061,11,0.001557852995326441
deal |DEAL |deal |deals,2014100708,5400,4,7.407407407407407E-4
deal |DEAL |deal |deals,2014100814,6011,25,0.004159041756779238
deal |DEAL |deal |deals,2014100705,2740,5,0.0018248175182481751
deal |DEAL |deal |deals,2014100811,6604,17,0.00257419745608722
deal |DEAL |deal |deals,2014100706,3398,2,5.885815185403178E-4
deal |DEAL |deal |deals,2014100812,5896,25,0.004240162822252374
deal |DEAL |deal |deals,2014100817,6743,10,0.001483019427554501
deal |DEAL |deal |deals,2014100600,15771,2,1.268150402637753E-4
deal |DEAL |deal |deals,2014100703,5792,2,3.453038674033149E-4
deal |DEAL |deal |deals,2014100818,7400,34,0.0045945945945945945
deal |DEAL |deal |deals,2014100601,8669,4,4.614142346291383E-4
deal |DEAL |deal |deals,2014100704,3010,2,6.64451827242525E-4
deal |DEAL |deal |deals,2014100815,5628,16,0.0028429282160625444
deal |DEAL |deal |deals,2014100701,13455,6,4.459308807134894E-4
deal |DEAL |deal |deals,2014100816,7857,12,0.0015273004963726614
deal |DEAL |deal |deals,2014100702,8524,7,8.212106992022525E-4
deal |DEAL |deal |deals,2014100509,9287,7,7.537417895983633E-4
deal |DEAL |deal |deals,2014100508,6498,3,4.616805170821791E-4
deal |DEAL |deal |deals,2014100819,4300,27,0.006279069767441861
deal |DEAL |deal |deals,2014100507,16911,3,1.7739932588256165E-4
deal |DEAL |deal |deals,2014100403,6749,2,2.96340198547933E-4
deal |DEAL |deal |deals,2014100506,11836,3,2.5346400811084827E-4
deal |DEAL |deal |deals,2014100402,6613,4,6.048691970361409E-4
deal |DEAL |deal |deals,2014100505,6487,1,1.5415446277169725E-4
deal |DEAL |deal |deals,2014100401,4570,4,8.7527352297593E-4
deal |DEAL |deal |deals,2014100504,3861,0,0.0
deal |DEAL |deal |deals,2014100400,5285,3,5.676442762535478E-4
deal |DEAL |deal |deals,2014100503,4540,2,4.405286343612335E-4
deal |DEAL |deal |deals,2014100709,5572,11,0.001974156496769562
deal |DEAL |deal |deals,2014100407,7111,2,2.812543945999156E-4
deal |DEAL |deal |deals,2014100406,10763,0,0.0
deal |DEAL |deal |deals,2014100501,6148,10,0.0016265452179570592
deal |DEAL |deal |deals,2014100405,10366,3,2.894076789504148E-4
deal |DEAL |deal |deals,2014100500,11540,9,7.79896013864818E-4
deal |DEAL |deal |deals,2014100404,3086,2,6.480881399870382E-4
deal |DEAL |deal |deals,2014100409,9932,9,9.061619009262988E-4
deal |DEAL |deal |deals,2014100408,10458,8,7.649646203863071E-4
deal |DEAL |deal |deals,2014100903,4141,2,4.829751267809708E-4
deal |DEAL |deal |deals,2014100613,12260,24,0.001957585644371941
deal |DEAL |deal |deals,2014100904,4854,3,6.180469715698393E-4
deal |DEAL |deal |deals,2014100614,10247,20,0.0019517907680296671
deal |DEAL |deal |deals,2014100905,7777,6,7.715057220007715E-4
deal |DEAL |deal |deals,2014100615,8801,40,0.0045449380752187254
deal |DEAL |deal |deals,2014100710,7431,18,0.0024222850222042794
deal |DEAL |deal |deals,2014100906,3505,3,8.559201141226819E-4
deal |DEAL |deal |deals,2014100616,10833,25,0.002307763315794332
deal |DEAL |deal |deals,2014100711,13474,17,0.0012616891791598635
deal |DEAL |deal |deals,2014100617,11523,18,0.0015620932048945586
deal |DEAL |deal |deals,2014100900,3864,9,0.002329192546583851
deal |DEAL |deal |deals,2014100618,10834,15,0.0013845301827579842
deal |DEAL |deal |deals,2014100901,3052,5,0.00163826998689384
deal |DEAL |deal |deals,2014100619,10472,25,0.002387318563789152
deal |DEAL |deal |deals,2014100902,4916,3,6.102522375915378E-4
deal |DEAL |deal |deals,2014100716,9756,37,0.0037925379253792536
deal |DEAL |deal |deals,2014100800,3418,3,8.777062609713282E-4
deal |DEAL |deal |deals,2014100717,12018,21,0.001747378931602596
deal |DEAL |deal |deals,2014100801,4912,0,0.0
deal |DEAL |deal |deals,2014100718,9824,19,0.0019340390879478827
deal |DEAL |deal |deals,2014100802,4582,2,4.3649061545176777E-4
deal |DEAL |deal |deals,2014100719,8904,21,0.0023584905660377358
deal |DEAL |deal |deals,2014100803,4750,1,2.105263157894737E-4
deal |DEAL |deal |deals,2014100712,10146,44,0.004336684407648335
deal |DEAL |deal |deals,2014100804,8238,3,3.641660597232338E-4
deal |DEAL |deal |deals,2014100610,8565,12,0.0014010507880910684
deal |DEAL |deal |deals,2014100713,7382,27,0.003657545380655649
deal |DEAL |deal |deals,2014100805,6904,4,5.793742757821553E-4
deal |DEAL |deal |deals,2014100611,8676,14,0.0016136468418626094
deal |DEAL |deal |deals,2014100714,9294,37,0.00398106305143103
deal |DEAL |deal |deals,2014100806,7696,4,5.197505197505198E-4
deal |DEAL |deal |deals,2014100612,7761,11,0.0014173431258858395
deal |DEAL |deal |deals,2014100715,8494,13,0.0015304921120791147
