kong |Kong,2014100506,11836,1,8.448800270361608E-5
kong |Kong,2014100402,6613,4,6.048691970361409E-4
kong |Kong,2014100505,6487,4,6.16617851086789E-4
kong |Kong,2014100401,4570,3,6.564551422319475E-4
kong |Kong,2014100504,3861,1,2.59000259000259E-4
kong |Kong,2014100400,5285,6,0.0011352885525070956
kong |Kong,2014100503,4540,2,4.405286343612335E-4
kong |Kong,2014100709,5572,0,0.0
kong |Kong,2014100407,7111,2,2.812543945999156E-4
kong |Kong,2014100406,10763,0,0.0
kong |Kong,2014100501,6148,1,1.6265452179570593E-4
kong |Kong,2014100405,10366,1,9.646922631680494E-5
kong |Kong,2014100500,11540,1,8.665511265164645E-5
kong |Kong,2014100404,3086,3,9.721322099805574E-4
kong |Kong,2014100409,9932,6,6.041079339508659E-4
kong |Kong,2014100408,10458,9,8.605851979345956E-4
kong |Kong,2014100903,4141,1,2.414875633904854E-4
kong |Kong,2014100613,12260,8,6.525285481239804E-4
kong |Kong,2014100904,4854,0,0.0
kong |Kong,2014100614,10247,9,8.783058456133503E-4
kong |Kong,2014100905,7777,5,6.429214350006429E-4
kong |Kong,2014100615,8801,5,5.681172594023407E-4
kong |Kong,2014100710,7431,0,0.0
kong |Kong,2014100906,3505,1,2.853067047075606E-4
kong |Kong,2014100616,10833,3,2.7693159789531985E-4
kong |Kong,2014100711,13474,3,2.226510316164465E-4
kong |Kong,2014100617,11523,1,8.678295582747549E-5
kong |Kong,2014100900,3864,3,7.763975155279503E-4
kong |Kong,2014100618,10834,2,1.8460402436773122E-4
kong |Kong,2014100901,3052,1,3.27653997378768E-4
kong |Kong,2014100619,10472,5,4.774637127578304E-4
kong |Kong,2014100902,4916,1,2.034174125305126E-4
kong |Kong,2014100716,9756,2,2.050020500205002E-4
kong |Kong,2014100800,3418,3,8.777062609713282E-4
kong |Kong,2014100717,12018,0,0.0
kong |Kong,2014100801,4912,3,6.107491856677524E-4
kong |Kong,2014100718,9824,1,1.0179153094462541E-4
kong |Kong,2014100802,4582,0,0.0
kong |Kong,2014100719,8904,0,0.0
kong |Kong,2014100803,4750,1,2.105263157894737E-4
kong |Kong,2014100712,10146,3,2.9568302779420464E-4
kong |Kong,2014100804,8238,0,0.0
kong |Kong,2014100610,8565,2,2.335084646818447E-4
kong |Kong,2014100713,7382,3,4.06393931183961E-4
kong |Kong,2014100805,6904,0,0.0
kong |Kong,2014100611,8676,4,4.610419548178884E-4
kong |Kong,2014100714,9294,2,2.1519259737465033E-4
kong |Kong,2014100806,7696,0,0.0
kong |Kong,2014100612,7761,2,2.5769875016106174E-4
kong |Kong,2014100715,8494,5,5.886508123381211E-4
kong |Kong,2014100807,6298,2,3.1756113051762465E-4
kong |Kong,2014100519,13547,2,1.4763416254521297E-4
kong |Kong,2014100809,5933,2,3.370975897522333E-4
kong |Kong,2014100518,12589,6,4.7660656128366036E-4
kong |Kong,2014100808,7916,2,2.5265285497726126E-4
kong |Kong,2014100410,8297,3,3.615764734241292E-4
kong |Kong,2014100412,8252,3,3.6354823073194375E-4
kong |Kong,2014100515,6526,2,3.0646644192460924E-4
kong |Kong,2014100411,8736,0,0.0
kong |Kong,2014100514,7337,2,2.725909772386534E-4
kong |Kong,2014100414,8029,2,2.4909702329057166E-4
kong |Kong,2014100517,16635,6,3.606853020739405E-4
kong |Kong,2014100413,7649,2,2.6147208785462153E-4
kong |Kong,2014100516,7164,2,2.7917364600781687E-4
kong |Kong,2014100416,8535,3,3.51493848857645E-4
kong |Kong,2014100511,8203,3,3.6571985858832134E-4
kong |Kong,2014100415,9288,1,1.0766580534022394E-4
kong |Kong,2014100510,7389,1,1.3533631073216944E-4
kong |Kong,2014100418,8794,2,2.2742779167614282E-4
kong |Kong,2014100513,8653,9,0.0010401016988327747
kong |Kong,2014100417,9001,4,4.4439506721475393E-4
kong |Kong,2014100512,7658,2,2.6116479498563595E-4
kong |Kong,2014100908,14247,6,4.211412929037692E-4
kong |Kong,2014100907,7751,4,5.160624435556702E-4
kong |Kong,2014100419,8630,6,6.952491309385864E-4
kong |Kong,2014100909,1000,0,0.0
kong |Kong,2014100721,11447,1,8.73591333973967E-5
kong |Kong,2014100722,8294,1,1.2056908608632747E-4
kong |Kong,2014100720,10198,0,0.0
kong |Kong,2014100723,5300,0,0.0
kong |Kong,2014100520,14801,7,4.7294101749881766E-4
kong |Kong,2014100523,12605,11,8.726695755652519E-4
kong |Kong,2014100522,10915,9,8.245533669262483E-4
kong |Kong,2014100521,14363,14,9.747267283993595E-4
kong |Kong,2014100623,8800,1,1.1363636363636364E-4
kong |Kong,2014100622,9000,2,2.2222222222222223E-4
kong |Kong,2014100621,9007,1,1.1102475852115021E-4
kong |Kong,2014100620,8998,3,3.3340742387197157E-4
kong |Kong,2014093011,9741,16,0.0016425418334873217
kong |Kong,2014093012,11191,14,0.0012510052720936468
kong |Kong,2014093013,5267,8,0.0015188912094171254
kong |Kong,2014093017,3899,0,0.0
kong |Kong,2014093018,99,0,0.0
kong |Kong,2014093019,8564,6,7.006071929005138E-4
