brisbane |Brisbane,2014100811,6604,12,0.0018170805572380376
brisbane |Brisbane,2014100706,3398,1,2.942907592701589E-4
brisbane |Brisbane,2014100812,5896,18,0.0030529172320217096
brisbane |Brisbane,2014100817,6743,6,8.898116565327006E-4
brisbane |Brisbane,2014100600,15771,3,1.9022256039566293E-4
brisbane |Brisbane,2014100703,5792,2,3.453038674033149E-4
brisbane |Brisbane,2014100818,7400,10,0.0013513513513513514
brisbane |Brisbane,2014100601,8669,0,0.0
brisbane |Brisbane,2014100704,3010,3,9.966777408637873E-4
brisbane |Brisbane,2014100815,5628,1,1.7768301350390902E-4
brisbane |Brisbane,2014100701,13455,0,0.0
brisbane |Brisbane,2014100816,7857,5,6.363752068219422E-4
brisbane |Brisbane,2014100702,8524,1,1.1731581417175035E-4
brisbane |Brisbane,2014100509,9287,3,3.230321955421557E-4
brisbane |Brisbane,2014100508,6498,2,3.077870113881194E-4
brisbane |Brisbane,2014100819,4300,3,6.976744186046512E-4
brisbane |Brisbane,2014100507,16911,4,2.365324345100822E-4
brisbane |Brisbane,2014100403,6749,1,1.481700992739665E-4
brisbane |Brisbane,2014100506,11836,3,2.5346400811084827E-4
brisbane |Brisbane,2014100402,6613,2,3.0243459851807047E-4
brisbane |Brisbane,2014100505,6487,0,0.0
brisbane |Brisbane,2014100401,4570,3,6.564551422319475E-4
brisbane |Brisbane,2014100504,3861,5,0.001295001295001295
brisbane |Brisbane,2014100400,5285,5,9.46073793755913E-4
brisbane |Brisbane,2014100503,4540,0,0.0
brisbane |Brisbane,2014100709,5572,12,0.0021536252692031586
brisbane |Brisbane,2014100407,7111,0,0.0
brisbane |Brisbane,2014100406,10763,1,9.2910898448388E-5
brisbane |Brisbane,2014100501,6148,0,0.0
brisbane |Brisbane,2014100405,10366,2,1.9293845263360988E-4
brisbane |Brisbane,2014100500,11540,6,5.199306759098787E-4
brisbane |Brisbane,2014100404,3086,2,6.480881399870382E-4
brisbane |Brisbane,2014100409,9932,5,5.034232782923883E-4
brisbane |Brisbane,2014100408,10458,6,5.737234652897303E-4
brisbane |Brisbane,2014100903,4141,3,7.244626901714562E-4
brisbane |Brisbane,2014100613,12260,2,1.631321370309951E-4
brisbane |Brisbane,2014100904,4854,0,0.0
brisbane |Brisbane,2014100614,10247,9,8.783058456133503E-4
brisbane |Brisbane,2014100905,7777,3,3.8575286100038574E-4
brisbane |Brisbane,2014100615,8801,17,0.001931598681967958
brisbane |Brisbane,2014100710,7431,2,2.6914278024491994E-4
brisbane |Brisbane,2014100906,3505,0,0.0
brisbane |Brisbane,2014100616,10833,11,0.0010154158589495061
brisbane |Brisbane,2014100711,13474,8,5.937360843105239E-4
brisbane |Brisbane,2014100617,11523,13,0.0011281784257571813
brisbane |Brisbane,2014100900,3864,2,5.175983436853002E-4
brisbane |Brisbane,2014100618,10834,13,0.001199926158390253
brisbane |Brisbane,2014100901,3052,4,0.001310615989515072
brisbane |Brisbane,2014100619,10472,17,0.0016233766233766235
brisbane |Brisbane,2014100902,4916,1,2.034174125305126E-4
brisbane |Brisbane,2014100716,9756,10,0.001025010250102501
brisbane |Brisbane,2014100800,3418,0,0.0
brisbane |Brisbane,2014100717,12018,5,4.160426027625229E-4
brisbane |Brisbane,2014100801,4912,3,6.107491856677524E-4
brisbane |Brisbane,2014100718,9824,6,6.107491856677524E-4
brisbane |Brisbane,2014100802,4582,1,2.1824530772588389E-4
brisbane |Brisbane,2014100719,8904,8,8.984725965858042E-4
brisbane |Brisbane,2014100803,4750,3,6.315789473684211E-4
brisbane |Brisbane,2014100712,10146,8,7.88488074117879E-4
brisbane |Brisbane,2014100804,8238,1,1.2138868657441127E-4
brisbane |Brisbane,2014100610,8565,6,7.005253940455342E-4
brisbane |Brisbane,2014100713,7382,8,0.001083717149823896
brisbane |Brisbane,2014100805,6904,0,0.0
brisbane |Brisbane,2014100611,8676,6,6.915629322268327E-4
brisbane |Brisbane,2014100714,9294,10,0.0010759629868732515
brisbane |Brisbane,2014100806,7696,2,2.598752598752599E-4
brisbane |Brisbane,2014100612,7761,9,0.0011596443757247777
brisbane |Brisbane,2014100715,8494,7,8.241111372733694E-4
brisbane |Brisbane,2014100807,6298,4,6.351222610352493E-4
brisbane |Brisbane,2014100519,13547,2,1.4763416254521297E-4
brisbane |Brisbane,2014100809,5933,3,5.056463846283499E-4
brisbane |Brisbane,2014100518,12589,3,2.3830328064183018E-4
brisbane |Brisbane,2014100808,7916,4,5.053057099545225E-4
brisbane |Brisbane,2014100410,8297,4,4.821019645655056E-4
brisbane |Brisbane,2014100412,8252,7,8.482792050412022E-4
brisbane |Brisbane,2014100515,6526,7,0.0010726325467361323
brisbane |Brisbane,2014100411,8736,12,0.0013736263736263737
brisbane |Brisbane,2014100514,7337,12,0.0016355458634319203
brisbane |Brisbane,2014100414,8029,7,8.718395815170009E-4
brisbane |Brisbane,2014100517,16635,5,3.0057108506161706E-4
