melbourne |Melbourne,2014100600,15771,24,0.0015217804831653035
melbourne |Melbourne,2014100703,5792,15,0.0025897790055248618
melbourne |Melbourne,2014100818,7400,66,0.00891891891891892
melbourne |Melbourne,2014100601,8669,21,0.002422424731802976
melbourne |Melbourne,2014100704,3010,10,0.0033222591362126247
melbourne |Melbourne,2014100815,5628,53,0.009417199715707179
melbourne |Melbourne,2014100701,13455,12,8.918617614269788E-4
melbourne |Melbourne,2014100816,7857,53,0.006745577192312588
melbourne |Melbourne,2014100702,8524,9,0.001055842327545753
melbourne |Melbourne,2014100509,9287,24,0.0025842575643372457
melbourne |Melbourne,2014100508,6498,21,0.003231763619575254
melbourne |Melbourne,2014100819,4300,47,0.010930232558139534
melbourne |Melbourne,2014100507,16911,20,0.001182662172550411
melbourne |Melbourne,2014100403,6749,6,8.890205956437991E-4
melbourne |Melbourne,2014100506,11836,11,9.293680297397769E-4
melbourne |Melbourne,2014100402,6613,14,0.0021170421896264933
melbourne |Melbourne,2014100505,6487,18,0.0027747803298905503
melbourne |Melbourne,2014100401,4570,14,0.003063457330415755
melbourne |Melbourne,2014100504,3861,12,0.003108003108003108
melbourne |Melbourne,2014100400,5285,27,0.00510879848628193
melbourne |Melbourne,2014100503,4540,12,0.0026431718061674008
melbourne |Melbourne,2014100709,5572,70,0.01256281407035176
melbourne |Melbourne,2014100407,7111,33,0.004640697510898608
melbourne |Melbourne,2014100406,10763,12,0.001114930781380656
melbourne |Melbourne,2014100501,6148,24,0.003903708523096942
melbourne |Melbourne,2014100405,10366,16,0.001543507621068879
melbourne |Melbourne,2014100500,11540,47,0.004072790294627383
melbourne |Melbourne,2014100404,3086,12,0.0038885288399222295
melbourne |Melbourne,2014100409,9932,76,0.0076520338300443014
melbourne |Melbourne,2014100408,10458,67,0.006406578695735322
melbourne |Melbourne,2014100903,4141,12,0.0028978507606858247
melbourne |Melbourne,2014100613,12260,88,0.007177814029363785
melbourne |Melbourne,2014100904,4854,2,4.1203131437989287E-4
melbourne |Melbourne,2014100614,10247,81,0.007904752610520153
melbourne |Melbourne,2014100905,7777,9,0.0011572585830011573
melbourne |Melbourne,2014100615,8801,90,0.010226110669242132
melbourne |Melbourne,2014100710,7431,93,0.012515139281388777
melbourne |Melbourne,2014100906,3505,15,0.0042796005706134095
melbourne |Melbourne,2014100616,10833,78,0.007200221545278316
melbourne |Melbourne,2014100711,13474,78,0.005788926822027609
melbourne |Melbourne,2014100617,11523,188,0.01631519569556539
melbourne |Melbourne,2014100900,3864,16,0.004140786749482402
melbourne |Melbourne,2014100618,10834,153,0.014122207864131438
melbourne |Melbourne,2014100901,3052,9,0.002948885976408912
melbourne |Melbourne,2014100619,10472,153,0.01461038961038961
melbourne |Melbourne,2014100902,4916,13,0.0026444263628966637
melbourne |Melbourne,2014100716,9756,59,0.006047560475604756
melbourne |Melbourne,2014100800,3418,21,0.006143943826799298
melbourne |Melbourne,2014100717,12018,73,0.006074222000332834
melbourne |Melbourne,2014100801,4912,8,0.0016286644951140066
melbourne |Melbourne,2014100718,9824,56,0.005700325732899023
melbourne |Melbourne,2014100802,4582,6,0.0013094718463553033
melbourne |Melbourne,2014100719,8904,74,0.008310871518418687
melbourne |Melbourne,2014100803,4750,6,0.0012631578947368421
melbourne |Melbourne,2014100712,10146,97,0.009560417898679282
melbourne |Melbourne,2014100804,8238,2,2.4277737314882253E-4
melbourne |Melbourne,2014100610,8565,68,0.00793928779918272
melbourne |Melbourne,2014100713,7382,74,0.010024383635871038
melbourne |Melbourne,2014100805,6904,9,0.0013035921205098494
melbourne |Melbourne,2014100611,8676,88,0.010142923005993546
melbourne |Melbourne,2014100714,9294,578,0.06219066064127394
melbourne |Melbourne,2014100806,7696,14,0.0018191268191268192
melbourne |Melbourne,2014100612,7761,62,0.007988661254992913
melbourne |Melbourne,2014100715,8494,85,0.010007063809748057
melbourne |Melbourne,2014100807,6298,23,0.0036519530009526836
melbourne |Melbourne,2014100519,13547,67,0.004945744445264634
melbourne |Melbourne,2014100809,5933,56,0.009438732513062532
melbourne |Melbourne,2014100518,12589,74,0.005878147589165144
melbourne |Melbourne,2014100808,7916,41,0.005179383527033856
melbourne |Melbourne,2014100410,8297,66,0.007954682415330842
melbourne |Melbourne,2014100412,8252,61,0.00739214735821619
melbourne |Melbourne,2014100515,6526,59,0.009040760036775973
melbourne |Melbourne,2014100411,8736,61,0.006982600732600733
melbourne |Melbourne,2014100514,7337,60,0.008177729317159602
melbourne |Melbourne,2014100414,8029,74,0.009216589861751152
melbourne |Melbourne,2014100517,16635,75,0.004508566275924256
melbourne |Melbourne,2014100413,7649,62,0.008105634723493267
melbourne |Melbourne,2014100516,7164,40,0.005583472920156337
melbourne |Melbourne,2014100416,8535,84,0.00984182776801406
melbourne |Melbourne,2014100511,8203,42,0.005120078020236499
melbourne |Melbourne,2014100415,9288,71,0.0076442721791559
melbourne |Melbourne,2014100510,7389,37,0.005007443497090269
melbourne |Melbourne,2014100418,8794,78,0.00886968387536957
melbourne |Melbourne,2014100513,8653,53,0.006125043337570785
melbourne |Melbourne,2014100417,9001,84,0.009332296411509832
melbourne |Melbourne,2014100512,7658,52,0.0067902846696265345
melbourne |Melbourne,2014100908,14247,37,0.002597037972906577
melbourne |Melbourne,2014100907,7751,26,0.0033544058831118566
melbourne |Melbourne,2014100419,8630,65,0.007531865585168019
melbourne |Melbourne,2014100909,1000,7,0.007
melbourne |Melbourne,2014100721,11447,60,0.0052415480038438015
melbourne |Melbourne,2014100722,8294,54,0.0065107306486616836
melbourne |Melbourne,2014100720,10198,65,0.006373798784075309
melbourne |Melbourne,2014100723,5300,32,0.0060377358490566035
melbourne |Melbourne,2014100520,14801,62,0.004188906154989527
melbourne |Melbourne,2014100523,12605,39,0.003094010313367711
melbourne |Melbourne,2014100522,10915,33,0.0030233623453962436
melbourne |Melbourne,2014100521,14363,73,0.005082503655225231
