sunday |Sunday,2014100815,5628,8,0.0014214641080312722
sunday |Sunday,2014100701,13455,1,7.432181345224824E-5
sunday |Sunday,2014100816,7857,8,0.0010182003309151075
sunday |Sunday,2014100702,8524,0,0.0
sunday |Sunday,2014100509,9287,45,0.004845482933132335
sunday |Sunday,2014100508,6498,26,0.0040012311480455524
sunday |Sunday,2014100819,4300,8,0.0018604651162790699
sunday |Sunday,2014100507,16911,30,0.0017739932588256165
sunday |Sunday,2014100403,6749,3,4.4451029782189953E-4
sunday |Sunday,2014100506,11836,5,4.2244001351808043E-4
sunday |Sunday,2014100402,6613,6,9.073037955542114E-4
sunday |Sunday,2014100505,6487,0,0.0
sunday |Sunday,2014100401,4570,12,0.00262582056892779
sunday |Sunday,2014100504,3861,1,2.59000259000259E-4
sunday |Sunday,2014100400,5285,18,0.0034058656575212867
sunday |Sunday,2014100503,4540,3,6.607929515418502E-4
sunday |Sunday,2014100709,5572,5,8.973438621679827E-4
sunday |Sunday,2014100407,7111,6,8.437631837997469E-4
sunday |Sunday,2014100406,10763,3,2.78732695345164E-4
sunday |Sunday,2014100501,6148,1,1.6265452179570593E-4
sunday |Sunday,2014100405,10366,0,0.0
sunday |Sunday,2014100500,11540,6,5.199306759098787E-4
sunday |Sunday,2014100404,3086,2,6.480881399870382E-4
sunday |Sunday,2014100409,9932,11,0.0011075312122432541
sunday |Sunday,2014100408,10458,7,6.693440428380187E-4
sunday |Sunday,2014100903,4141,3,7.244626901714562E-4
sunday |Sunday,2014100613,12260,12,9.787928221859706E-4
sunday |Sunday,2014100904,4854,1,2.0601565718994644E-4
sunday |Sunday,2014100614,10247,13,0.0012686639992192837
sunday |Sunday,2014100905,7777,0,0.0
sunday |Sunday,2014100615,8801,10,0.0011362345188046814
sunday |Sunday,2014100710,7431,10,0.0013457139012245996
sunday |Sunday,2014100906,3505,1,2.853067047075606E-4
sunday |Sunday,2014100616,10833,8,7.384842610541863E-4
sunday |Sunday,2014100711,13474,11,8.163871159269705E-4
sunday |Sunday,2014100617,11523,8,6.942636466198039E-4
sunday |Sunday,2014100900,3864,0,0.0
sunday |Sunday,2014100618,10834,7,6.461140852870592E-4
sunday |Sunday,2014100901,3052,4,0.001310615989515072
sunday |Sunday,2014100619,10472,26,0.002482811306340718
sunday |Sunday,2014100902,4916,1,2.034174125305126E-4
sunday |Sunday,2014100716,9756,10,0.001025010250102501
sunday |Sunday,2014100800,3418,1,2.925687536571094E-4
sunday |Sunday,2014100717,12018,7,5.82459643867532E-4
sunday |Sunday,2014100801,4912,0,0.0
sunday |Sunday,2014100718,9824,11,0.0011197068403908795
sunday |Sunday,2014100802,4582,0,0.0
sunday |Sunday,2014100719,8904,7,7.861635220125787E-4
sunday |Sunday,2014100803,4750,0,0.0
sunday |Sunday,2014100712,10146,7,6.899270648531441E-4
sunday |Sunday,2014100804,8238,1,1.2138868657441127E-4
sunday |Sunday,2014100610,8565,11,0.0012842965557501459
sunday |Sunday,2014100713,7382,28,0.003793010024383636
sunday |Sunday,2014100805,6904,0,0.0
sunday |Sunday,2014100611,8676,12,0.0013831258644536654
sunday |Sunday,2014100714,9294,9,9.683666881859264E-4
sunday |Sunday,2014100806,7696,0,0.0
sunday |Sunday,2014100612,7761,23,0.0029635356268522097
sunday |Sunday,2014100715,8494,13,0.0015304921120791147
sunday |Sunday,2014100807,6298,2,3.1756113051762465E-4
sunday |Sunday,2014100519,13547,53,0.003912305307448144
sunday |Sunday,2014100809,5933,6,0.0010112927692566998
sunday |Sunday,2014100518,12589,36,0.002859639367701962
sunday |Sunday,2014100808,7916,5,6.316321374431531E-4
sunday |Sunday,2014100410,8297,11,0.0013257804025551404
sunday |Sunday,2014100412,8252,5,6.059137178865729E-4
sunday |Sunday,2014100515,6526,36,0.0055163959546429666
sunday |Sunday,2014100411,8736,6,6.868131868131869E-4
sunday |Sunday,2014100514,7337,38,0.0051792285675344146
sunday |Sunday,2014100414,8029,6,7.47291069871715E-4
sunday |Sunday,2014100517,16635,41,0.00246468289750526
sunday |Sunday,2014100413,7649,5,6.536802196365538E-4
sunday |Sunday,2014100516,7164,37,0.005164712451144612
sunday |Sunday,2014100416,8535,7,8.201523140011716E-4
sunday |Sunday,2014100511,8203,53,0.006461050835060344
sunday |Sunday,2014100415,9288,6,6.459948320413437E-4
sunday |Sunday,2014100510,7389,34,0.004601434564893761
sunday |Sunday,2014100418,8794,2,2.2742779167614282E-4
sunday |Sunday,2014100513,8653,41,0.0047382410724604185
sunday |Sunday,2014100417,9001,4,4.4439506721475393E-4
sunday |Sunday,2014100512,7658,46,0.006006790284669626
sunday |Sunday,2014100908,14247,8,5.615217238716922E-4
sunday |Sunday,2014100907,7751,8,0.0010321248871113405
sunday |Sunday,2014100419,8630,11,0.0012746234067207416
sunday |Sunday,2014100909,1000,1,0.001
sunday |Sunday,2014100721,11447,12,0.0010483096007687603
sunday |Sunday,2014100722,8294,5,6.028454304316373E-4
sunday |Sunday,2014100720,10198,11,0.0010786428711512062
sunday |Sunday,2014100723,5300,4,7.547169811320754E-4
sunday |Sunday,2014100520,14801,31,0.0020944530774947637
sunday |Sunday,2014100523,12605,11,8.726695755652519E-4
sunday |Sunday,2014100522,10915,33,0.0030233623453962436
sunday |Sunday,2014100521,14363,28,0.001949453456798719
sunday |Sunday,2014100623,8800,5,5.681818181818182E-4
sunday |Sunday,2014100622,9000,6,6.666666666666666E-4
sunday |Sunday,2014100621,9007,10,0.001110247585211502
sunday |Sunday,2014100620,8998,9,0.0010002222716159147
sunday |Sunday,2014093011,9741,4,4.106354583718304E-4
sunday |Sunday,2014093012,11191,11,9.829327137878653E-4
sunday |Sunday,2014093013,5267,5,9.493070058857034E-4
sunday |Sunday,2014093017,3899,1,2.5647601949217746E-4
sunday |Sunday,2014093018,99,0,0.0
sunday |Sunday,2014093019,8564,8,9.341429238673517E-4
