staff |staff,2014100504,3861,3,7.77000777000777E-4
staff |staff,2014100400,5285,3,5.676442762535478E-4
staff |staff,2014100503,4540,4,8.81057268722467E-4
staff |staff,2014100709,5572,16,0.002871500358937545
staff |staff,2014100407,7111,7,9.843903810997047E-4
staff |staff,2014100406,10763,1,9.2910898448388E-5
staff |staff,2014100501,6148,0,0.0
staff |staff,2014100405,10366,3,2.894076789504148E-4
staff |staff,2014100500,11540,0,0.0
staff |staff,2014100404,3086,4,0.0012961762799740765
staff |staff,2014100409,9932,11,0.0011075312122432541
staff |staff,2014100408,10458,9,8.605851979345956E-4
staff |staff,2014100903,4141,0,0.0
staff |staff,2014100613,12260,10,8.156606851549756E-4
staff |staff,2014100904,4854,0,0.0
staff |staff,2014100614,10247,6,5.855372304089002E-4
staff |staff,2014100905,7777,1,1.2858428700012858E-4
staff |staff,2014100615,8801,4,4.544938075218725E-4
staff |staff,2014100710,7431,6,8.074283407347598E-4
staff |staff,2014100906,3505,4,0.0011412268188302425
staff |staff,2014100616,10833,17,0.0015692790547401458
staff |staff,2014100711,13474,13,9.648211370046015E-4
staff |staff,2014100617,11523,7,6.074806907923284E-4
staff |staff,2014100900,3864,0,0.0
staff |staff,2014100618,10834,7,6.461140852870592E-4
staff |staff,2014100901,3052,0,0.0
staff |staff,2014100619,10472,8,7.639419404125286E-4
staff |staff,2014100902,4916,0,0.0
staff |staff,2014100716,9756,25,0.0025625256252562525
staff |staff,2014100800,3418,2,5.851375073142189E-4
staff |staff,2014100717,12018,9,7.488766849725411E-4
staff |staff,2014100801,4912,2,4.0716612377850165E-4
staff |staff,2014100718,9824,12,0.0012214983713355048
staff |staff,2014100802,4582,0,0.0
staff |staff,2014100719,8904,16,0.0017969451931716084
staff |staff,2014100803,4750,0,0.0
staff |staff,2014100712,10146,22,0.0021683422038241674
staff |staff,2014100804,8238,1,1.2138868657441127E-4
staff |staff,2014100610,8565,2,2.335084646818447E-4
staff |staff,2014100713,7382,7,9.48252506095909E-4
staff |staff,2014100805,6904,1,1.4484356894553882E-4
staff |staff,2014100611,8676,2,2.305209774089442E-4
staff |staff,2014100714,9294,13,0.001398751882935227
staff |staff,2014100806,7696,3,3.8981288981288983E-4
staff |staff,2014100612,7761,9,0.0011596443757247777
staff |staff,2014100715,8494,6,7.063809748057452E-4
staff |staff,2014100807,6298,2,3.1756113051762465E-4
staff |staff,2014100519,13547,4,2.9526832509042594E-4
staff |staff,2014100809,5933,8,0.0013483903590089331
staff |staff,2014100518,12589,1,7.943442688061006E-5
staff |staff,2014100808,7916,1,1.2632642748863063E-4
staff |staff,2014100410,8297,6,7.231529468482585E-4
staff |staff,2014100412,8252,13,0.0015753756665050896
staff |staff,2014100515,6526,4,6.129328838492185E-4
staff |staff,2014100411,8736,30,0.003434065934065934
staff |staff,2014100514,7337,5,6.814774430966335E-4
staff |staff,2014100414,8029,3,3.736455349358575E-4
staff |staff,2014100517,16635,7,4.207995190862639E-4
staff |staff,2014100413,7649,9,0.001176624395345797
staff |staff,2014100516,7164,0,0.0
staff |staff,2014100416,8535,3,3.51493848857645E-4
staff |staff,2014100511,8203,7,8.533463367060831E-4
staff |staff,2014100415,9288,3,3.2299741602067185E-4
staff |staff,2014100510,7389,3,4.060089321965083E-4
staff |staff,2014100418,8794,3,3.411416875142142E-4
staff |staff,2014100513,8653,4,4.6226742170345545E-4
staff |staff,2014100417,9001,5,5.554938340184424E-4
staff |staff,2014100512,7658,4,5.223295899712719E-4
staff |staff,2014100908,14247,5,3.5095107741980766E-4
staff |staff,2014100907,7751,2,2.580312217778351E-4
staff |staff,2014100419,8630,35,0.004055619930475087
staff |staff,2014100909,1000,0,0.0
staff |staff,2014100721,11447,22,0.0019219009347427273
staff |staff,2014100722,8294,5,6.028454304316373E-4
staff |staff,2014100720,10198,9,8.825259854873505E-4
staff |staff,2014100723,5300,4,7.547169811320754E-4
staff |staff,2014100520,14801,8,5.405040199986487E-4
staff |staff,2014100523,12605,0,0.0
staff |staff,2014100522,10915,4,3.664681630783326E-4
staff |staff,2014100521,14363,4,2.7849335097124555E-4
staff |staff,2014100623,8800,1,1.1363636363636364E-4
staff |staff,2014100622,9000,9,0.001
staff |staff,2014100621,9007,22,0.002442544687465305
staff |staff,2014100620,8998,3,3.3340742387197157E-4
staff |staff,2014093011,9741,9,9.239297813366184E-4
staff |staff,2014093012,11191,6,5.361451166115629E-4
staff |staff,2014093013,5267,3,5.69584203531422E-4
staff |staff,2014093017,3899,13,0.003334188253398307
staff |staff,2014093018,99,0,0.0
staff |staff,2014093019,8564,4,4.6707146193367583E-4
