attack |attack |attacks,2014100703,5792,0,0.0
attack |attack |attacks,2014100818,7400,9,0.0012162162162162162
attack |attack |attacks,2014100601,8669,1,1.1535355865728458E-4
attack |attack |attacks,2014100704,3010,0,0.0
attack |attack |attacks,2014100815,5628,3,5.330490405117271E-4
attack |attack |attacks,2014100701,13455,0,0.0
attack |attack |attacks,2014100816,7857,13,0.0016545755377370497
attack |attack |attacks,2014100702,8524,0,0.0
attack |attack |attacks,2014100509,9287,3,3.230321955421557E-4
attack |attack |attacks,2014100508,6498,1,1.538935056940597E-4
attack |attack |attacks,2014100819,4300,5,0.0011627906976744186
attack |attack |attacks,2014100507,16911,1,5.913310862752055E-5
attack |attack |attacks,2014100403,6749,1,1.481700992739665E-4
attack |attack |attacks,2014100506,11836,0,0.0
attack |attack |attacks,2014100402,6613,3,4.536518977771057E-4
attack |attack |attacks,2014100505,6487,0,0.0
attack |attack |attacks,2014100401,4570,0,0.0
attack |attack |attacks,2014100504,3861,2,5.18000518000518E-4
attack |attack |attacks,2014100400,5285,2,3.784295175023652E-4
attack |attack |attacks,2014100503,4540,3,6.607929515418502E-4
attack |attack |attacks,2014100709,5572,7,0.001256281407035176
attack |attack |attacks,2014100407,7111,5,7.031359864997891E-4
attack |attack |attacks,2014100406,10763,0,0.0
attack |attack |attacks,2014100501,6148,3,4.8796356538711777E-4
attack |attack |attacks,2014100405,10366,4,3.8587690526721975E-4
attack |attack |attacks,2014100500,11540,3,2.5996533795493934E-4
attack |attack |attacks,2014100404,3086,1,3.240440699935191E-4
attack |attack |attacks,2014100409,9932,4,4.027386226339106E-4
attack |attack |attacks,2014100408,10458,4,3.8248231019315357E-4
attack |attack |attacks,2014100903,4141,1,2.414875633904854E-4
attack |attack |attacks,2014100613,12260,11,8.972267536704731E-4
attack |attack |attacks,2014100904,4854,0,0.0
attack |attack |attacks,2014100614,10247,2,1.9517907680296673E-4
attack |attack |attacks,2014100905,7777,1,1.2858428700012858E-4
attack |attack |attacks,2014100615,8801,6,6.817407112828088E-4
attack |attack |attacks,2014100710,7431,8,0.0010765711209796797
attack |attack |attacks,2014100906,3505,0,0.0
attack |attack |attacks,2014100616,10833,7,6.46173728422413E-4
attack |attack |attacks,2014100711,13474,8,5.937360843105239E-4
attack |attack |attacks,2014100617,11523,11,9.546125141022303E-4
attack |attack |attacks,2014100900,3864,0,0.0
attack |attack |attacks,2014100618,10834,11,0.0010153221340225217
attack |attack |attacks,2014100901,3052,0,0.0
attack |attack |attacks,2014100619,10472,8,7.639419404125286E-4
attack |attack |attacks,2014100902,4916,0,0.0
attack |attack |attacks,2014100716,9756,6,6.150061500615006E-4
attack |attack |attacks,2014100800,3418,2,5.851375073142189E-4
attack |attack |attacks,2014100717,12018,9,7.488766849725411E-4
attack |attack |attacks,2014100801,4912,1,2.0358306188925082E-4
attack |attack |attacks,2014100718,9824,4,4.0716612377850165E-4
attack |attack |attacks,2014100802,4582,2,4.3649061545176777E-4
attack |attack |attacks,2014100719,8904,14,0.0015723270440251573
attack |attack |attacks,2014100803,4750,0,0.0
attack |attack |attacks,2014100712,10146,13,0.0012812931204415534
attack |attack |attacks,2014100804,8238,1,1.2138868657441127E-4
attack |attack |attacks,2014100610,8565,12,0.0014010507880910684
attack |attack |attacks,2014100713,7382,6,8.12787862367922E-4
attack |attack |attacks,2014100805,6904,1,1.4484356894553882E-4
attack |attack |attacks,2014100611,8676,1,1.152604887044721E-4
attack |attack |attacks,2014100714,9294,9,9.683666881859264E-4
attack |attack |attacks,2014100806,7696,2,2.598752598752599E-4
attack |attack |attacks,2014100612,7761,9,0.0011596443757247777
attack |attack |attacks,2014100715,8494,9,0.0010595714622086178
attack |attack |attacks,2014100807,6298,1,1.5878056525881233E-4
attack |attack |attacks,2014100519,13547,10,7.381708127260648E-4
attack |attack |attacks,2014100809,5933,6,0.0010112927692566998
attack |attack |attacks,2014100518,12589,5,3.9717213440305027E-4
attack |attack |attacks,2014100808,7916,3,3.7897928246589187E-4
attack |attack |attacks,2014100410,8297,8,9.642039291310112E-4
attack |attack |attacks,2014100412,8252,0,0.0
attack |attack |attacks,2014100515,6526,8,0.001225865767698437
attack |attack |attacks,2014100411,8736,3,3.4340659340659343E-4
attack |attack |attacks,2014100514,7337,2,2.725909772386534E-4
attack |attack |attacks,2014100414,8029,8,9.963880931622867E-4
attack |attack |attacks,2014100517,16635,1,6.0114217012323416E-5
attack |attack |attacks,2014100413,7649,14,0.0018303046149823507
attack |attack |attacks,2014100516,7164,2,2.7917364600781687E-4
attack |attack |attacks,2014100416,8535,3,3.51493848857645E-4
attack |attack |attacks,2014100511,8203,6,7.314397171766427E-4
attack |attack |attacks,2014100415,9288,4,4.306632213608958E-4
attack |attack |attacks,2014100510,7389,15,0.0020300446609825416
attack |attack |attacks,2014100418,8794,5,5.685694791903571E-4
attack |attack |attacks,2014100513,8653,4,4.6226742170345545E-4
attack |attack |attacks,2014100417,9001,8,8.887901344295079E-4
attack |attack |attacks,2014100512,7658,1,1.3058239749281798E-4
attack |attack |attacks,2014100908,14247,2,1.4038043096792306E-4
attack |attack |attacks,2014100907,7751,3,3.8704683266675265E-4
attack |attack |attacks,2014100419,8630,6,6.952491309385864E-4
attack |attack |attacks,2014100909,1000,1,0.001
attack |attack |attacks,2014100721,11447,5,4.367956669869835E-4
attack |attack |attacks,2014100722,8294,7,8.439836026042923E-4
attack |attack |attacks,2014100720,10198,30,0.0029417532849578347
attack |attack |attacks,2014100723,5300,9,0.0016981132075471698
attack |attack |attacks,2014100520,14801,11,7.431930274981421E-4
attack |attack |attacks,2014100523,12605,1,7.933359777865926E-5
attack |attack |attacks,2014100522,10915,10,9.161704076958314E-4
attack |attack |attacks,2014100521,14363,16,0.0011139734038849822
attack |attack |attacks,2014100623,8800,2,2.2727272727272727E-4
attack |attack |attacks,2014100622,9000,7,7.777777777777777E-4
attack |attack |attacks,2014100621,9007,4,4.4409903408460086E-4
attack |attack |attacks,2014100620,8998,2,2.222716159146477E-4
attack |attack |attacks,2014093011,9741,13,0.0013345652397084489
attack |attack |attacks,2014093012,11191,7,6.255026360468234E-4
attack |attack |attacks,2014093013,5267,5,9.493070058857034E-4
attack |attack |attacks,2014093017,3899,2,5.129520389843549E-4
attack |attack |attacks,2014093018,99,0,0.0
attack |attack |attacks,2014093019,8564,4,4.6707146193367583E-4
