people |People |people,2014100406,10763,3734,0.34692929480628076
people |People |people,2014100501,6148,95,0.015452179570592063
people |People |people,2014100405,10366,23,0.0022187922052865137
people |People |people,2014100500,11540,92,0.007972270363951473
people |People |people,2014100404,3086,24,0.007777057679844459
people |People |people,2014100409,9932,195,0.01963350785340314
people |People |people,2014100408,10458,211,0.02017594186268885
people |People |people,2014100903,4141,151,0.03646462207196329
people |People |people,2014100613,12260,829,0.06761827079934747
people |People |people,2014100904,4854,120,0.024721878862793572
people |People |people,2014100614,10247,301,0.029374451058846493
people |People |people,2014100905,7777,92,0.01182975440401183
people |People |people,2014100615,8801,247,0.028064992614475627
people |People |people,2014100710,7431,92,0.012380567891266316
people |People |people,2014100906,3505,50,0.014265335235378032
people |People |people,2014100616,10833,360,0.033231791747438386
people |People |people,2014100711,13474,141,0.010464598485972984
people |People |people,2014100617,11523,335,0.02907229020220429
people |People |people,2014100900,3864,56,0.014492753623188406
people |People |people,2014100618,10834,216,0.01993723463171497
people |People |people,2014100901,3052,529,0.17332896461336827
people |People |people,2014100619,10472,183,0.01747517188693659
people |People |people,2014100902,4916,263,0.05349877949552482
people |People |people,2014100716,9756,165,0.016912669126691267
people |People |people,2014100800,3418,51,0.01492100643651258
people |People |people,2014100717,12018,217,0.01805624895989349
people |People |people,2014100801,4912,39,0.007939739413680782
people |People |people,2014100718,9824,148,0.01506514657980456
people |People |people,2014100802,4582,24,0.005237887385421213
people |People |people,2014100719,8904,207,0.02324797843665768
people |People |people,2014100803,4750,39,0.008210526315789474
people |People |people,2014100712,10146,111,0.01094027202838557
people |People |people,2014100804,8238,30,0.003641660597232338
people |People |people,2014100610,8565,151,0.017629889083479275
people |People |people,2014100713,7382,122,0.016526686534814414
people |People |people,2014100805,6904,21,0.003041714947856315
people |People |people,2014100611,8676,116,0.013370216689718764
people |People |people,2014100714,9294,109,0.011727996556918443
people |People |people,2014100806,7696,66,0.008575883575883576
people |People |people,2014100612,7761,103,0.013271485633294678
people |People |people,2014100715,8494,146,0.017188603720273133
people |People |people,2014100807,6298,73,0.0115909812638933
people |People |people,2014100519,13547,507,0.03742526020521149
people |People |people,2014100809,5933,139,0.023428282487780214
people |People |people,2014100518,12589,628,0.049884820081023115
people |People |people,2014100808,7916,128,0.01616978271854472
people |People |people,2014100410,8297,158,0.01904302760033747
people |People |people,2014100412,8252,125,0.015147842947164324
people |People |people,2014100515,6526,82,0.01256512411890898
people |People |people,2014100411,8736,150,0.017170329670329672
people |People |people,2014100514,7337,100,0.01362954886193267
people |People |people,2014100414,8029,137,0.01706314609540416
people |People |people,2014100517,16635,1428,0.08584310189359784
people |People |people,2014100413,7649,135,0.017649365930186952
people |People |people,2014100516,7164,97,0.013539921831379118
people |People |people,2014100416,8535,125,0.014645577035735208
people |People |people,2014100511,8203,108,0.01316591490917957
people |People |people,2014100415,9288,122,0.01313522825150732
people |People |people,2014100510,7389,89,0.01204493165516308
people |People |people,2014100418,8794,146,0.016602228792358426
people |People |people,2014100513,8653,106,0.01225008667514157
people |People |people,2014100417,9001,161,0.017886901455393844
people |People |people,2014100512,7658,151,0.019717942021415514
people |People |people,2014100908,14247,93,0.006527690040008423
people |People |people,2014100907,7751,76,0.009805186427557734
people |People |people,2014100419,8630,126,0.014600231749710313
people |People |people,2014100909,1000,23,0.023
people |People |people,2014100721,11447,205,0.017908622346466323
people |People |people,2014100722,8294,124,0.014950566674704605
people |People |people,2014100720,10198,208,0.02039615610904099
people |People |people,2014100723,5300,78,0.01471698113207547
people |People |people,2014100520,14801,458,0.03094385514492264
people |People |people,2014100523,12605,306,0.024276080920269734
people |People |people,2014100522,10915,365,0.03344021988089785
people |People |people,2014100521,14363,315,0.02193135138898559
people |People |people,2014100623,8800,170,0.019318181818181818
people |People |people,2014100622,9000,469,0.05211111111111111
people |People |people,2014100621,9007,220,0.024425446874653048
people |People |people,2014100620,8998,142,0.015781284729939987
people |People |people,2014093011,9741,150,0.015398829688943641
people |People |people,2014093012,11191,136,0.012152622643195424
people |People |people,2014093013,5267,54,0.010252515663565597
people |People |people,2014093017,3899,82,0.021031033598358555
people |People |people,2014093018,99,1,0.010101010101010102
people |People |people,2014093019,8564,139,0.016230733302195235
