road |road,2014100409,9932,4,4.027386226339106E-4
road |road,2014100408,10458,9,8.605851979345956E-4
road |road,2014100903,4141,1,2.414875633904854E-4
road |road,2014100613,12260,7,5.709624796084829E-4
road |road,2014100904,4854,1,2.0601565718994644E-4
road |road,2014100614,10247,3,2.927686152044501E-4
road |road,2014100905,7777,0,0.0
road |road,2014100615,8801,17,0.001931598681967958
road |road,2014100710,7431,8,0.0010765711209796797
road |road,2014100906,3505,1,2.853067047075606E-4
road |road,2014100616,10833,15,0.0013846579894765993
road |road,2014100711,13474,12,8.90604126465786E-4
road |road,2014100617,11523,10,8.678295582747548E-4
road |road,2014100900,3864,4,0.0010351966873706005
road |road,2014100618,10834,12,0.0011076241462063873
road |road,2014100901,3052,0,0.0
road |road,2014100619,10472,9,8.594346829640947E-4
road |road,2014100902,4916,1,2.034174125305126E-4
road |road,2014100716,9756,20,0.002050020500205002
road |road,2014100800,3418,4,0.0011702750146284377
road |road,2014100717,12018,12,9.98502246630055E-4
road |road,2014100801,4912,3,6.107491856677524E-4
road |road,2014100718,9824,16,0.0016286644951140066
road |road,2014100802,4582,2,4.3649061545176777E-4
road |road,2014100719,8904,15,0.0016846361185983828
road |road,2014100803,4750,2,4.210526315789474E-4
road |road,2014100712,10146,7,6.899270648531441E-4
road |road,2014100804,8238,1,1.2138868657441127E-4
road |road,2014100610,8565,12,0.0014010507880910684
road |road,2014100713,7382,9,0.001219181793551883
road |road,2014100805,6904,3,4.3453070683661645E-4
road |road,2014100611,8676,18,0.002074688796680498
road |road,2014100714,9294,15,0.0016139444803098773
road |road,2014100806,7696,10,0.0012993762993762994
road |road,2014100612,7761,11,0.0014173431258858395
road |road,2014100715,8494,21,0.002472333411820108
road |road,2014100807,6298,3,4.76341695776437E-4
road |road,2014100519,13547,3,2.2145124381781945E-4
road |road,2014100809,5933,6,0.0010112927692566998
road |road,2014100518,12589,16,0.0012709508300897609
road |road,2014100808,7916,8,0.001010611419909045
road |road,2014100410,8297,14,0.0016873568759792697
road |road,2014100412,8252,15,0.001817741153659719
road |road,2014100515,6526,13,0.00199203187250996
road |road,2014100411,8736,8,9.157509157509158E-4
road |road,2014100514,7337,19,0.0025896142837672073
road |road,2014100414,8029,10,0.0012454851164528584
road |road,2014100517,16635,18,0.0010820559062218215
road |road,2014100413,7649,12,0.001568832527127729
road |road,2014100516,7164,9,0.001256281407035176
road |road,2014100416,8535,14,0.0016403046280023433
road |road,2014100511,8203,16,0.0019505059124710472
road |road,2014100415,9288,13,0.0013996554694229112
road |road,2014100510,7389,5,6.766815536608473E-4
road |road,2014100418,8794,6,6.822833750284285E-4
road |road,2014100513,8653,38,0.004391540506182827
road |road,2014100417,9001,15,0.0016664815020553273
road |road,2014100512,7658,27,0.003525724732306085
road |road,2014100908,14247,11,7.720923703235769E-4
road |road,2014100907,7751,7,9.031092762224229E-4
road |road,2014100419,8630,13,0.0015063731170336038
road |road,2014100909,1000,1,0.001
road |road,2014100721,11447,9,7.862322005765703E-4
road |road,2014100722,8294,9,0.0010851217747769471
road |road,2014100720,10198,8,7.844675426554226E-4
road |road,2014100723,5300,3,5.660377358490566E-4
road |road,2014100520,14801,9,6.080670224984799E-4
road |road,2014100523,12605,16,0.0012693375644585482
road |road,2014100522,10915,9,8.245533669262483E-4
road |road,2014100521,14363,24,0.0016709601058274733
road |road,2014100623,8800,2,2.2727272727272727E-4
road |road,2014100622,9000,11,0.0012222222222222222
road |road,2014100621,9007,7,7.771733096480515E-4
road |road,2014100620,8998,10,0.0011113580795732384
road |road,2014093011,9741,22,0.0022584950210450673
road |road,2014093012,11191,22,0.0019658654275757307
road |road,2014093013,5267,16,0.003037782418834251
road |road,2014093017,3899,11,0.0028212362144139523
road |road,2014093018,99,0,0.0
road |road,2014093019,8564,12,0.0014012143858010276
