university |university |University,2014100601,8669,0,0.0
university |university |University,2014100704,3010,0,0.0
university |university |University,2014100815,5628,2,3.5536602700781805E-4
university |university |University,2014100701,13455,2,1.4864362690449647E-4
university |university |University,2014100816,7857,2,2.545500827287769E-4
university |university |University,2014100702,8524,0,0.0
university |university |University,2014100509,9287,1,1.076773985140519E-4
university |university |University,2014100508,6498,0,0.0
university |university |University,2014100819,4300,1,2.3255813953488373E-4
university |university |University,2014100507,16911,0,0.0
university |university |University,2014100403,6749,0,0.0
university |university |University,2014100506,11836,0,0.0
university |university |University,2014100402,6613,0,0.0
university |university |University,2014100505,6487,0,0.0
university |university |University,2014100401,4570,0,0.0
university |university |University,2014100504,3861,0,0.0
university |university |University,2014100400,5285,1,1.892147587511826E-4
university |university |University,2014100503,4540,0,0.0
university |university |University,2014100709,5572,1,1.7946877243359656E-4
university |university |University,2014100407,7111,6,8.437631837997469E-4
university |university |University,2014100406,10763,0,0.0
university |university |University,2014100501,6148,0,0.0
university |university |University,2014100405,10366,1,9.646922631680494E-5
university |university |University,2014100500,11540,0,0.0
university |university |University,2014100404,3086,0,0.0
university |university |University,2014100409,9932,4,4.027386226339106E-4
university |university |University,2014100408,10458,8,7.649646203863071E-4
university |university |University,2014100903,4141,2,4.829751267809708E-4
university |university |University,2014100613,12260,1,8.156606851549755E-5
university |university |University,2014100904,4854,0,0.0
university |university |University,2014100614,10247,5,4.879476920074168E-4
university |university |University,2014100905,7777,0,0.0
university |university |University,2014100615,8801,4,4.544938075218725E-4
university |university |University,2014100710,7431,6,8.074283407347598E-4
university |university |University,2014100906,3505,1,2.853067047075606E-4
university |university |University,2014100616,10833,5,4.615526631588664E-4
university |university |University,2014100711,13474,7,5.195190737717084E-4
university |university |University,2014100617,11523,7,6.074806907923284E-4
university |university |University,2014100900,3864,1,2.587991718426501E-4
university |university |University,2014100618,10834,5,4.6151006091932806E-4
university |university |University,2014100901,3052,2,6.55307994757536E-4
university |university |University,2014100619,10472,4,3.819709702062643E-4
university |university |University,2014100902,4916,0,0.0
university |university |University,2014100716,9756,6,6.150061500615006E-4
university |university |University,2014100800,3418,3,8.777062609713282E-4
university |university |University,2014100717,12018,3,2.4962556165751375E-4
university |university |University,2014100801,4912,0,0.0
university |university |University,2014100718,9824,5,5.08957654723127E-4
university |university |University,2014100802,4582,2,4.3649061545176777E-4
university |university |University,2014100719,8904,10,0.0011230907457322552
university |university |University,2014100803,4750,0,0.0
university |university |University,2014100712,10146,2,1.9712201852946975E-4
university |university |University,2014100804,8238,0,0.0
university |university |University,2014100610,8565,2,2.335084646818447E-4
university |university |University,2014100713,7382,4,5.41858574911948E-4
university |university |University,2014100805,6904,0,0.0
university |university |University,2014100611,8676,3,3.4578146611341634E-4
university |university |University,2014100714,9294,5,5.379814934366257E-4
university |university |University,2014100806,7696,0,0.0
university |university |University,2014100612,7761,3,3.8654812524159255E-4
university |university |University,2014100715,8494,6,7.063809748057452E-4
university |university |University,2014100807,6298,1,1.5878056525881233E-4
university |university |University,2014100519,13547,4,2.9526832509042594E-4
university |university |University,2014100809,5933,3,5.056463846283499E-4
university |university |University,2014100518,12589,1,7.943442688061006E-5
university |university |University,2014100808,7916,5,6.316321374431531E-4
university |university |University,2014100410,8297,4,4.821019645655056E-4
university |university |University,2014100412,8252,0,0.0
university |university |University,2014100515,6526,4,6.129328838492185E-4
university |university |University,2014100411,8736,2,2.2893772893772894E-4
university |university |University,2014100514,7337,3,4.088864658579801E-4
university |university |University,2014100414,8029,2,2.4909702329057166E-4
university |university |University,2014100517,16635,1,6.0114217012323416E-5
university |university |University,2014100413,7649,4,5.229441757092431E-4
university |university |University,2014100516,7164,3,4.187604690117253E-4
university |university |University,2014100416,8535,3,3.51493848857645E-4
university |university |University,2014100511,8203,0,0.0
university |university |University,2014100415,9288,4,4.306632213608958E-4
university |university |University,2014100510,7389,4,5.413452429286778E-4
university |university |University,2014100418,8794,3,3.411416875142142E-4
university |university |University,2014100513,8653,1,1.1556685542586386E-4
university |university |University,2014100417,9001,0,0.0
university |university |University,2014100512,7658,2,2.6116479498563595E-4
university |university |University,2014100908,14247,3,2.105706464518846E-4
university |university |University,2014100907,7751,4,5.160624435556702E-4
university |university |University,2014100419,8630,4,4.634994206257242E-4
university |university |University,2014100909,1000,0,0.0
university |university |University,2014100721,11447,1,8.73591333973967E-5
university |university |University,2014100722,8294,4,4.822763443453099E-4
university |university |University,2014100720,10198,2,1.9611688566385565E-4
university |university |University,2014100723,5300,0,0.0
university |university |University,2014100520,14801,1,6.756300249983109E-5
university |university |University,2014100523,12605,4,3.1733439111463705E-4
university |university |University,2014100522,10915,0,0.0
university |university |University,2014100521,14363,3,2.0887001322843416E-4
university |university |University,2014100623,8800,2,2.2727272727272727E-4
university |university |University,2014100622,9000,4,4.4444444444444447E-4
university |university |University,2014100621,9007,1,1.1102475852115021E-4
university |university |University,2014100620,8998,2,2.222716159146477E-4
university |university |University,2014093011,9741,4,4.106354583718304E-4
university |university |University,2014093012,11191,5,4.4678759717630236E-4
university |university |University,2014093013,5267,4,7.594456047085627E-4
university |university |University,2014093017,3899,4,0.0010259040779687098
university |university |University,2014093018,99,0,0.0
university |university |University,2014093019,8564,0,0.0
