trade |Trade |trade |trades,2014100708,5400,10,0.001851851851851852
trade |Trade |trade |trades,2014100814,6011,30,0.004990850108135086
trade |Trade |trade |trades,2014100705,2740,1,3.64963503649635E-4
trade |Trade |trade |trades,2014100811,6604,37,0.005602665051483949
trade |Trade |trade |trades,2014100706,3398,1,2.942907592701589E-4
trade |Trade |trade |trades,2014100812,5896,50,0.008480325644504749
trade |Trade |trade |trades,2014100817,6743,42,0.006228681595728904
trade |Trade |trade |trades,2014100600,15771,0,0.0
trade |Trade |trade |trades,2014100703,5792,1,1.7265193370165745E-4
trade |Trade |trade |trades,2014100818,7400,24,0.003243243243243243
trade |Trade |trade |trades,2014100601,8669,3,3.460606759718537E-4
trade |Trade |trade |trades,2014100704,3010,0,0.0
trade |Trade |trade |trades,2014100815,5628,28,0.004975124378109453
trade |Trade |trade |trades,2014100701,13455,0,0.0
trade |Trade |trade |trades,2014100816,7857,34,0.004327351406389207
trade |Trade |trade |trades,2014100702,8524,1,1.1731581417175035E-4
trade |Trade |trade |trades,2014100509,9287,9,9.690965866264671E-4
trade |Trade |trade |trades,2014100508,6498,0,0.0
trade |Trade |trade |trades,2014100819,4300,17,0.003953488372093023
trade |Trade |trade |trades,2014100507,16911,0,0.0
trade |Trade |trade |trades,2014100403,6749,0,0.0
trade |Trade |trade |trades,2014100506,11836,0,0.0
trade |Trade |trade |trades,2014100402,6613,1,1.5121729925903524E-4
trade |Trade |trade |trades,2014100505,6487,0,0.0
trade |Trade |trade |trades,2014100401,4570,1,2.188183807439825E-4
trade |Trade |trade |trades,2014100504,3861,0,0.0
trade |Trade |trade |trades,2014100400,5285,1,1.892147587511826E-4
trade |Trade |trade |trades,2014100503,4540,0,0.0
trade |Trade |trade |trades,2014100709,5572,25,0.004486719310839914
trade |Trade |trade |trades,2014100407,7111,2,2.812543945999156E-4
trade |Trade |trade |trades,2014100406,10763,2,1.85821796896776E-4
trade |Trade |trade |trades,2014100501,6148,0,0.0
trade |Trade |trade |trades,2014100405,10366,2,1.9293845263360988E-4
trade |Trade |trade |trades,2014100500,11540,1,8.665511265164645E-5
trade |Trade |trade |trades,2014100404,3086,0,0.0
trade |Trade |trade |trades,2014100409,9932,5,5.034232782923883E-4
trade |Trade |trade |trades,2014100408,10458,4,3.8248231019315357E-4
trade |Trade |trade |trades,2014100903,4141,1,2.414875633904854E-4
trade |Trade |trade |trades,2014100613,12260,48,0.003915171288743882
trade |Trade |trade |trades,2014100904,4854,1,2.0601565718994644E-4
trade |Trade |trade |trades,2014100614,10247,40,0.0039035815360593342
trade |Trade |trade |trades,2014100905,7777,0,0.0
trade |Trade |trade |trades,2014100615,8801,46,0.005226678786501534
trade |Trade |trade |trades,2014100710,7431,39,0.005248284214775939
trade |Trade |trade |trades,2014100906,3505,3,8.559201141226819E-4
trade |Trade |trade |trades,2014100616,10833,37,0.0034154897073756115
trade |Trade |trade |trades,2014100711,13474,22,0.001632774231853941
trade |Trade |trade |trades,2014100617,11523,35,0.003037403453961642
