group |group |Group |groups,2014100703,5792,105,0.018128453038674032
group |group |Group |groups,2014100818,7400,15,0.002027027027027027
group |group |Group |groups,2014100601,8669,2,2.3070711731456916E-4
group |group |Group |groups,2014100704,3010,77,0.02558139534883721
group |group |Group |groups,2014100815,5628,9,0.0015991471215351812
group |group |Group |groups,2014100701,13455,436,0.03240431066518023
group |group |Group |groups,2014100816,7857,18,0.002290950744558992
group |group |Group |groups,2014100702,8524,233,0.02733458470201783
group |group |Group |groups,2014100509,9287,11,0.001184451383654571
group |group |Group |groups,2014100508,6498,8,0.0012311480455524776
group |group |Group |groups,2014100819,4300,9,0.0020930232558139536
group |group |Group |groups,2014100507,16911,5,2.9566554313760273E-4
group |group |Group |groups,2014100403,6749,5,7.408504963698325E-4
group |group |Group |groups,2014100506,11836,2,1.6897600540723216E-4
group |group |Group |groups,2014100402,6613,2,3.0243459851807047E-4
group |group |Group |groups,2014100505,6487,0,0.0
group |group |Group |groups,2014100401,4570,6,0.001312910284463895
group |group |Group |groups,2014100504,3861,2,5.18000518000518E-4
group |group |Group |groups,2014100400,5285,3,5.676442762535478E-4
group |group |Group |groups,2014100503,4540,2,4.405286343612335E-4
group |group |Group |groups,2014100709,5572,50,0.008973438621679828
group |group |Group |groups,2014100407,7111,12,0.0016875263675994938
group |group |Group |groups,2014100406,10763,8,7.43287187587104E-4
group |group |Group |groups,2014100501,6148,6,9.759271307742355E-4
group |group |Group |groups,2014100405,10366,2,1.9293845263360988E-4
group |group |Group |groups,2014100500,11540,5,4.332755632582322E-4
group |group |Group |groups,2014100404,3086,2,6.480881399870382E-4
group |group |Group |groups,2014100409,9932,22,0.0022150624244865083
group |group |Group |groups,2014100408,10458,24,0.002294893861158921
group |group |Group |groups,2014100903,4141,6,0.0014489253803429123
group |group |Group |groups,2014100613,12260,12,9.787928221859706E-4
group |group |Group |groups,2014100904,4854,10,0.0020601565718994645
group |group |Group |groups,2014100614,10247,29,0.0028300966136430173
group |group |Group |groups,2014100905,7777,11,0.0014144271570014145
