officer |officers |Officers |officer,2014100814,6011,2,3.3272334054233906E-4
officer |officers |Officers |officer,2014100705,2740,0,0.0
officer |officers |Officers |officer,2014100811,6604,2,3.028467595396729E-4
officer |officers |Officers |officer,2014100706,3398,2,5.885815185403178E-4
officer |officers |Officers |officer,2014100812,5896,3,5.088195386702849E-4
officer |officers |Officers |officer,2014100817,6743,0,0.0
officer |officers |Officers |officer,2014100600,15771,2,1.268150402637753E-4
officer |officers |Officers |officer,2014100703,5792,0,0.0
officer |officers |Officers |officer,2014100818,7400,8,0.001081081081081081
officer |officers |Officers |officer,2014100601,8669,1,1.1535355865728458E-4
officer |officers |Officers |officer,2014100704,3010,1,3.322259136212625E-4
officer |officers |Officers |officer,2014100815,5628,5,8.884150675195451E-4
officer |officers |Officers |officer,2014100701,13455,0,0.0
officer |officers |Officers |officer,2014100816,7857,4,5.091001654575538E-4
officer |officers |Officers |officer,2014100702,8524,0,0.0
officer |officers |Officers |officer,2014100509,9287,1,1.076773985140519E-4
officer |officers |Officers |officer,2014100508,6498,2,3.077870113881194E-4
officer |officers |Officers |officer,2014100819,4300,1,2.3255813953488373E-4
officer |officers |Officers |officer,2014100507,16911,0,0.0
officer |officers |Officers |officer,2014100403,6749,1,1.481700992739665E-4
officer |officers |Officers |officer,2014100506,11836,0,0.0
officer |officers |Officers |officer,2014100402,6613,0,0.0
officer |officers |Officers |officer,2014100505,6487,1,1.5415446277169725E-4
officer |officers |Officers |officer,2014100401,4570,0,0.0
officer |officers |Officers |officer,2014100504,3861,1,2.59000259000259E-4
officer |officers |Officers |officer,2014100400,5285,1,1.892147587511826E-4
officer |officers |Officers |officer,2014100503,4540,0,0.0
officer |officers |Officers |officer,2014100709,5572,4,7.178750897343862E-4
officer |officers |Officers |officer,2014100407,7111,0,0.0
officer |officers |Officers |officer,2014100406,10763,0,0.0
officer |officers |Officers |officer,2014100501,6148,0,0.0
officer |officers |Officers |officer,2014100405,10366,0,0.0
officer |officers |Officers |officer,2014100500,11540,0,0.0
officer |officers |Officers |officer,2014100404,3086,0,0.0
officer |officers |Officers |officer,2014100409,9932,2,2.013693113169553E-4
officer |officers |Officers |officer,2014100408,10458,1,9.562057754828839E-5
officer |officers |Officers |officer,2014100903,4141,0,0.0
officer |officers |Officers |officer,2014100613,12260,8,6.525285481239804E-4
officer |officers |Officers |officer,2014100904,4854,0,0.0
officer |officers |Officers |officer,2014100614,10247,5,4.879476920074168E-4
officer |officers |Officers |officer,2014100905,7777,0,0.0
officer |officers |Officers |officer,2014100615,8801,4,4.544938075218725E-4
officer |officers |Officers |officer,2014100710,7431,2,2.6914278024491994E-4
officer |officers |Officers |officer,2014100906,3505,1,2.853067047075606E-4
officer |officers |Officers |officer,2014100616,10833,4,3.6924213052709313E-4
officer |officers |Officers |officer,2014100711,13474,2,1.4843402107763098E-4
officer |officers |Officers |officer,2014100617,11523,5,4.339147791373774E-4
officer |officers |Officers |officer,2014100900,3864,0,0.0
officer |officers |Officers |officer,2014100618,10834,1,9.230201218386561E-5
officer |officers |Officers |officer,2014100901,3052,1,3.27653997378768E-4
officer |officers |Officers |officer,2014100619,10472,0,0.0
officer |officers |Officers |officer,2014100902,4916,0,0.0
officer |officers |Officers |officer,2014100716,9756,2,2.050020500205002E-4
officer |officers |Officers |officer,2014100800,3418,1,2.925687536571094E-4
officer |officers |Officers |officer,2014100717,12018,2,1.6641704110500916E-4
officer |officers |Officers |officer,2014100801,4912,0,0.0
officer |officers |Officers |officer,2014100718,9824,1,1.0179153094462541E-4
officer |officers |Officers |officer,2014100802,4582,0,0.0
officer |officers |Officers |officer,2014100719,8904,1,1.1230907457322552E-4
officer |officers |Officers |officer,2014100803,4750,3,6.315789473684211E-4
officer |officers |Officers |officer,2014100712,10146,1,9.856100926473487E-5
officer |officers |Officers |officer,2014100804,8238,1,1.2138868657441127E-4
officer |officers |Officers |officer,2014100610,8565,2,2.335084646818447E-4
officer |officers |Officers |officer,2014100713,7382,0,0.0
officer |officers |Officers |officer,2014100805,6904,0,0.0
officer |officers |Officers |officer,2014100611,8676,1,1.152604887044721E-4
officer |officers |Officers |officer,2014100714,9294,3,3.2278889606197545E-4
officer |officers |Officers |officer,2014100806,7696,0,0.0
officer |officers |Officers |officer,2014100612,7761,1,1.2884937508053087E-4
officer |officers |Officers |officer,2014100715,8494,1,1.177301624676242E-4
officer |officers |Officers |officer,2014100807,6298,1,1.5878056525881233E-4
officer |officers |Officers |officer,2014100519,13547,1,7.381708127260648E-5
officer |officers |Officers |officer,2014100809,5933,1,1.6854879487611664E-4
officer |officers |Officers |officer,2014100518,12589,0,0.0
officer |officers |Officers |officer,2014100808,7916,0,0.0
officer |officers |Officers |officer,2014100410,8297,1,1.205254911413764E-4
officer |officers |Officers |officer,2014100412,8252,1,1.211827435773146E-4
officer |officers |Officers |officer,2014100515,6526,1,1.5323322096230462E-4
officer |officers |Officers |officer,2014100411,8736,2,2.2893772893772894E-4
officer |officers |Officers |officer,2014100514,7337,1,1.362954886193267E-4
officer |officers |Officers |officer,2014100414,8029,4,4.981940465811433E-4
officer |officers |Officers |officer,2014100517,16635,0,0.0
officer |officers |Officers |officer,2014100413,7649,2,2.6147208785462153E-4
officer |officers |Officers |officer,2014100516,7164,1,1.3958682300390843E-4
officer |officers |Officers |officer,2014100416,8535,3,3.51493848857645E-4
officer |officers |Officers |officer,2014100511,8203,0,0.0
officer |officers |Officers |officer,2014100415,9288,0,0.0
officer |officers |Officers |officer,2014100510,7389,0,0.0
officer |officers |Officers |officer,2014100418,8794,0,0.0
officer |officers |Officers |officer,2014100513,8653,0,0.0
officer |officers |Officers |officer,2014100417,9001,2,2.2219753360737697E-4
officer |officers |Officers |officer,2014100512,7658,0,0.0
officer |officers |Officers |officer,2014100908,14247,0,0.0
officer |officers |Officers |officer,2014100907,7751,0,0.0
officer |officers |Officers |officer,2014100419,8630,1,1.1587485515643106E-4
officer |officers |Officers |officer,2014100909,1000,0,0.0
officer |officers |Officers |officer,2014100721,11447,1,8.73591333973967E-5
officer |officers |Officers |officer,2014100722,8294,0,0.0
officer |officers |Officers |officer,2014100720,10198,1,9.805844283192783E-5
officer |officers |Officers |officer,2014100723,5300,0,0.0
officer |officers |Officers |officer,2014100520,14801,8,5.405040199986487E-4
officer |officers |Officers |officer,2014100523,12605,2,1.5866719555731853E-4
officer |officers |Officers |officer,2014100522,10915,1,9.161704076958314E-5
officer |officers |Officers |officer,2014100521,14363,3,2.0887001322843416E-4
officer |officers |Officers |officer,2014100623,8800,1,1.1363636363636364E-4
officer |officers |Officers |officer,2014100622,9000,0,0.0
officer |officers |Officers |officer,2014100621,9007,1,1.1102475852115021E-4
officer |officers |Officers |officer,2014100620,8998,6,6.668148477439431E-4
officer |officers |Officers |officer,2014093011,9741,15,0.001539882968894364
officer |officers |Officers |officer,2014093012,11191,5,4.4678759717630236E-4
officer |officers |Officers |officer,2014093013,5267,4,7.594456047085627E-4
officer |officers |Officers |officer,2014093017,3899,2,5.129520389843549E-4
officer |officers |Officers |officer,2014093018,99,0,0.0
officer |officers |Officers |officer,2014093019,8564,0,0.0
