budget |budget,2014100407,7111,0,0.0
budget |budget,2014100406,10763,0,0.0
budget |budget,2014100501,6148,0,0.0
budget |budget,2014100405,10366,0,0.0
budget |budget,2014100500,11540,0,0.0
budget |budget,2014100404,3086,0,0.0
budget |budget,2014100409,9932,8,8.054772452678212E-4
budget |budget,2014100408,10458,6,5.737234652897303E-4
budget |budget,2014100903,4141,2,4.829751267809708E-4
budget |budget,2014100613,12260,3,2.4469820554649265E-4
budget |budget,2014100904,4854,0,0.0
budget |budget,2014100614,10247,0,0.0
budget |budget,2014100905,7777,0,0.0
budget |budget,2014100615,8801,4,4.544938075218725E-4
budget |budget,2014100710,7431,5,6.728569506122998E-4
budget |budget,2014100906,3505,1,2.853067047075606E-4
budget |budget,2014100616,10833,5,4.615526631588664E-4
budget |budget,2014100711,13474,6,4.45302063232893E-4
budget |budget,2014100617,11523,2,1.7356591165495098E-4
budget |budget,2014100900,3864,2,5.175983436853002E-4
budget |budget,2014100618,10834,2,1.8460402436773122E-4
budget |budget,2014100901,3052,2,6.55307994757536E-4
budget |budget,2014100619,10472,1,9.549274255156608E-5
budget |budget,2014100902,4916,2,4.068348250610252E-4
budget |budget,2014100716,9756,18,0.0018450184501845018
budget |budget,2014100800,3418,3,8.777062609713282E-4
budget |budget,2014100717,12018,21,0.001747378931602596
budget |budget,2014100801,4912,1,2.0358306188925082E-4
budget |budget,2014100718,9824,12,0.0012214983713355048
budget |budget,2014100802,4582,2,4.3649061545176777E-4
budget |budget,2014100719,8904,12,0.0013477088948787063
budget |budget,2014100803,4750,0,0.0
budget |budget,2014100712,10146,7,6.899270648531441E-4
budget |budget,2014100804,8238,1,1.2138868657441127E-4
budget |budget,2014100610,8565,5,5.837711617046118E-4
budget |budget,2014100713,7382,5,6.77323218639935E-4
budget |budget,2014100805,6904,0,0.0
budget |budget,2014100611,8676,6,6.915629322268327E-4
budget |budget,2014100714,9294,6,6.455777921239509E-4
budget |budget,2014100806,7696,1,1.2993762993762994E-4
budget |budget,2014100612,7761,2,2.5769875016106174E-4
budget |budget,2014100715,8494,21,0.002472333411820108
budget |budget,2014100807,6298,2,3.1756113051762465E-4
budget |budget,2014100519,13547,1,7.381708127260648E-5
budget |budget,2014100809,5933,2,3.370975897522333E-4
budget |budget,2014100518,12589,3,2.3830328064183018E-4
budget |budget,2014100808,7916,5,6.316321374431531E-4
budget |budget,2014100410,8297,2,2.410509822827528E-4
budget |budget,2014100412,8252,4,4.847309743092584E-4
budget |budget,2014100515,6526,1,1.5323322096230462E-4
budget |budget,2014100411,8736,7,8.012820512820513E-4
budget |budget,2014100514,7337,7,9.54068420335287E-4
budget |budget,2014100414,8029,1,1.2454851164528583E-4
budget |budget,2014100517,16635,1,6.0114217012323416E-5
budget |budget,2014100413,7649,2,2.6147208785462153E-4
budget |budget,2014100516,7164,1,1.3958682300390843E-4
budget |budget,2014100416,8535,1,1.1716461628588167E-4
budget |budget,2014100511,8203,4,4.876264781177618E-4
budget |budget,2014100415,9288,3,3.2299741602067185E-4
budget |budget,2014100510,7389,9,0.001218026796589525
budget |budget,2014100418,8794,2,2.2742779167614282E-4
budget |budget,2014100513,8653,1,1.1556685542586386E-4
budget |budget,2014100417,9001,2,2.2219753360737697E-4
budget |budget,2014100512,7658,1,1.3058239749281798E-4
budget |budget,2014100908,14247,4,2.807608619358461E-4
budget |budget,2014100907,7751,3,3.8704683266675265E-4
budget |budget,2014100419,8630,3,3.476245654692932E-4
budget |budget,2014100909,1000,2,0.002
budget |budget,2014100721,11447,0,0.0
budget |budget,2014100722,8294,6,7.234145165179648E-4
budget |budget,2014100720,10198,6,5.88350656991567E-4
budget |budget,2014100723,5300,2,3.773584905660377E-4
budget |budget,2014100520,14801,6,4.0537801499898656E-4
budget |budget,2014100523,12605,2,1.5866719555731853E-4
budget |budget,2014100522,10915,1,9.161704076958314E-5
budget |budget,2014100521,14363,9,6.266100396853026E-4
budget |budget,2014100623,8800,4,4.5454545454545455E-4
budget |budget,2014100622,9000,9,0.001
budget |budget,2014100621,9007,0,0.0
budget |budget,2014100620,8998,5,5.556790397866192E-4
budget |budget,2014093011,9741,5,5.13294322964788E-4
budget |budget,2014093012,11191,11,9.829327137878653E-4
budget |budget,2014093013,5267,3,5.69584203531422E-4
budget |budget,2014093017,3899,7,0.0017953321364452424
budget |budget,2014093018,99,0,0.0
budget |budget,2014093019,8564,5,5.838393274170948E-4
