worker |Workers |workers,2014100223,8580,0,0.0
worker |Workers |workers,2014100601,8669,1,1.1535355865728458E-4
worker |Workers |workers,2014100704,3010,1,3.322259136212625E-4
worker |Workers |workers,2014100815,5628,17,0.0030206112295664534
worker |Workers |workers,2014100701,13455,3,2.229654403567447E-4
worker |Workers |workers,2014100816,7857,4,5.091001654575538E-4
worker |Workers |workers,2014100702,8524,0,0.0
worker |Workers |workers,2014100509,9287,15,0.0016151609777107785
worker |Workers |workers,2014100508,6498,10,0.0015389350569405972
worker |Workers |workers,2014100819,4300,2,4.6511627906976747E-4
worker |Workers |workers,2014100507,16911,0,0.0
worker |Workers |workers,2014100403,6749,0,0.0
worker |Workers |workers,2014100506,11836,2,1.6897600540723216E-4
worker |Workers |workers,2014100402,6613,1,1.5121729925903524E-4
worker |Workers |workers,2014100505,6487,1,1.5415446277169725E-4
worker |Workers |workers,2014100401,4570,0,0.0
worker |Workers |workers,2014100504,3861,3,7.77000777000777E-4
worker |Workers |workers,2014100400,5285,5,9.46073793755913E-4
worker |Workers |workers,2014100503,4540,1,2.2026431718061675E-4
worker |Workers |workers,2014100709,5572,8,0.0014357501794687725
worker |Workers |workers,2014100407,7111,18,0.0025312895513992404
worker |Workers |workers,2014100406,10763,4,3.71643593793552E-4
worker |Workers |workers,2014100501,6148,2,3.2530904359141186E-4
worker |Workers |workers,2014100405,10366,4,3.8587690526721975E-4
worker |Workers |workers,2014100500,11540,2,1.733102253032929E-4
worker |Workers |workers,2014100404,3086,4,0.0012961762799740765
worker |Workers |workers,2014100409,9932,7,7.047925896093435E-4
worker |Workers |workers,2014100408,10458,15,0.001434308663224326
worker |Workers |workers,2014100903,4141,0,0.0
worker |Workers |workers,2014100613,12260,11,8.972267536704731E-4
worker |Workers |workers,2014100904,4854,1,2.0601565718994644E-4
worker |Workers |workers,2014100614,10247,6,5.855372304089002E-4
worker |Workers |workers,2014100905,7777,1,1.2858428700012858E-4
worker |Workers |workers,2014100615,8801,11,0.0012498579706851495
worker |Workers |workers,2014100710,7431,28,0.003767998923428879
worker |Workers |workers,2014100906,3505,2,5.706134094151213E-4
worker |Workers |workers,2014100616,10833,4,3.6924213052709313E-4
worker |Workers |workers,2014100711,13474,23,0.0017069912423927564
worker |Workers |workers,2014100617,11523,15,0.0013017443374121322
worker |Workers |workers,2014100900,3864,4,0.0010351966873706005
worker |Workers |workers,2014100618,10834,15,0.0013845301827579842
worker |Workers |workers,2014100901,3052,2,6.55307994757536E-4
worker |Workers |workers,2014100619,10472,5,4.774637127578304E-4
worker |Workers |workers,2014100902,4916,0,0.0
worker |Workers |workers,2014100716,9756,20,0.002050020500205002
worker |Workers |workers,2014100800,3418,0,0.0
worker |Workers |workers,2014100717,12018,11,9.152937260775504E-4
worker |Workers |workers,2014100801,4912,0,0.0
worker |Workers |workers,2014100718,9824,8,8.143322475570033E-4
worker |Workers |workers,2014100802,4582,0,0.0
worker |Workers |workers,2014100719,8904,9,0.0010107816711590297
worker |Workers |workers,2014100803,4750,2,4.210526315789474E-4
worker |Workers |workers,2014100712,10146,6,5.913660555884093E-4
worker |Workers |workers,2014100804,8238,0,0.0
worker |Workers |workers,2014100610,8565,2,2.335084646818447E-4
worker |Workers |workers,2014100713,7382,3,4.06393931183961E-4
worker |Workers |workers,2014100805,6904,1,1.4484356894553882E-4
worker |Workers |workers,2014100611,8676,3,3.4578146611341634E-4
worker |Workers |workers,2014100714,9294,9,9.683666881859264E-4
worker |Workers |workers,2014100806,7696,2,2.598752598752599E-4
worker |Workers |workers,2014100612,7761,2,2.5769875016106174E-4
worker |Workers |workers,2014100715,8494,3,3.531904874028726E-4
worker |Workers |workers,2014100807,6298,3,4.76341695776437E-4
worker |Workers |workers,2014100519,13547,3,2.2145124381781945E-4
worker |Workers |workers,2014100809,5933,21,0.0035395246923984494
worker |Workers |workers,2014100518,12589,5,3.9717213440305027E-4
worker |Workers |workers,2014100808,7916,27,0.003410813542193027
worker |Workers |workers,2014100410,8297,30,0.003615764734241292
worker |Workers |workers,2014100412,8252,9,0.0010906446921958312
worker |Workers |workers,2014100515,6526,2,3.0646644192460924E-4
worker |Workers |workers,2014100411,8736,17,0.001945970695970696
worker |Workers |workers,2014100514,7337,2,2.725909772386534E-4
worker |Workers |workers,2014100414,8029,3,3.736455349358575E-4
worker |Workers |workers,2014100517,16635,3,1.8034265103697024E-4
worker |Workers |workers,2014100413,7649,5,6.536802196365538E-4
worker |Workers |workers,2014100516,7164,2,2.7917364600781687E-4
worker |Workers |workers,2014100416,8535,6,7.0298769771529E-4
worker |Workers |workers,2014100511,8203,1,1.2190661952944045E-4
worker |Workers |workers,2014100415,9288,7,7.536606373815676E-4
worker |Workers |workers,2014100510,7389,14,0.0018947083502503723
worker |Workers |workers,2014100418,8794,9,0.0010234250625426426
worker |Workers |workers,2014100513,8653,5,5.778342771293193E-4
worker |Workers |workers,2014100417,9001,8,8.887901344295079E-4
worker |Workers |workers,2014100512,7658,3,3.917471924784539E-4
worker |Workers |workers,2014100908,14247,3,2.105706464518846E-4
worker |Workers |workers,2014100907,7751,5,6.450780544445878E-4
worker |Workers |workers,2014100419,8630,13,0.0015063731170336038
worker |Workers |workers,2014100909,1000,2,0.002
worker |Workers |workers,2014100721,11447,3,2.620774001921901E-4
worker |Workers |workers,2014100722,8294,1,1.2056908608632747E-4
worker |Workers |workers,2014100720,10198,6,5.88350656991567E-4
worker |Workers |workers,2014100723,5300,3,5.660377358490566E-4
worker |Workers |workers,2014100520,14801,2,1.3512600499966218E-4
worker |Workers |workers,2014100523,12605,2,1.5866719555731853E-4
worker |Workers |workers,2014100522,10915,3,2.7485112230874945E-4
worker |Workers |workers,2014100521,14363,3,2.0887001322843416E-4
worker |Workers |workers,2014100623,8800,1,1.1363636363636364E-4
worker |Workers |workers,2014100622,9000,8,8.888888888888889E-4
worker |Workers |workers,2014100621,9007,1,1.1102475852115021E-4
worker |Workers |workers,2014100620,8998,5,5.556790397866192E-4
worker |Workers |workers,2014093011,9741,11,0.0011292475105225336
worker |Workers |workers,2014093012,11191,14,0.0012510052720936468
worker |Workers |workers,2014093013,5267,1,1.8986140117714068E-4
worker |Workers |workers,2014093017,3899,1,2.5647601949217746E-4
worker |Workers |workers,2014093018,99,0,0.0
worker |Workers |workers,2014093019,8564,9,0.0010509107893507707
