syria |Syria,2014100904,4854,0,0.0
syria |Syria,2014100614,10247,0,0.0
syria |Syria,2014100905,7777,1,1.2858428700012858E-4
syria |Syria,2014100615,8801,3,3.408703556414044E-4
syria |Syria,2014100710,7431,1,1.3457139012245997E-4
syria |Syria,2014100906,3505,0,0.0
syria |Syria,2014100616,10833,0,0.0
syria |Syria,2014100711,13474,1,7.421701053881549E-5
syria |Syria,2014100617,11523,0,0.0
syria |Syria,2014100900,3864,0,0.0
syria |Syria,2014100618,10834,0,0.0
syria |Syria,2014100901,3052,0,0.0
syria |Syria,2014100619,10472,1,9.549274255156608E-5
syria |Syria,2014100902,4916,0,0.0
syria |Syria,2014100716,9756,0,0.0
syria |Syria,2014100800,3418,0,0.0
syria |Syria,2014100717,12018,1,8.320852055250458E-5
syria |Syria,2014100801,4912,0,0.0
syria |Syria,2014100718,9824,2,2.0358306188925082E-4
syria |Syria,2014100802,4582,0,0.0
syria |Syria,2014100719,8904,4,4.492362982929021E-4
syria |Syria,2014100803,4750,0,0.0
syria |Syria,2014100712,10146,0,0.0
syria |Syria,2014100804,8238,0,0.0
syria |Syria,2014100610,8565,0,0.0
syria |Syria,2014100713,7382,0,0.0
syria |Syria,2014100805,6904,0,0.0
syria |Syria,2014100611,8676,3,3.4578146611341634E-4
syria |Syria,2014100714,9294,0,0.0
syria |Syria,2014100806,7696,0,0.0
syria |Syria,2014100612,7761,1,1.2884937508053087E-4
syria |Syria,2014100715,8494,0,0.0
syria |Syria,2014100807,6298,1,1.5878056525881233E-4
syria |Syria,2014100519,13547,2,1.4763416254521297E-4
syria |Syria,2014100809,5933,2,3.370975897522333E-4
syria |Syria,2014100518,12589,0,0.0
syria |Syria,2014100808,7916,1,1.2632642748863063E-4
syria |Syria,2014100410,8297,0,0.0
syria |Syria,2014100412,8252,0,0.0
syria |Syria,2014100515,6526,1,1.5323322096230462E-4
syria |Syria,2014100411,8736,2,2.2893772893772894E-4
syria |Syria,2014100514,7337,0,0.0
syria |Syria,2014100414,8029,0,0.0
syria |Syria,2014100517,16635,1,6.0114217012323416E-5
syria |Syria,2014100413,7649,0,0.0
syria |Syria,2014100516,7164,0,0.0
syria |Syria,2014100416,8535,1,1.1716461628588167E-4
syria |Syria,2014100511,8203,1,1.2190661952944045E-4
syria |Syria,2014100415,9288,2,2.153316106804479E-4
syria |Syria,2014100510,7389,2,2.706726214643389E-4
syria |Syria,2014100418,8794,3,3.411416875142142E-4
syria |Syria,2014100513,8653,0,0.0
syria |Syria,2014100417,9001,1,1.1109876680368848E-4
syria |Syria,2014100512,7658,0,0.0
syria |Syria,2014100908,14247,1,7.019021548396153E-5
syria |Syria,2014100907,7751,0,0.0
syria |Syria,2014100419,8630,1,1.1587485515643106E-4
syria |Syria,2014100909,1000,0,0.0
syria |Syria,2014100721,11447,0,0.0
syria |Syria,2014100722,8294,0,0.0
syria |Syria,2014100720,10198,5,4.902922141596392E-4
syria |Syria,2014100723,5300,0,0.0
syria |Syria,2014100520,14801,1,6.756300249983109E-5
syria |Syria,2014100523,12605,0,0.0
syria |Syria,2014100522,10915,3,2.7485112230874945E-4
syria |Syria,2014100521,14363,5,3.4811668871405696E-4
syria |Syria,2014100623,8800,0,0.0
syria |Syria,2014100622,9000,0,0.0
syria |Syria,2014100621,9007,0,0.0
syria |Syria,2014100620,8998,0,0.0
syria |Syria,2014093011,9741,22,0.0022584950210450673
syria |Syria,2014093012,11191,13,0.0011616477526583862
syria |Syria,2014093013,5267,1,1.8986140117714068E-4
syria |Syria,2014093017,3899,0,0.0
syria |Syria,2014093018,99,0,0.0
syria |Syria,2014093019,8564,2,2.3353573096683791E-4
