shark |shark |sharks,2014100702,8524,0,0.0
shark |shark |sharks,2014100509,9287,0,0.0
shark |shark |sharks,2014100508,6498,0,0.0
shark |shark |sharks,2014100819,4300,2,4.6511627906976747E-4
shark |shark |sharks,2014100507,16911,0,0.0
shark |shark |sharks,2014100403,6749,1,1.481700992739665E-4
shark |shark |sharks,2014100506,11836,0,0.0
shark |shark |sharks,2014100402,6613,0,0.0
shark |shark |sharks,2014100505,6487,1,1.5415446277169725E-4
shark |shark |sharks,2014100401,4570,1,2.188183807439825E-4
shark |shark |sharks,2014100504,3861,1,2.59000259000259E-4
shark |shark |sharks,2014100400,5285,1,1.892147587511826E-4
shark |shark |sharks,2014100503,4540,1,2.2026431718061675E-4
shark |shark |sharks,2014100709,5572,0,0.0
shark |shark |sharks,2014100407,7111,0,0.0
shark |shark |sharks,2014100406,10763,1,9.2910898448388E-5
shark |shark |sharks,2014100501,6148,1,1.6265452179570593E-4
shark |shark |sharks,2014100405,10366,0,0.0
shark |shark |sharks,2014100500,11540,0,0.0
shark |shark |sharks,2014100404,3086,0,0.0
shark |shark |sharks,2014100409,9932,0,0.0
shark |shark |sharks,2014100408,10458,1,9.562057754828839E-5
shark |shark |sharks,2014100903,4141,0,0.0
shark |shark |sharks,2014100613,12260,1,8.156606851549755E-5
shark |shark |sharks,2014100904,4854,0,0.0
shark |shark |sharks,2014100614,10247,0,0.0
shark |shark |sharks,2014100905,7777,0,0.0
shark |shark |sharks,2014100615,8801,0,0.0
shark |shark |sharks,2014100710,7431,2,2.6914278024491994E-4
shark |shark |sharks,2014100906,3505,2,5.706134094151213E-4
shark |shark |sharks,2014100616,10833,2,1.8462106526354657E-4
shark |shark |sharks,2014100711,13474,0,0.0
shark |shark |sharks,2014100617,11523,10,8.678295582747548E-4
shark |shark |sharks,2014100900,3864,1,2.587991718426501E-4
shark |shark |sharks,2014100618,10834,5,4.6151006091932806E-4
shark |shark |sharks,2014100901,3052,0,0.0
shark |shark |sharks,2014100619,10472,0,0.0
shark |shark |sharks,2014100902,4916,0,0.0
shark |shark |sharks,2014100716,9756,1,1.025010250102501E-4
shark |shark |sharks,2014100800,3418,0,0.0
shark |shark |sharks,2014100717,12018,2,1.6641704110500916E-4
shark |shark |sharks,2014100801,4912,0,0.0
shark |shark |sharks,2014100718,9824,6,6.107491856677524E-4
shark |shark |sharks,2014100802,4582,0,0.0
shark |shark |sharks,2014100719,8904,1,1.1230907457322552E-4
shark |shark |sharks,2014100803,4750,0,0.0
shark |shark |sharks,2014100712,10146,2,1.9712201852946975E-4
shark |shark |sharks,2014100804,8238,0,0.0
shark |shark |sharks,2014100610,8565,0,0.0
shark |shark |sharks,2014100713,7382,2,2.70929287455974E-4
shark |shark |sharks,2014100805,6904,0,0.0
shark |shark |sharks,2014100611,8676,1,1.152604887044721E-4
shark |shark |sharks,2014100714,9294,1,1.0759629868732516E-4
shark |shark |sharks,2014100806,7696,0,0.0
shark |shark |sharks,2014100612,7761,0,0.0
shark |shark |sharks,2014100715,8494,3,3.531904874028726E-4
shark |shark |sharks,2014100807,6298,0,0.0
shark |shark |sharks,2014100519,13547,2,1.4763416254521297E-4
shark |shark |sharks,2014100809,5933,0,0.0
shark |shark |sharks,2014100518,12589,2,1.588688537612201E-4
shark |shark |sharks,2014100808,7916,1,1.2632642748863063E-4
shark |shark |sharks,2014100410,8297,8,9.642039291310112E-4
shark |shark |sharks,2014100412,8252,1,1.211827435773146E-4
shark |shark |sharks,2014100515,6526,1,1.5323322096230462E-4
shark |shark |sharks,2014100411,8736,0,0.0
shark |shark |sharks,2014100514,7337,3,4.088864658579801E-4
shark |shark |sharks,2014100414,8029,2,2.4909702329057166E-4
shark |shark |sharks,2014100517,16635,0,0.0
shark |shark |sharks,2014100413,7649,5,6.536802196365538E-4
shark |shark |sharks,2014100516,7164,2,2.7917364600781687E-4
shark |shark |sharks,2014100416,8535,4,4.6865846514352667E-4
shark |shark |sharks,2014100511,8203,7,8.533463367060831E-4
shark |shark |sharks,2014100415,9288,1,1.0766580534022394E-4
shark |shark |sharks,2014100510,7389,4,5.413452429286778E-4
shark |shark |sharks,2014100418,8794,5,5.685694791903571E-4
shark |shark |sharks,2014100513,8653,0,0.0
shark |shark |sharks,2014100417,9001,3,3.3329630041106545E-4
shark |shark |sharks,2014100512,7658,3,3.917471924784539E-4
shark |shark |sharks,2014100908,14247,0,0.0
shark |shark |sharks,2014100907,7751,2,2.580312217778351E-4
shark |shark |sharks,2014100419,8630,0,0.0
shark |shark |sharks,2014100909,1000,0,0.0
shark |shark |sharks,2014100721,11447,5,4.367956669869835E-4
shark |shark |sharks,2014100722,8294,4,4.822763443453099E-4
shark |shark |sharks,2014100720,10198,4,3.922337713277113E-4
shark |shark |sharks,2014100723,5300,1,1.8867924528301886E-4
shark |shark |sharks,2014100520,14801,1,6.756300249983109E-5
shark |shark |sharks,2014100523,12605,2,1.5866719555731853E-4
shark |shark |sharks,2014100522,10915,0,0.0
shark |shark |sharks,2014100521,14363,2,1.3924667548562277E-4
shark |shark |sharks,2014100623,8800,5,5.681818181818182E-4
shark |shark |sharks,2014100622,9000,6,6.666666666666666E-4
shark |shark |sharks,2014100621,9007,0,0.0
shark |shark |sharks,2014100620,8998,3,3.3340742387197157E-4
shark |shark |sharks,2014093011,9741,0,0.0
shark |shark |sharks,2014093012,11191,0,0.0
shark |shark |sharks,2014093013,5267,0,0.0
shark |shark |sharks,2014093017,3899,0,0.0
shark |shark |sharks,2014093018,99,0,0.0
shark |shark |sharks,2014093019,8564,1,1.1676786548341896E-4
