islamic state |Islamic State,2014100702,8524,1,1.1731581417175035E-4
islamic state |Islamic State,2014100509,9287,0,0.0
islamic state |Islamic State,2014100508,6498,0,0.0
islamic state |Islamic State,2014100819,4300,0,0.0
islamic state |Islamic State,2014100507,16911,0,0.0
islamic state |Islamic State,2014100403,6749,0,0.0
islamic state |Islamic State,2014100506,11836,0,0.0
islamic state |Islamic State,2014100402,6613,0,0.0
islamic state |Islamic State,2014100505,6487,0,0.0
islamic state |Islamic State,2014100401,4570,0,0.0
islamic state |Islamic State,2014100504,3861,0,0.0
islamic state |Islamic State,2014100400,5285,2,3.784295175023652E-4
islamic state |Islamic State,2014100503,4540,0,0.0
islamic state |Islamic State,2014100709,5572,2,3.589375448671931E-4
islamic state |Islamic State,2014100407,7111,6,8.437631837997469E-4
islamic state |Islamic State,2014100406,10763,5,4.6455449224193997E-4
islamic state |Islamic State,2014100501,6148,0,0.0
islamic state |Islamic State,2014100405,10366,0,0.0
islamic state |Islamic State,2014100500,11540,0,0.0
islamic state |Islamic State,2014100404,3086,0,0.0
islamic state |Islamic State,2014100409,9932,0,0.0
islamic state |Islamic State,2014100408,10458,4,3.8248231019315357E-4
islamic state |Islamic State,2014100903,4141,1,2.414875633904854E-4
islamic state |Islamic State,2014100613,12260,0,0.0
islamic state |Islamic State,2014100904,4854,0,0.0
islamic state |Islamic State,2014100614,10247,1,9.758953840148337E-5
islamic state |Islamic State,2014100905,7777,1,1.2858428700012858E-4
islamic state |Islamic State,2014100615,8801,3,3.408703556414044E-4
islamic state |Islamic State,2014100710,7431,1,1.3457139012245997E-4
islamic state |Islamic State,2014100906,3505,2,5.706134094151213E-4
islamic state |Islamic State,2014100616,10833,1,9.231053263177328E-5
islamic state |Islamic State,2014100711,13474,1,7.421701053881549E-5
islamic state |Islamic State,2014100617,11523,0,0.0
islamic state |Islamic State,2014100900,3864,0,0.0
islamic state |Islamic State,2014100618,10834,0,0.0
islamic state |Islamic State,2014100901,3052,0,0.0
islamic state |Islamic State,2014100619,10472,0,0.0
islamic state |Islamic State,2014100902,4916,0,0.0
islamic state |Islamic State,2014100716,9756,6,6.150061500615006E-4
islamic state |Islamic State,2014100800,3418,0,0.0
islamic state |Islamic State,2014100717,12018,0,0.0
islamic state |Islamic State,2014100801,4912,0,0.0
islamic state |Islamic State,2014100718,9824,3,3.053745928338762E-4
islamic state |Islamic State,2014100802,4582,0,0.0
islamic state |Islamic State,2014100719,8904,1,1.1230907457322552E-4
islamic state |Islamic State,2014100803,4750,1,2.105263157894737E-4
islamic state |Islamic State,2014100712,10146,1,9.856100926473487E-5
islamic state |Islamic State,2014100804,8238,0,0.0
islamic state |Islamic State,2014100610,8565,1,1.1675423234092235E-4
islamic state |Islamic State,2014100713,7382,5,6.77323218639935E-4
islamic state |Islamic State,2014100805,6904,0,0.0
islamic state |Islamic State,2014100611,8676,4,4.610419548178884E-4
islamic state |Islamic State,2014100714,9294,1,1.0759629868732516E-4
islamic state |Islamic State,2014100806,7696,0,0.0
islamic state |Islamic State,2014100612,7761,1,1.2884937508053087E-4
islamic state |Islamic State,2014100715,8494,12,0.0014127619496114904
islamic state |Islamic State,2014100807,6298,0,0.0
islamic state |Islamic State,2014100519,13547,1,7.381708127260648E-5
islamic state |Islamic State,2014100809,5933,1,1.6854879487611664E-4
islamic state |Islamic State,2014100518,12589,0,0.0
islamic state |Islamic State,2014100808,7916,0,0.0
islamic state |Islamic State,2014100410,8297,1,1.205254911413764E-4
islamic state |Islamic State,2014100412,8252,1,1.211827435773146E-4
islamic state |Islamic State,2014100515,6526,0,0.0
islamic state |Islamic State,2014100411,8736,1,1.1446886446886447E-4
islamic state |Islamic State,2014100514,7337,0,0.0
islamic state |Islamic State,2014100414,8029,0,0.0
islamic state |Islamic State,2014100517,16635,0,0.0
islamic state |Islamic State,2014100413,7649,0,0.0
islamic state |Islamic State,2014100516,7164,2,2.7917364600781687E-4
islamic state |Islamic State,2014100416,8535,1,1.1716461628588167E-4
islamic state |Islamic State,2014100511,8203,2,2.438132390588809E-4
islamic state |Islamic State,2014100415,9288,1,1.0766580534022394E-4
islamic state |Islamic State,2014100510,7389,2,2.706726214643389E-4
islamic state |Islamic State,2014100418,8794,0,0.0
islamic state |Islamic State,2014100513,8653,1,1.1556685542586386E-4
islamic state |Islamic State,2014100417,9001,0,0.0
islamic state |Islamic State,2014100512,7658,1,1.3058239749281798E-4
islamic state |Islamic State,2014100908,14247,0,0.0
islamic state |Islamic State,2014100907,7751,0,0.0
islamic state |Islamic State,2014100419,8630,1,1.1587485515643106E-4
islamic state |Islamic State,2014100909,1000,0,0.0
islamic state |Islamic State,2014100721,11447,1,8.73591333973967E-5
islamic state |Islamic State,2014100722,8294,0,0.0
islamic state |Islamic State,2014100720,10198,1,9.805844283192783E-5
islamic state |Islamic State,2014100723,5300,0,0.0
islamic state |Islamic State,2014100520,14801,0,0.0
islamic state |Islamic State,2014100523,12605,0,0.0
islamic state |Islamic State,2014100522,10915,1,9.161704076958314E-5
islamic state |Islamic State,2014100521,14363,0,0.0
islamic state |Islamic State,2014100623,8800,0,0.0
islamic state |Islamic State,2014100622,9000,1,1.1111111111111112E-4
islamic state |Islamic State,2014100621,9007,0,0.0
islamic state |Islamic State,2014100620,8998,0,0.0
islamic state |Islamic State,2014093011,9741,0,0.0
islamic state |Islamic State,2014093012,11191,2,1.7871503887052095E-4
islamic state |Islamic State,2014093013,5267,5,9.493070058857034E-4
islamic state |Islamic State,2014093017,3899,0,0.0
islamic state |Islamic State,2014093018,99,0,0.0
islamic state |Islamic State,2014093019,8564,6,7.006071929005138E-4
