hotel |Hotels |hotel |hotels,2014100914,3191,3,9.40144155437167E-4
hotel |Hotels |hotel |hotels,2014100602,8176,162,0.01981409001956947
hotel |Hotels |hotel |hotels,2014100915,1000,2,0.002
hotel |Hotels |hotel |hotels,2014100603,9384,128,0.013640238704177323
hotel |Hotels |hotel |hotels,2014100912,2545,2,7.858546168958742E-4
hotel |Hotels |hotel |hotels,2014100608,13680,55,0.00402046783625731
hotel |Hotels |hotel |hotels,2014100913,6771,12,0.0017722640673460345
hotel |Hotels |hotel |hotels,2014100609,13287,28,0.002107322947241665
hotel |Hotels |hotel |hotels,2014100810,6053,65,0.010738476788369403
hotel |Hotels |hotel |hotels,2014100606,4334,50,0.011536686663590217
hotel |Hotels |hotel |hotels,2014100607,6194,43,0.006942202131094608
hotel |Hotels |hotel |hotels,2014100707,4802,8,0.001665972511453561
hotel |Hotels |hotel |hotels,2014100813,7061,23,0.003257328990228013
hotel |Hotels |hotel |hotels,2014100708,5400,1,1.8518518518518518E-4
hotel |Hotels |hotel |hotels,2014100814,6011,37,0.006155381800033272
hotel |Hotels |hotel |hotels,2014100705,2740,6,0.0021897810218978104
hotel |Hotels |hotel |hotels,2014100811,6604,34,0.00514839491217444
hotel |Hotels |hotel |hotels,2014100706,3398,10,0.002942907592701589
hotel |Hotels |hotel |hotels,2014100812,5896,17,0.0028833107191316145
hotel |Hotels |hotel |hotels,2014100817,6743,38,0.005635473824707104
hotel |Hotels |hotel |hotels,2014100600,15771,1876,0.11895250776742122
hotel |Hotels |hotel |hotels,2014100703,5792,8,0.0013812154696132596
hotel |Hotels |hotel |hotels,2014100818,7400,28,0.0037837837837837837
hotel |Hotels |hotel |hotels,2014100601,8669,243,0.028030914753720153
hotel |Hotels |hotel |hotels,2014100704,3010,9,0.002990033222591362
hotel |Hotels |hotel |hotels,2014100815,5628,35,0.006218905472636816
hotel |Hotels |hotel |hotels,2014100701,13455,15,0.0011148272017837235
hotel |Hotels |hotel |hotels,2014100816,7857,39,0.004963726613211149
hotel |Hotels |hotel |hotels,2014100702,8524,6,7.038948850305022E-4
hotel |Hotels |hotel |hotels,2014100509,9287,6,6.460643910843114E-4
hotel |Hotels |hotel |hotels,2014100508,6498,2,3.077870113881194E-4
hotel |Hotels |hotel |hotels,2014100819,4300,12,0.0027906976744186047
hotel |Hotels |hotel |hotels,2014100507,16911,4,2.365324345100822E-4
hotel |Hotels |hotel |hotels,2014100403,6749,3,4.4451029782189953E-4
hotel |Hotels |hotel |hotels,2014100506,11836,6,5.069280162216965E-4
hotel |Hotels |hotel |hotels,2014100402,6613,3,4.536518977771057E-4
hotel |Hotels |hotel |hotels,2014100505,6487,5,7.707723138584862E-4
hotel |Hotels |hotel |hotels,2014100401,4570,3,6.564551422319475E-4
hotel |Hotels |hotel |hotels,2014100504,3861,3,7.77000777000777E-4
hotel |Hotels |hotel |hotels,2014100400,5285,5,9.46073793755913E-4
hotel |Hotels |hotel |hotels,2014100503,4540,3,6.607929515418502E-4
hotel |Hotels |hotel |hotels,2014100709,5572,6,0.0010768126346015793
hotel |Hotels |hotel |hotels,2014100407,7111,15,0.0021094079594993673
hotel |Hotels |hotel |hotels,2014100406,10763,7,6.503762891387159E-4
hotel |Hotels |hotel |hotels,2014100501,6148,4,6.506180871828237E-4
hotel |Hotels |hotel |hotels,2014100405,10366,6,5.788153579008296E-4
hotel |Hotels |hotel |hotels,2014100500,11540,9,7.79896013864818E-4
hotel |Hotels |hotel |hotels,2014100404,3086,4,0.0012961762799740765
hotel |Hotels |hotel |hotels,2014100409,9932,3,3.0205396697543293E-4
hotel |Hotels |hotel |hotels,2014100408,10458,11,0.0010518263530311723
hotel |Hotels |hotel |hotels,2014100903,4141,24,0.005795701521371649
hotel |Hotels |hotel |hotels,2014100613,12260,20,0.0016313213703099511
hotel |Hotels |hotel |hotels,2014100904,4854,21,0.004326328800988875
hotel |Hotels |hotel |hotels,2014100614,10247,17,0.0016590221528252171
hotel |Hotels |hotel |hotels,2014100905,7777,19,0.002443101453002443
hotel |Hotels |hotel |hotels,2014100615,8801,8,9.08987615043745E-4
hotel |Hotels |hotel |hotels,2014100710,7431,5,6.728569506122998E-4
hotel |Hotels |hotel |hotels,2014100906,3505,14,0.003994293865905849
hotel |Hotels |hotel |hotels,2014100616,10833,20,0.0018462106526354657
hotel |Hotels |hotel |hotels,2014100711,13474,10,7.421701053881549E-4
hotel |Hotels |hotel |hotels,2014100617,11523,19,0.0016488761607220343
hotel |Hotels |hotel |hotels,2014100900,3864,19,0.004917184265010352
hotel |Hotels |hotel |hotels,2014100618,10834,19,0.0017537382314934465
hotel |Hotels |hotel |hotels,2014100901,3052,16,0.005242463958060288
hotel |Hotels |hotel |hotels,2014100619,10472,9,8.594346829640947E-4
hotel |Hotels |hotel |hotels,2014100902,4916,43,0.008746948738812042
hotel |Hotels |hotel |hotels,2014100716,9756,6,6.150061500615006E-4
hotel |Hotels |hotel |hotels,2014100800,3418,3,8.777062609713282E-4
hotel |Hotels |hotel |hotels,2014100717,12018,14,0.001164919287735064
hotel |Hotels |hotel |hotels,2014100801,4912,7,0.0014250814332247557
hotel |Hotels |hotel |hotels,2014100718,9824,12,0.0012214983713355048
hotel |Hotels |hotel |hotels,2014100802,4582,3,6.547359231776517E-4
hotel |Hotels |hotel |hotels,2014100719,8904,7,7.861635220125787E-4
hotel |Hotels |hotel |hotels,2014100803,4750,5,0.0010526315789473684
hotel |Hotels |hotel |hotels,2014100712,10146,7,6.899270648531441E-4
hotel |Hotels |hotel |hotels,2014100804,8238,4,4.8555474629764507E-4
hotel |Hotels |hotel |hotels,2014100610,8565,18,0.0021015761821366026
hotel |Hotels |hotel |hotels,2014100713,7382,4,5.41858574911948E-4
hotel |Hotels |hotel |hotels,2014100805,6904,5,7.242178447276941E-4
hotel |Hotels |hotel |hotels,2014100611,8676,16,0.0018441678192715537
hotel |Hotels |hotel |hotels,2014100714,9294,11,0.0011835592855605767
hotel |Hotels |hotel |hotels,2014100806,7696,1630,0.2117983367983368
hotel |Hotels |hotel |hotels,2014100612,7761,15,0.001932740626207963
hotel |Hotels |hotel |hotels,2014100715,8494,8,9.418412997409936E-4
hotel |Hotels |hotel |hotels,2014100807,6298,263,0.04175928866306764
hotel |Hotels |hotel |hotels,2014100519,13547,13,9.596220565438843E-4
hotel |Hotels |hotel |hotels,2014100809,5933,73,0.012304062025956514
hotel |Hotels |hotel |hotels,2014100518,12589,10,7.943442688061005E-4
hotel |Hotels |hotel |hotels,2014100808,7916,97,0.01225366346639717
hotel |Hotels |hotel |hotels,2014100410,8297,10,0.001205254911413764
hotel |Hotels |hotel |hotels,2014100412,8252,7,8.482792050412022E-4
hotel |Hotels |hotel |hotels,2014100515,6526,6,9.193993257738277E-4
hotel |Hotels |hotel |hotels,2014100411,8736,6,6.868131868131869E-4
hotel |Hotels |hotel |hotels,2014100514,7337,5,6.814774430966335E-4
hotel |Hotels |hotel |hotels,2014100414,8029,10,0.0012454851164528584
hotel |Hotels |hotel |hotels,2014100517,16635,7,4.207995190862639E-4
hotel |Hotels |hotel |hotels,2014100413,7649,4,5.229441757092431E-4
hotel |Hotels |hotel |hotels,2014100516,7164,12,0.0016750418760469012
hotel |Hotels |hotel |hotels,2014100416,8535,3,3.51493848857645E-4
hotel |Hotels |hotel |hotels,2014100511,8203,7,8.533463367060831E-4
hotel |Hotels |hotel |hotels,2014100415,9288,9,9.689922480620155E-4
hotel |Hotels |hotel |hotels,2014100510,7389,11,0.0014886994180538639
hotel |Hotels |hotel |hotels,2014100418,8794,5,5.685694791903571E-4
hotel |Hotels |hotel |hotels,2014100513,8653,5,5.778342771293193E-4
hotel |Hotels |hotel |hotels,2014100417,9001,7,7.776913676258194E-4
hotel |Hotels |hotel |hotels,2014100512,7658,11,0.0014364063724209976
hotel |Hotels |hotel |hotels,2014100908,14247,11,7.720923703235769E-4
hotel |Hotels |hotel |hotels,2014100907,7751,18,0.002322280996000516
hotel |Hotels |hotel |hotels,2014100419,8630,11,0.0012746234067207416
hotel |Hotels |hotel |hotels,2014100909,1000,0,0.0
hotel |Hotels |hotel |hotels,2014100721,11447,13,0.0011356687341661572
hotel |Hotels |hotel |hotels,2014100722,8294,8,9.645526886906198E-4
hotel |Hotels |hotel |hotels,2014100720,10198,10,9.805844283192783E-4
hotel |Hotels |hotel |hotels,2014100723,5300,8,0.0015094339622641509
hotel |Hotels |hotel |hotels,2014100520,14801,9,6.080670224984799E-4
hotel |Hotels |hotel |hotels,2014100523,12605,6,4.760015866719556E-4
hotel |Hotels |hotel |hotels,2014100522,10915,8,7.329363261566652E-4
hotel |Hotels |hotel |hotels,2014100521,14363,4,2.7849335097124555E-4
hotel |Hotels |hotel |hotels,2014100623,8800,9,0.0010227272727272728
hotel |Hotels |hotel |hotels,2014100622,9000,13,0.0014444444444444444
hotel |Hotels |hotel |hotels,2014100621,9007,11,0.0012212723437326524
hotel |Hotels |hotel |hotels,2014100620,8998,15,0.0016670371193598578
hotel |Hotels |hotel |hotels,2014093011,9741,18,0.0018478595626732369
hotel |Hotels |hotel |hotels,2014093012,11191,39,0.0034849432579751585
hotel |Hotels |hotel |hotels,2014093013,5267,13,0.002468198215302829
hotel |Hotels |hotel |hotels,2014093017,3899,9,0.0023082841754295974
hotel |Hotels |hotel |hotels,2014093018,99,0,0.0
hotel |Hotels |hotel |hotels,2014093019,8564,17,0.0019850537132181222
