south |Souths |south |South,2014100818,7400,8,0.001081081081081081
south |Souths |south |South,2014100601,8669,15,0.0017303033798592687
south |Souths |south |South,2014100704,3010,0,0.0
south |Souths |south |South,2014100815,5628,6,0.0010660980810234541
south |Souths |south |South,2014100701,13455,2,1.4864362690449647E-4
south |Souths |south |South,2014100816,7857,4,5.091001654575538E-4
south |Souths |south |South,2014100702,8524,0,0.0
south |Souths |south |South,2014100509,9287,5,5.383869925702595E-4
south |Souths |south |South,2014100508,6498,4,6.155740227762388E-4
south |Souths |south |South,2014100819,4300,5,0.0011627906976744186
south |Souths |south |South,2014100507,16911,0,0.0
south |Souths |south |South,2014100403,6749,2,2.96340198547933E-4
south |Souths |south |South,2014100506,11836,3,2.5346400811084827E-4
south |Souths |south |South,2014100402,6613,1,1.5121729925903524E-4
south |Souths |south |South,2014100505,6487,0,0.0
south |Souths |south |South,2014100401,4570,3,6.564551422319475E-4
south |Souths |south |South,2014100504,3861,3,7.77000777000777E-4
south |Souths |south |South,2014100400,5285,6,0.0011352885525070956
south |Souths |south |South,2014100503,4540,2,4.405286343612335E-4
south |Souths |south |South,2014100709,5572,11,0.001974156496769562
south |Souths |south |South,2014100407,7111,6,8.437631837997469E-4
south |Souths |south |South,2014100406,10763,17,0.001579485273622596
south |Souths |south |South,2014100501,6148,3,4.8796356538711777E-4
south |Souths |south |South,2014100405,10366,0,0.0
south |Souths |south |South,2014100500,11540,6,5.199306759098787E-4
south |Souths |south |South,2014100404,3086,2,6.480881399870382E-4
south |Souths |south |South,2014100409,9932,8,8.054772452678212E-4
south |Souths |south |South,2014100408,10458,12,0.0011474469305794606
south |Souths |south |South,2014100903,4141,2,4.829751267809708E-4
south |Souths |south |South,2014100613,12260,13,0.0010603588907014683
south |Souths |south |South,2014100904,4854,1,2.0601565718994644E-4
south |Souths |south |South,2014100614,10247,9,8.783058456133503E-4
south |Souths |south |South,2014100905,7777,1,1.2858428700012858E-4
south |Souths |south |South,2014100615,8801,9,0.0010226110669242132
south |Souths |south |South,2014100710,7431,10,0.0013457139012245996
south |Souths |south |South,2014100906,3505,1,2.853067047075606E-4
south |Souths |south |South,2014100616,10833,10,9.231053263177328E-4
south |Souths |south |South,2014100711,13474,18,0.0013359061896986788
south |Souths |south |South,2014100617,11523,17,0.0014753102490670832
south |Souths |south |South,2014100900,3864,3,7.763975155279503E-4
south |Souths |south |South,2014100618,10834,13,0.001199926158390253
south |Souths |south |South,2014100901,3052,2,6.55307994757536E-4
south |Souths |south |South,2014100619,10472,16,0.0015278838808250573
south |Souths |south |South,2014100902,4916,0,0.0
south |Souths |south |South,2014100716,9756,17,0.0017425174251742518
south |Souths |south |South,2014100800,3418,3,8.777062609713282E-4
south |Souths |south |South,2014100717,12018,18,0.0014977533699450823
south |Souths |south |South,2014100801,4912,0,0.0
south |Souths |south |South,2014100718,9824,25,0.002544788273615635
south |Souths |south |South,2014100802,4582,1,2.1824530772588389E-4
south |Souths |south |South,2014100719,8904,17,0.0019092542677448339
south |Souths |south |South,2014100803,4750,0,0.0
south |Souths |south |South,2014100712,10146,11,0.0010841711019120837
south |Souths |south |South,2014100804,8238,1,1.2138868657441127E-4
south |Souths |south |South,2014100610,8565,8,9.340338587273788E-4
south |Souths |south |South,2014100713,7382,6,8.12787862367922E-4
south |Souths |south |South,2014100805,6904,2,2.8968713789107763E-4
south |Souths |south |South,2014100611,8676,10,0.001152604887044721
south |Souths |south |South,2014100714,9294,19,0.002044329675059178
south |Souths |south |South,2014100806,7696,2,2.598752598752599E-4
south |Souths |south |South,2014100612,7761,16,0.002061590001288494
south |Souths |south |South,2014100715,8494,6,7.063809748057452E-4
south |Souths |south |South,2014100807,6298,7,0.0011114639568116863
south |Souths |south |South,2014100519,13547,89,0.006569720233261977
south |Souths |south |South,2014100809,5933,5,8.427439743805831E-4
south |Souths |south |South,2014100518,12589,39,0.003097942648343792
south |Souths |south |South,2014100808,7916,10,0.0012632642748863063
south |Souths |south |South,2014100410,8297,20,0.002410509822827528
south |Souths |south |South,2014100412,8252,33,0.003999030538051382
south |Souths |south |South,2014100515,6526,12,0.0018387986515476554
south |Souths |south |South,2014100411,8736,23,0.002632783882783883
south |Souths |south |South,2014100514,7337,19,0.0025896142837672073
south |Souths |south |South,2014100414,8029,22,0.0027400672561962883
south |Souths |south |South,2014100517,16635,14,8.415990381725278E-4
south |Souths |south |South,2014100413,7649,10,0.0013073604392731075
south |Souths |south |South,2014100516,7164,9,0.001256281407035176
south |Souths |south |South,2014100416,8535,14,0.0016403046280023433
south |Souths |south |South,2014100511,8203,11,0.0013409728148238449
south |Souths |south |South,2014100415,9288,8,8.613264427217916E-4
south |Souths |south |South,2014100510,7389,9,0.001218026796589525
south |Souths |south |South,2014100418,8794,13,0.0014782806458949283
south |Souths |south |South,2014100513,8653,40,0.004622674217034555
south |Souths |south |South,2014100417,9001,13,0.0014442839684479503
south |Souths |south |South,2014100512,7658,28,0.003656307129798903
south |Souths |south |South,2014100908,14247,3,2.105706464518846E-4
south |Souths |south |South,2014100907,7751,1,1.2901561088891756E-4
south |Souths |south |South,2014100419,8630,12,0.0013904982618771727
south |Souths |south |South,2014100909,1000,2,0.002
south |Souths |south |South,2014100721,11447,12,0.0010483096007687603
south |Souths |south |South,2014100722,8294,6,7.234145165179648E-4
south |Souths |south |South,2014100720,10198,21,0.0020592272994704843
south |Souths |south |South,2014100723,5300,7,0.0013207547169811322
south |Souths |south |South,2014100520,14801,50,0.0033781501249915548
south |Souths |south |South,2014100523,12605,38,0.003014676715589052
south |Souths |south |South,2014100522,10915,123,0.011268896014658726
south |Souths |south |South,2014100521,14363,303,0.02109587133607185
south |Souths |south |South,2014100623,8800,5,5.681818181818182E-4
south |Souths |south |South,2014100622,9000,5,5.555555555555556E-4
south |Souths |south |South,2014100621,9007,5,5.55123792605751E-4
south |Souths |south |South,2014100620,8998,16,0.0017781729273171815
south |Souths |south |South,2014093011,9741,7,7.186120521507032E-4
south |Souths |south |South,2014093012,11191,4,3.574300777410419E-4
south |Souths |south |South,2014093013,5267,8,0.0015188912094171254
south |Souths |south |South,2014093017,3899,5,0.0012823800974608873
south |Souths |south |South,2014093018,99,0,0.0
south |Souths |south |South,2014093019,8564,7,8.173750583839327E-4
