murder |murder |murders,2014100816,7857,3,3.8182512409316535E-4
murder |murder |murders,2014100702,8524,2,2.346316283435007E-4
murder |murder |murders,2014100509,9287,0,0.0
murder |murder |murders,2014100508,6498,1,1.538935056940597E-4
murder |murder |murders,2014100819,4300,5,0.0011627906976744186
murder |murder |murders,2014100507,16911,0,0.0
murder |murder |murders,2014100403,6749,0,0.0
murder |murder |murders,2014100506,11836,0,0.0
murder |murder |murders,2014100402,6613,0,0.0
murder |murder |murders,2014100505,6487,0,0.0
murder |murder |murders,2014100401,4570,1,2.188183807439825E-4
murder |murder |murders,2014100504,3861,0,0.0
murder |murder |murders,2014100400,5285,2,3.784295175023652E-4
murder |murder |murders,2014100503,4540,0,0.0
murder |murder |murders,2014100709,5572,8,0.0014357501794687725
murder |murder |murders,2014100407,7111,0,0.0
murder |murder |murders,2014100406,10763,3,2.78732695345164E-4
murder |murder |murders,2014100501,6148,0,0.0
murder |murder |murders,2014100405,10366,0,0.0
murder |murder |murders,2014100500,11540,1,8.665511265164645E-5
murder |murder |murders,2014100404,3086,0,0.0
murder |murder |murders,2014100409,9932,1,1.0068465565847765E-4
murder |murder |murders,2014100408,10458,1,9.562057754828839E-5
murder |murder |murders,2014100903,4141,2,4.829751267809708E-4
murder |murder |murders,2014100613,12260,3,2.4469820554649265E-4
murder |murder |murders,2014100904,4854,0,0.0
murder |murder |murders,2014100614,10247,3,2.927686152044501E-4
murder |murder |murders,2014100905,7777,0,0.0
murder |murder |murders,2014100615,8801,7,7.95364163163277E-4
murder |murder |murders,2014100710,7431,18,0.0024222850222042794
murder |murder |murders,2014100906,3505,2,5.706134094151213E-4
murder |murder |murders,2014100616,10833,6,5.538631957906397E-4
murder |murder |murders,2014100711,13474,3,2.226510316164465E-4
murder |murder |murders,2014100617,11523,12,0.001041395469929706
murder |murder |murders,2014100900,3864,5,0.0012939958592132505
murder |murder |murders,2014100618,10834,14,0.0012922281705741185
murder |murder |murders,2014100901,3052,2,6.55307994757536E-4
murder |murder |murders,2014100619,10472,7,6.684491978609625E-4
murder |murder |murders,2014100902,4916,0,0.0
murder |murder |murders,2014100716,9756,25,0.0025625256252562525
murder |murder |murders,2014100800,3418,7,0.002047981275599766
murder |murder |murders,2014100717,12018,36,0.0029955067398901645
murder |murder |murders,2014100801,4912,4,8.143322475570033E-4
murder |murder |murders,2014100718,9824,17,0.0017304560260586318
murder |murder |murders,2014100802,4582,1,2.1824530772588389E-4
murder |murder |murders,2014100719,8904,14,0.0015723270440251573
murder |murder |murders,2014100803,4750,2,4.210526315789474E-4
murder |murder |murders,2014100712,10146,45,0.004435245416913069
murder |murder |murders,2014100804,8238,2,2.4277737314882253E-4
murder |murder |murders,2014100610,8565,8,9.340338587273788E-4
murder |murder |murders,2014100713,7382,32,0.004334868599295584
murder |murder |murders,2014100805,6904,0,0.0
murder |murder |murders,2014100611,8676,9,0.001037344398340249
murder |murder |murders,2014100714,9294,16,0.0017215407789972026
murder |murder |murders,2014100806,7696,1,1.2993762993762994E-4
murder |murder |murders,2014100612,7761,1,1.2884937508053087E-4
murder |murder |murders,2014100715,8494,12,0.0014127619496114904
murder |murder |murders,2014100807,6298,3,4.76341695776437E-4
murder |murder |murders,2014100519,13547,21,0.001550158706724736
murder |murder |murders,2014100809,5933,8,0.0013483903590089331
murder |murder |murders,2014100518,12589,10,7.943442688061005E-4
murder |murder |murders,2014100808,7916,5,6.316321374431531E-4
murder |murder |murders,2014100410,8297,2,2.410509822827528E-4
murder |murder |murders,2014100412,8252,3,3.6354823073194375E-4
murder |murder |murders,2014100515,6526,9,0.0013790989886607416
murder |murder |murders,2014100411,8736,2,2.2893772893772894E-4
murder |murder |murders,2014100514,7337,6,8.177729317159602E-4
murder |murder |murders,2014100414,8029,6,7.47291069871715E-4
murder |murder |murders,2014100517,16635,9,5.410279531109107E-4
murder |murder |murders,2014100413,7649,2,2.6147208785462153E-4
murder |murder |murders,2014100516,7164,5,6.979341150195422E-4
murder |murder |murders,2014100416,8535,2,2.3432923257176333E-4
murder |murder |murders,2014100511,8203,1,1.2190661952944045E-4
murder |murder |murders,2014100415,9288,2,2.153316106804479E-4
murder |murder |murders,2014100510,7389,4,5.413452429286778E-4
murder |murder |murders,2014100418,8794,0,0.0
murder |murder |murders,2014100513,8653,1,1.1556685542586386E-4
murder |murder |murders,2014100417,9001,1,1.1109876680368848E-4
murder |murder |murders,2014100512,7658,2,2.6116479498563595E-4
murder |murder |murders,2014100908,14247,2,1.4038043096792306E-4
murder |murder |murders,2014100907,7751,3,3.8704683266675265E-4
murder |murder |murders,2014100419,8630,3,3.476245654692932E-4
murder |murder |murders,2014100909,1000,0,0.0
murder |murder |murders,2014100721,11447,18,0.0015724644011531406
murder |murder |murders,2014100722,8294,9,0.0010851217747769471
murder |murder |murders,2014100720,10198,6,5.88350656991567E-4
murder |murder |murders,2014100723,5300,19,0.0035849056603773585
murder |murder |murders,2014100520,14801,15,0.0010134450374974665
murder |murder |murders,2014100523,12605,3,2.380007933359778E-4
murder |murder |murders,2014100522,10915,5,4.580852038479157E-4
